,,,,,,,,,,2015 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,8,2:34:00,8,5:50:00,8,8:58:00,8,13:17:00,8,18:36:00,8,22:20:00,7,24:18:00,9,30:14:00,9,35:25:00,9,39:18:00,8,45:33:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1st Standard,"Cecili Bugge 
John Bugge
TC - Jennifer Buggee
TC - David Coombs",136,9:00, ,11:44:00, ,15:13:00, ,18:35:00, ,23:12:00, ,5:14:00, ,9:11:00, ,11:24:00, ,17:41:00, ,23:08:00, ,3:20:00, ,6:45:00
,1st Adult/Child,,,,20,2:44:00,16,3:29:00,14,3:22:00,13,4:37:00,16,6:02:00,10,3:57:00,13,2:13:00,11,6:17:00,14,5:27:00,16,4:12:00,5,3:25:00
,,,,,20,2:44:00,19,6:13:00,16,9:35:00,13,14:12:00,14,20:14:00,14,24:11:00,14,26:24:00,13,32:41:00,13,38:08:00,12,42:20:00,9,45:45:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2nd Mixed,"Brian Jones 
Morgan Kohut
TC - Trevor Hutton
TC - Marilyn Hutton",5585,9:00, ,11:38:00, ,15:00:00, ,18:15:00, ,23:00:00, ,4:26:00, ,8:31:00, ,10:33:00, ,17:15:00, ,22:34:00, ,2:51:00, ,7:05:00
,,,,,14,2:38:00,12,3:22:00,11,3:15:00,17,4:45:00,11,5:26:00,16,4:05:00,9,2:02:00,18,6:42:00,12,5:19:00,19,4:17:00,17,4:14:00
,,,,,14,2:38:00,12,6:00:00,12,9:15:00,12,14:00:00,11,19:26:00,12,23:31:00,11,25:33:00,12,32:15:00,11,37:34:00,11,41:51:00,10,46:05:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2nd Mens Solo,"Brandon Stafford
TC - Heather Stafford
TC - Joseph Bitterly",742,9:00, ,11:53:00, ,15:20:00, ,18:44:00, ,23:16:00, ,5:03:00, ,9:06:00, ,11:17:00, ,18:02:00, ,23:40:00, ,3:33:00, ,7:20:00
,,,,,23,2:53:00,14,3:27:00,15,3:24:00,11,4:32:00,13,5:47:00,13,4:03:00,12,2:11:00,19,6:45:00,17,5:38:00,10,3:53:00,11,3:47:00
,,,,,23,2:53:00,20,6:20:00,20,9:44:00,16,14:16:00,13,20:03:00,13,24:06:00,13,26:17:00,14,33:02:00,15,38:40:00,13,42:33:00,11,46:20:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4th Unlimited,"Nathan Tart
Ben Horsey
Garrett Jones
TC - Dwight Tart
TC - Kate Tart",3,9:00, ,11:27:00, ,14:43:00, ,17:50:00, ,21:54:00, ,3:05:00, ,6:53:00, ,8:51:00, ,14:42:00, ,19:39:00, ,23:36:00, ,7:41:00
,,,,,5,2:27:00,8,3:16:00,5,3:07:00,5,4:04:00,7,5:11:00,9,3:48:00,6,1:58:00,8,5:51:00,9,4:57:00,11,3:57:00,54,8:05:00
,,,,,5,2:27:00,7,5:43:00,6,8:50:00,5,12:54:00,6,18:05:00,6,21:53:00,6,23:51:00,6,29:42:00,6,34:39:00,7,38:36:00,12,46:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5th Unlimited,"Jim Weber
Myla Weber
John Maika
Pete Binion
Vance Sherrod
TC - Sandy Sherrod
TC - Molly Binion",283,9:00, ,11:28:00, ,14:38:00, ,17:48:00, ,21:55:00, ,3:01:00, ,6:38:00, ,8:31:00, ,14:09:00, ,19:02:00, ,23:18:00, ,8:32:00
,,,,,6,2:28:00,5,3:10:00,7,3:10:00,6,4:07:00,4,5:06:00,5,3:37:00,5,1:53:00,4,5:38:00,5,4:53:00,18,4:16:00,60,9:14:00
,,,,,6,2:28:00,5,5:38:00,5,8:48:00,6,12:55:00,5,18:01:00,5,21:38:00,5,23:31:00,5,29:09:00,5,34:02:00,6,38:18:00,13,47:32:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
14,6th Unlimited,"Karim Aziz
Jake Aziz
Chris Stevenson
TC - Barbara Aziz
TC - Darryl Jiral",3711,9:00, ,11:36:00, ,14:55:00, ,18:12:00, ,22:44:00, ,4:31:00, ,8:30:00, ,10:49:00, ,17:14:00, ,22:41:00, ,3:48:00, ,8:47:00
,,,,,11,2:36:00,11,3:19:00,13,3:17:00,12,4:32:00,12,5:47:00,11,3:59:00,16,2:19:00,13,6:25:00,14,5:27:00,24,5:07:00,28,4:59:00
,,,,,11,2:36:00,10,5:55:00,11,9:12:00,11,13:44:00,12,19:31:00,11,23:30:00,12,25:49:00,11,32:14:00,12,37:41:00,14,42:48:00,14,47:47:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2nd Standard,"Liam Price 
Edoh Amiran
TC - Veronica Wisniewski",106,9:00, ,11:41:00, ,15:12:00, ,18:40:00, ,0:23:00, ,6:21:00, ,10:25:00, ,12:39:00, ,19:03:00, ,0:24:00, ,5:49:00, ,8:51:00
,,,,,16,2:41:00,20,3:31:00,18,3:28:00,27,5:43:00,14,5:58:00,15,4:04:00,14,2:14:00,12,6:24:00,13,5:21:00,30,5:25:00,2,3:02:00
,,,,,16,2:41:00,16,6:12:00,19,9:40:00,24,15:23:00,21,21:21:00,19,25:25:00,18,27:39:00,18,34:03:00,16,39:24:00,16,44:49:00,15,47:51:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1st Novice,"David Hefner 
Will Brown
TC - Roy Tyrone
TC - Terri Hefner",4,9:00, ,11:53:00, ,15:37:00, ,19:30:00, ,0:20:00, ,6:29:00, ,10:43:00, ,13:00:00, ,19:38:00, ,1:27:00, ,5:30:00, ,9:13:00
,,,,,23,2:53:00,32,3:44:00,35,3:53:00,18,4:50:00,22,6:09:00,22,4:14:00,15,2:17:00,15,6:38:00,21,5:49:00,13,4:03:00,10,3:43:00
,,,,,23,2:53:00,25,6:37:00,27,10:30:00,23,15:20:00,24,21:29:00,23,25:43:00,22,28:00:00,19,34:38:00,19,40:27:00,15,44:30:00,16,48:13:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1st USCA C1,"Philip Rask
TC - John Rask",109,9:00, ,11:43:00, ,15:12:00, ,18:39:00, ,23:42:00, ,5:49:00, ,9:56:00, ,12:19:00, ,18:59:00, ,0:41:00, ,5:53:00, ,9:17:00
,,,,,18,2:43:00,16,3:29:00,17,3:27:00,22,5:03:00,20,6:07:00,18,4:07:00,21,2:23:00,16,6:40:00,19,5:42:00,28,5:12:00,4,3:24:00
,,,,,18,2:43:00,16,6:12:00,18,9:39:00,19,14:42:00,19,20:49:00,17,24:56:00,17,27:19:00,16,33:59:00,17,39:41:00,18,44:53:00,17,48:17:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3rd Tandem,"Max Hambly 
Michael Tecci
TC - Ginsie Stauss
TC - Jeff Jouett",2209,9:00, ,11:36:00, ,15:04:00, ,18:33:00, ,23:18:00, ,5:17:00, ,9:18:00, ,11:38:00, ,18:04:00, ,23:19:00, ,5:54:00, ,10:11:00
,,,,,11,2:36:00,15,3:28:00,20,3:29:00,15,4:45:00,15,5:59:00,12,4:01:00,18,2:20:00,14,6:26:00,11,5:15:00,47,6:35:00,18,4:17:00
,,,,,11,2:36:00,13,6:04:00,15,9:33:00,17,14:18:00,15,20:17:00,15,24:18:00,15,26:38:00,15,33:04:00,14,38:19:00,19,44:54:00,18,49:11:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1st USCA C2,"William Stafford 
Matt Sandel
TC - Bill McCanse
TC - Darla Stafford",1845,9:00, ,12:02:00, ,15:48:00, ,19:35:00, ,0:47:00, ,6:50:00, ,10:53:00, ,13:15:00, ,19:57:00, ,1:48:00, ,6:07:00, ,10:33:00
,,,,,30,3:02:00,33,3:46:00,28,3:47:00,25,5:12:00,17,6:03:00,14,4:03:00,19,2:22:00,17,6:42:00,22,5:51:00,21,4:19:00,21,4:26:00
,,,,,30,3:02:00,30,6:48:00,29,10:35:00,26,15:47:00,25,21:50:00,24,25:53:00,23,28:15:00,23,34:57:00,20,40:48:00,20,45:07:00,19,49:33:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
20,7th Unlimited,"Tim Curry
TC - Kristin Daniel
TC - Brandon Hartmann",167,9:00, ,11:40:00, ,15:20:00, ,19:00:00, ,0:11:00, ,6:27:00, ,11:25:00, ,14:50:00, ,22:10:00, ,3:45:00, ,7:35:00, ,11:09:00
,,,,,15,2:40:00,26,3:40:00,23,3:40:00,24,5:11:00,26,6:16:00,37,4:58:00,48,3:25:00,25,7:20:00,16,5:35:00,8,3:50:00,7,3:34:00
,,,,,15,2:40:00,20,6:20:00,21,10:00:00,22,15:11:00,23,21:27:00,25,26:25:00,26,29:50:00,26,37:10:00,25,42:45:00,22,46:35:00,20,50:09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2nd USCA C1,"Stephen Rask
TC - Rachel Rask",221,9:00, ,11:43:00, ,15:12:00, ,18:38:00, ,23:23:00, ,5:29:00, ,9:47:00, ,12:15:00, ,19:02:00, ,0:41:00, ,5:52:00, ,11:26:00
,,,,,18,2:43:00,16,3:29:00,16,3:26:00,15,4:45:00,18,6:06:00,24,4:18:00,24,2:28:00,20,6:47:00,18,5:39:00,27,5:11:00,42,5:34:00
,,,,,18,2:43:00,16,6:12:00,17,9:38:00,18,14:23:00,18,20:29:00,16,24:47:00,16,27:15:00,17,34:02:00,17,39:41:00,17,44:52:00,21,50:26:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2nd USCA C2,"Ken Startz
John  Valdivia
TC - Nick Startz
TC - Ken Startz III",1051,9:00, ,12:02:00, ,15:46:00, ,19:29:00, ,0:37:00, ,7:16:00, ,11:32:00, ,14:01:00, ,21:03:00, ,2:54:00, ,7:34:00, ,11:33:00
,,,,,30,3:02:00,31,3:44:00,25,3:43:00,23,5:08:00,27,6:39:00,23,4:16:00,25,2:29:00,22,7:02:00,22,5:51:00,22,4:40:00,13,3:59:00
,,,,,30,3:02:00,29,6:46:00,26,10:29:00,25,15:37:00,26,22:16:00,26,26:32:00,24,29:01:00,24,36:03:00,24,41:54:00,21,46:34:00,22,50:33:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2nd Novice,"Jay Kleberg 
Hunter Ellis
TC - Alex Price 
TC - Frank Hartmann",1,9:00, ,11:52:00, ,15:33:00, ,19:11:00, ,0:09:00, ,6:24:00, ,10:30:00, ,12:54:00, ,19:44:00, ,2:09:00, ,7:46:00, ,11:34:00
,,,,,22,2:52:00,27,3:41:00,21,3:38:00,20,4:58:00,25,6:15:00,17,4:06:00,22,2:24:00,21,6:50:00,27,6:25:00,32,5:37:00,12,3:48:00
,,,,,22,2:52:00,23,6:33:00,23,10:11:00,21,15:09:00,22,21:24:00,21,25:30:00,21,27:54:00,20,34:44:00,21,41:09:00,23,46:46:00,23,50:34:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
