,,,,,,,,,,2015 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
38,4th Novice,"Clay Smith 
Lee Harle
TC - Rob Harle
TC - Morris Snyder",1776,9:00, ,12:21:00, ,16:24:00, ,20:51:00, ,2:47:00, ,10:12:00, ,15:00:00, ,17:37:00, ,1:41:00, ,8:48:00, ,13:39:00, ,0:11:00
,* 2 Hours - PDF,,,,46,3:21:00,43,4:03:00,47,4:27:00,34,5:56:00,37,7:25:00,32,4:48:00,28,2:37:00,30,8:04:00,46,7:07:00,23,4:51:00,62,10:32:00
,* 2 Hours - Barge Canal,,,,46,3:21:00,43,7:24:00,44,11:51:00,39,17:47:00,39,25:12:00,36,30:00:00,33,32:37:00,33,40:41:00,32,47:48:00,32,52:39:00,38,63:11:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
39,5th Tandem,"Justin Brzozowske 
Roger Barrett
TC - Carol Brzozowske
TC - Jennifer Barrett",7466,9:00, ,12:19:00, ,16:40:00, ,21:18:00, ,4:57:00, ,12:15:00, ,17:16:00, ,21:14:00, ,7:29:00, ,13:40:00, ,19:21:00, ,0:55:00
,,,,,45,3:19:00,57,4:21:00,48,4:38:00,45,7:39:00,36,7:18:00,40,5:01:00,55,3:58:00,50,10:15:00,24,6:11:00,33,5:41:00,40,5:34:00
,,,,,45,3:19:00,50,7:40:00,49,12:18:00,42,19:57:00,41,27:15:00,42,32:16:00,42,36:14:00,43,46:29:00,42,52:40:00,40,58:21:00,39,63:55:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1st W USCA C1,"Rebekah Feaster
TC - David Walliser",186,9:00, ,12:31:00, ,16:38:00, ,20:59:00, ,3:59:00, ,11:47:00, ,16:44:00, ,19:34:00, ,6:42:00, ,13:34:00, ,20:04:00, ,5:13:00
,,,,,53,3:31:00,48,4:07:00,45,4:21:00,42,7:00:00,43,7:48:00,36,4:57:00,36,2:50:00,57,11:08:00,37,6:52:00,46,6:30:00,59,9:09:00
,,,,,53,3:31:00,49,7:38:00,46,11:59:00,40,18:59:00,40,26:47:00,40,31:44:00,39,34:34:00,41,45:42:00,40,52:34:00,42,59:04:00,40,68:13:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2nd Womens Solo,"Brenda Jones
TC - Tonya Jones",1961,9:00, ,12:14:00, ,15:48:00, ,19:40:00, ,2:06:00, ,9:09:00, ,15:13:00, ,17:57:00, ,6:32:00, ,13:40:00, ,19:27:00, ,6:48:00
,,,,,41,3:14:00,21,3:34:00,34,3:52:00,40,6:26:00,31,7:03:00,56,6:04:00,32,2:44:00,63,12:35:00,47,7:08:00,38,5:47:00,63,11:21:00
,,,,,41,3:14:00,30,6:48:00,32,10:40:00,37,17:06:00,34,24:09:00,37,30:13:00,36,32:57:00,40,45:32:00,43,52:40:00,41,58:27:00,41,69:48:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11th Unlimited,"James Hunt
Joe Roppolo
Joe Hunt
Josh Hunt
TC - Patty Hunt
TC - Tom Masterson",1775,9:00, ,12:25:00, ,16:47:00, ,21:30:00, ,4:24:00, ,12:53:00, ,18:19:00, ,21:20:00, ,5:50:00, ,12:47:00, ,19:07:00, ,6:48:01
,,,,,47,3:25:00,60,4:22:00,51,4:43:00,41,6:54:00,53,8:29:00,46,5:26:00,40,3:01:00,34,8:30:00,42,6:57:00,45,6:20:00,65,11:41:01
,,,,,47,3:25:00,53,7:47:00,51,12:30:00,41,19:24:00,43,27:53:00,44,33:19:00,43,36:20:00,38,44:50:00,38,51:47:00,39,58:07:00,42,69:48:01
,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5th Aluminum,"Tony Listi
Robert Kite
TC - Eric Engelhardt
TC - Jeff Brode",1836,9:00, ,12:50:00, ,17:34:00, ,22:39:00, ,7:57:00, ,16:07:00, ,21:39:00, ,4:22:00, ,14:39:00, ,21:34:00, ,3:27:00, ,7:59:00
,,,,,62,3:50:00,65,4:44:00,59,5:05:00,58,9:18:00,49,8:10:00,49,5:32:00,64,6:43:00,51,10:17:00,41,6:55:00,42,5:53:00,22,4:32:00
,,,,,62,3:50:00,63,8:34:00,62,13:39:00,58,22:57:00,55,31:07:00,54,36:39:00,50,43:22:00,53,53:39:00,50,60:34:00,46,66:27:00,43,70:59:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12th Unlimited,"Jeremy White
Gabriel Harris
Stacy Greer
Joey Tidwell
TC - Amanda Franklin
TC - Kelly Williams",4444,9:00, ,12:25, ,16:33:00, ,21:17:00, ,5:40:00, ,14:26:00, ,20:01:00, ,22:40:00, ,8:42:00, ,16:33:00, ,3:14:00, ,8:08:00
,,,,,47,3:25:00,51,4:08:00,52,4:44:00,53,8:23:00,55,8:46:00,51,5:35:00,30,2:39:00,47,10:02:00,54,7:51:00,62,10:41:00,27,4:54:00
,,,,,47,3:25:00,46,7:33:00,48,12:17:00,46,20:40:00,47,29:26:00,47,35:01:00,44,37:40:00,44,47:42:00,44,55:33:00,45,66:14:00,44,71:08:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2nd W USCA C1,"Melissa James
TC - Jason James
TC - Blake Sheffield",15,9:00, ,12:34:00, ,16:56:00, ,21:39:00, ,5:09:00, ,12:25:00, ,16:56:00, ,19:34:00, ,6:54:00, ,13:34:00, ,20:16:00, ,8:15:00
,,,,,57,3:34:00,58,4:22:00,50,4:43:00,44,7:30:00,35,7:16:00,27,4:31:00,29,2:38:00,59,11:20:00,32,6:40:00,48,6:42:00,66,11:59:00
,,,,,57,3:34:00,57,7:56:00,55,12:39:00,43,20:09:00,42,27:25:00,41,31:56:00,39,34:34:00,42,45:54:00,40,52:34:00,43,59:16:00,45,71:15:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
46,6th Tandem,"Ted Slaughter 
Michael Martin
TC - John Smith
TC - Katie Martin",615,9:00, ,12:42:00, ,16:47:00, ,21:33:00, ,5:30:00, ,14:20:00, ,19:43:00, ,5:20:00, ,13:22:00, ,19:34:00, ,3:49:00, ,9:03:00
,,,,,58,3:42:00,45,4:05:00,53,4:46:00,48,7:57:00,57,8:50:00,45,5:23:00,68,9:37:00,29,8:02:00,25,6:12:00,59,8:15:00,34,5:14:00
,,,,,58,3:42:00,53,7:47:00,53,12:33:00,44,20:30:00,46,29:20:00,45,34:43:00,52,44:20:00,49,52:22:00,49,58:34:00,47,66:49:00,46,72:03:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5th Novice,"John Medrano 
Jennifer Medrano
TC - Fernando Garcia",610,9:00, ,12:59:00, ,17:47:00, ,23:12:00, ,7:22:00, ,15:15:00, ,21:32:00, ,3:42:00, ,12:11:00, ,19:31:00, ,4:11:00, ,10:23:00
,,,,,67,3:59:00,68,4:48:00,64,5:25:00,50,8:10:00,44,7:53:00,57,6:17:00,61,6:10:00,33,8:29:00,51,7:20:00,60,8:40:00,48,6:12:00
,,,,,67,3:59:00,67,8:47:00,66,14:12:00,54,22:22:00,51,30:15:00,52,36:32:00,48,42:42:00,47,51:11:00,48,58:31:00,48,67:11:00,47,73:23:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5th Mens Solo,"Daniel Currey
TC - Bruce Hamilton Jr.
TC - Sarah Straughan",317,9:00, ,12:30:00, ,16:37:00, ,21:47:00, ,7:11:00, ,14:43:00, ,19:58:00, ,23:15:00, ,11:17:00, ,18:32:00, ,1:55:00, ,10:43:00
,,,,,52,3:30:00,48,4:07:00,61,5:10:00,60,9:24:00,38,7:32:00,44,5:15:00,47,3:17:00,62,12:02:00,50,7:15:00,54,7:23:00,58,8:48:00
,,,,,52,3:30:00,48,7:37:00,56,12:47:00,51,22:11:00,48,29:43:00,46,34:58:00,45,38:15:00,45,50:17:00,45,57:32:00,44,64:55:00,48,73:43:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3rd Mixed,"Sonja Botkin 
Larry St Clair
TC - Kelly Frank
TC - Lance Love",4075,9:00, ,12:31:00, ,16:45:00, ,21:23:00, ,5:36:00, ,15:10:00, ,21:03:00, ,0:36:00, ,12:27:00, ,19:30:00, ,4:44:00, ,11:45:00
,,,,,53,3:31:00,53,4:14:00,48,4:38:00,51,8:13:00,63,9:34:00,55,5:53:00,52,3:33:00,61,11:51:00,44,7:03:00,61,9:14:00,52,7:01:00
,,,,,53,3:31:00,52,7:45:00,50,12:23:00,45,20:36:00,50,30:10:00,50,36:03:00,46,39:36:00,48,51:27:00,47,58:30:00,49,67:44:00,49,74:45:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
50,6th Novice,"David Lill 
Landon Lill
TC - Joe Bryan
TC - Emily Lill",2203,9:00, ,12:33:00, ,16:50:00, ,21:38:00, ,8:11:00, ,15:55:00, ,21:30:00, ,6:04:00, ,14:43:00, ,0:51:00, ,7:49:00, ,12:50:00
,,,,,55,3:33:00,54,4:17:00,54,4:48:00,65,10:33:00,41,7:44:00,52,5:35:00,67,8:34:00,36,8:39:00,62,10:08:00,51,6:58:00,29,5:01:00
,,,,,55,3:33:00,56,7:50:00,54,12:38:00,59,23:11:00,53,30:55:00,51,36:30:00,55,45:04:00,54,53:43:00,54,63:51:00,50,70:49:00,50,75:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
51,7th Tandem,"Mike Buck 
Kent Fish
TC - Kim Buck
TC - Hannah Fish",6255,9:00, ,12:57:00, ,17:00:00, ,22:05:00, ,9:33:00, ,17:40:00, ,5:05:00, ,8:02:00, ,16:52:00, ,5:11:00, ,10:20:00, ,14:38:00
,,,,,65,3:57:00,44,4:03:00,58,5:05:00,70,11:28:00,48,8:07:00,69,11:25:00,38,2:57:00,37,8:50:00,66,12:19:00,25,5:09:00,19,4:18:00
,,,,,65,3:57:00,59,8:00:00,58,13:05:00,63,24:33:00,60,32:40:00,61,44:05:00,57,47:02:00,57,55:52:00,59,68:11:00,52,73:20:00,51,77:38:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
52,6th Mens Solo,"Doug Rhude
TC - Dan Cantu",62,9:00, ,12:04:00, ,16:10:00, ,21:32:00, ,8:12:00, ,17:35:00, ,8:03:00, ,11:10:00, ,20:16:00, ,5:17:00, ,10:41:00, ,15:29:00
,,,,,34,3:04:00,47,4:06:00,62,5:22:00,66,10:40:00,62,9:23:00,71,14:28:00,43,3:07:00,39,9:06:00,60,9:01:00,29,5:24:00,26,4:48:00
,,,,,34,3:04:00,41,7:10:00,52,12:32:00,60,23:12:00,59,32:35:00,66,47:03:00,64,50:10:00,62,59:16:00,60,68:17:00,54,73:41:00,52,78:29:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
53,7th Novice,"Jonathon Schneider Jonathan Fitzsimons
TC - Roger Schneider
TC - Bill Doerr",1989,9:00, ,13:02:00, ,17:48:00, ,22:48:00, ,6:52:00, ,15:43:00, ,21:35:00, ,4:40:00, ,14:02:00, ,0:51:00, ,8:38:00, ,15:32:00
,,,,,69,4:02:00,67,4:46:00,57,5:00:00,49,8:04:00,58,8:51:00,54,5:52:00,65,7:05:00,44,9:22:00,63,10:49:00,58,7:47:00,51,6:54:00
,,,,,69,4:02:00,68,8:48:00,63,13:48:00,50,21:52:00,52,30:43:00,53,36:35:00,51,43:40:00,50,53:02:00,54,63:51:00,51,71:38:00,53,78:32:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
54,8th Novice,"Doug Wick 
Jim Wick
TC - Deena Estrada-Salinas
TC - Laura Hernandez",1411,9:00, ,12:51:00, ,17:40:00, ,23:30:00, ,9:20:00, ,18:15:00, ,6:09:00, ,9:45:00, ,20:20:00, ,3:41:00, ,10:25:00, ,15:38:00
,,,,,64,3:51:00,69,4:49:00,68,5:50:00,62,9:50:00,60,8:55:00,70,11:54:00,53,3:36:00,55,10:35:00,52,7:21:00,49,6:44:00,33,5:13:00
,,,,,64,3:51:00,65,8:40:00,68,14:30:00,62,24:20:00,62,33:15:00,63,45:09:00,61,48:45:00,63,59:20:00,57,66:41:00,53,73:25:00,54,78:38:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
55,13th Unlimited,"James Mason
Matthew Beran
Carlos Castro
TC - Maribeth Beran
TC - Yotzin Carbajal",908,9:00, ,12:25:00, ,16:30:00, ,20:41:00, ,5:40:00, ,14:11:00, ,22:40:00, ,1:00:00, ,12:10:00, ,19:08:00, ,11:54:00, ,16:41:00
,,,,,47,3:25:00,45,4:05:00,42,4:11:00,56,8:59:00,54,8:31:00,62,8:29:00,17,2:20:00,58,11:10:00,43,6:58:00,67,16:46:00,24,4:47:00
,,,,,47,3:25:00,45,7:30:00,43,11:41:00,46,20:40:00,45,29:11:00,56,37:40:00,47,40:00:00,46,51:10:00,46,58:08:00,56,74:54:00,55,79:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4th USCA C1,"Andy Brown
TC - Jennifer Brown
TC - Jessica Ward",131,9:00, ,13:03:00, ,17:31:00, ,22:24:00, ,7:43:00, ,16:37:00, ,22:06:00, ,4:00:00, ,14:18:00, ,22:30:00, ,12:36:00, ,17:44:00
,,,,,71,4:03:00,62,4:28:00,56,4:53:00,59,9:19:00,59,8:54:00,47,5:29:00,60,5:54:00,52,10:18:00,57,8:12:00,64,14:06:00,30,5:08:00
,,,,,71,4:03:00,62,8:31:00,60,13:24:00,56,22:43:00,56,31:37:00,55,37:06:00,49,43:00:00,52,53:18:00,51,61:30:00,57,75:36:00,56,80:44:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
57,9th Novice,"Adam Keller 
Philip Athey
TC - James C. Bianchi
TC - Skip Keller",911,9:00, ,13:04:00, ,17:48:00, ,23:10:00, ,9:17:00, ,18:58:00, ,1:58:00, ,8:10:00, ,17:42:00, ,4:45:00, ,11:51:00, ,17:49:00
,,,,,72,4:04:00,66,4:44:00,62,5:22:00,64,10:07:00,64,9:41:00,59,7:00:00,62,6:12:00,45,9:32:00,64,11:03:00,53,7:06:00,45,5:58:00
,,,,,72,4:04:00,68,8:48:00,65,14:10:00,61,24:17:00,64,33:58:00,58,40:58:00,59,47:10:00,58,56:42:00,58,67:45:00,55,74:51:00,57,80:49:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
58,7th Mens Solo,"Mike Smith
TC - Mic Chrisman
TC - Johanna Smith",2112,9:00, ,12:28:00, ,16:57:00, ,22:30:00, ,7:20:00, ,15:05:00, ,20:04:00, ,5:58:00, ,14:02:00, ,22:30:00, ,12:39:00, ,18:34:00
,,,,,50,3:28:00,63,4:29:00,66,5:33:00,55,8:50:00,42,7:45:00,38,4:59:00,69,9:54:00,31,8:04:00,58,8:28:00,65,14:09:00,44,5:55:00
,,,,,50,3:28:00,58,7:57:00,61,13:30:00,52,22:20:00,49,30:05:00,48,35:04:00,54,44:58:00,51,53:02:00,52,61:30:00,58,75:39:00,58,81:34:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
59,14th Unlimited,"Alfred Leon
Debra Galvan
Catherine Andrews
TC - Terri Thompson",1717,9:00, ,12:42:00, ,16:44:00, ,22:21:00, ,9:39:00, ,17:54:00, ,3:39:00, ,8:07:00, ,19:44:00, ,7:56:00, ,13:39:00, ,19:03:00
,,,,,58,3:42:00,41,4:02:00,67,5:37:00,69,11:18:00,51,8:15:00,64,9:45:00,57,4:28:00,60,11:37:00,65,12:12:00,34,5:43:00,36,5:24:00
,,,,,58,3:42:00,51,7:44:00,59,13:21:00,64,24:39:00,61,32:54:00,60,42:39:00,58,47:07:00,61,58:44:00,62,70:56:00,59,76:39:00,59,82:03:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
60,10th Novice,"Perry Chapman 
Ivan Beltran
TC - Maggie Daum
TC - Robin Cleary",906,9:00, ,13:02:00, ,17:41:00, ,23:07:00, ,12:21:00, ,20:35:00, ,6:26:00, ,9:55:00, ,18:57:00, ,1:45:00, ,13:49:00, ,19:08:00
,,,,,69,4:02:00,64,4:39:00,65,5:26:00,71,13:14:00,50,8:14:00,65,9:51:00,50,3:29:00,38,9:02:00,36,6:48:00,63,12:04:00,35,5:19:00
,,,,,69,4:02:00,66,8:41:00,64,14:07:00,70,27:21:00,65,35:35:00,64,45:26:00,62,48:55:00,59,57:57:00,56,64:45:00,60,76:49:00,60,82:08:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
61,8th Mens Solo,"Vincent Lopez
TC - Adam Contreras",762,9:00, ,12:44:00, ,17:09:00, ,5:46:00, ,11:47:00, ,1:40:00, ,7:14:00, ,10:45:00, ,5:40:00, ,12:54:00, ,18:03:00, ,0:38:00
,* 2 Hour Penalty - Mandatory Portage,,,,60,3:44:00,61,4:25:00,73,12:37:00,36,6:01:00,70,13:53:00,50,5:34:00,51,3:31:00,68,18:55:00,49,7:14:00,25,5:09:00,50,6:35:00
,,,,,60,3:44:00,61,8:09:00,72,20:46:00,66,26:47:00,70,40:40:00,65,46:14:00,63,49:45:00,64,68:40:00,64,75:54:00,61,81:03:00,61,87:38:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
62,8th Tandem,"Pat Stroka 
Mark Taylor
TC - Doyle Mosier
TC - Jenna Cantwell",6755,9:00, ,12:58:00, ,17:00:00, ,21:52:00, ,11:42:00, ,3:50:00, ,8:46:00, ,12:32:00, ,6:30:00, ,13:09:00, ,20:32:00, ,2:32:00
,,,,,66,3:58:00,41,4:02:00,55,4:52:00,72,13:50:00,72,16:08:00,35,4:56:00,54,3:46:00,66,17:58:00,30,6:39:00,55,7:23:00,47,6:00:00
,,,,,66,3:58:00,59,8:00:00,57,12:52:00,65,26:42:00,71,42:50:00,69,47:46:00,66,51:32:00,65,69:30:00,65,76:09:00,65,83:32:00,62,89:32:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
63,9th Mens Solo,"Jon Schoepflin
TC - Austin Leger",41,9:00, ,12:50:00, ,18:01:00, ,2:59:00, ,12:06:00, ,0:12:00, ,8:08:00, ,11:33:00, ,7:18:00, ,15:27:00, ,21:45:00, ,7:06:00
,,,,,62,3:50:00,74,5:11:00,69,8:58:00,57,9:07:00,69,12:06:00,61,7:56:00,48,3:25:00,69,19:45:00,56,8:09:00,44,6:18:00,61,9:21:00
,,,,,62,3:50:00,70,9:01:00,69,17:59:00,69,27:06:00,69,39:12:00,67,47:08:00,65,50:33:00,67,70:18:00,66,78:27:00,66,84:45:00,63,94:06:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
64,9th Tandem,"Gary Gibson 
Brandon Gibson
TC - Julia Gibson
TC - Kristen Gibson",4614,9:00, ,12:18:00, ,16:27:00, ,20:16:00, ,7:29:00, ,17:12:00, ,22:42:00, ,7:01:00, ,16:21:00, ,23:01:00, ,19:39:00, ,7:18:00
,,,,,44,3:18:00,52,4:09:00,29,3:49:00,68,11:13:00,65,9:43:00,48,5:30:00,66,8:19:00,43,9:20:00,31,6:40:00,68,20:38:00,64,11:39:00
,,,,,44,3:18:00,44,7:27:00,41,11:16:00,55,22:29:00,58,32:12:00,57,37:42:00,56,46:01:00,56,55:21:00,53,62:01:00,62,82:39:00,64,94:18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
65,10th Mens Solo,"John Crowe
TC - Diane Crowe
TC - Michael Crowe",522,9:00, ,13:15:00, ,17:37:00, ,6:33:00, ,14:27:00, ,23:31:00, ,10:36:00, ,15:46:00, ,7:19:00, ,15:55:00, ,23:27:00, ,8:10:00
,,,,,76,4:15:00,58,4:22:00,75,12:56:00,46,7:54:00,61,9:04:00,68,11:05:00,58,5:10:00,64,15:33:00,59,8:36:00,56,7:32:00,56,8:43:00
,,,,,76,4:15:00,64,8:37:00,73,21:33:00,71,29:27:00,68,38:31:00,70,49:36:00,68,54:46:00,68,70:19:00,67,78:55:00,67,86:27:00,65,95:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
66,11th Mens Solo,"Dan Gideon
TC - Tiffany Marconi
TC - Abby Brown",2468,9:00, ,13:15:00, ,18:24:00, ,3:30:00, ,11:48:00, ,22:09:00, ,8:22:00, ,14:37:00, ,6:54:00, ,16:40:00, ,23:27:00, ,8:10:01
,,,,,76,4:15:00,73,5:09:00,70,9:06:00,52,8:18:00,66,10:21:00,66,10:13:00,63,6:15:00,65,16:17:00,61,9:46:00,50,6:47:00,57,8:43:01
,,,,,76,4:15:00,73,9:24:00,70,18:30:00,67,26:48:00,67,37:09:00,68,47:22:00,67,53:37:00,66,69:54:00,68,79:40:00,68,86:27:00,66,95:10:01
,,,,,,,,,,,,,,,,,,,,,,,,,,
67,15th Unlimited,"Charlie Kouba Coy Kouba
TC - Tony Kouba
TC - Addie Kouba",1402,9:00, ,12:45:00, ,18:18:00, ,23:25:00, ,7:21:00, ,18:49:00, ,5:51:00, ,9:06:00, ,19:28:00, ,12:54:00, ,19:55:00, ,8:43:00
,,,,,61,3:45:00,75,5:33:00,60,5:07:00,47,7:56:00,68,11:28:00,67,11:02:00,45,3:15:00,53,10:22:00,68,17:26:00,52,7:01:00,67,12:48:00
,,,,,61,3:45:00,72,9:18:00,67,14:25:00,53,22:21:00,63,33:49:00,62,44:51:00,60,48:06:00,60,58:28:00,63,75:54:00,63,82:55:00,67,95:43:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"K. Boren Sr. 
K. Boren Jr.
TC - Charlie Boren",614,9:00, ,12:29:00, ,16:49:00, ,21:15:00, ,6:42:00, ,17:03:00, ,2:32:00, ,5:35:00, ,16:09:00, ,6:04:00, ,20:30:00,,
,,,KC Boren Jr out at Hocheim,,51,3:29:00,55,4:20:00,46,4:26:00,61,9:27:00,67,10:21:00,63,9:29:00,41,3:03:00,54,10:34:00,67,13:55:00,66,14:26:00,,
,,,,,51,3:29:00,55,7:49:00,47,12:15:00,49,21:42:00,57,32:03:00,59,41:32:00,53,44:35:00,55,55:09:00,61,69:04:00,64,83:30:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Rex Stanford
TC - Bryan Orf
TC - Fred Kissick",3091,9:00, ,13:04:00, ,18:12:00, ,6:58:00, ,15:23:00, ,6:07:00, ,12:35:00, ,16:44:00, ,11:02:00,,,,,,
,,,,,72,4:04:00,72,5:08:00,74,12:46:00,54,8:25:00,71,14:44:00,58,6:28:00,56,4:09:00,67,18:18:00,,,,,,
,,,,,72,4:04:00,71,9:12:00,75,21:58:00,72,30:23:00,72,45:07:00,71,51:35:00,69,55:44:00,69,74:02:00,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Mike Drost 
Janie Glos
TC - Curt Slaten
TC - Lindsay Stillman",1976,9:00, ,12:02:00, ,15:44:00, ,19:28:00, ,1:14:00, ,8:48:00, ,16:23:00,,,,,,,,,,
,,,,,30,3:02:00,29,3:42:00,26,3:44:00,29,5:46:00,39,7:34:00,60,7:35:00,,,,,,,,,,
,,,,,30,3:02:00,28,6:44:00,25,10:28:00,28,16:14:00,32,23:48:00,39,31:23:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Joseph Graef 
Amanda Hilliker
TC - Addison Perkins
TC - Jeannette Burris",3030,9:00, ,12:16:00, ,16:36:00, ,20:54:00, ,7:49:00, ,15:56:00, ,21:00:00,,,,,,,,,,
,,,,,43,3:16:00,55,4:20:00,44,4:18:00,67,10:55:00,47,8:07:00,41,5:04:00,,,,,,,,,,
,,,,,43,3:16:00,47,7:36:00,45,11:54:00,57,22:49:00,54,30:56:00,49,36:00:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Bj Dobbs 
Rex Manning
TC - Reba Manning
TC - Crystal Dobbs",6988,9:00, ,13:33:00, ,18:40:00, ,4:44:00, ,12:01:00, ,20:47:00,,,,,,,,,,,,
,,,,,79,4:33:00,71,5:07:00,71,10:04:00,43,7:17:00,56,8:46:00,,,,,,,,,,,,
,,,,,79,4:33:00,74,9:40:00,71,19:44:00,68,27:01:00,66,35:47:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Travis Crow Richard Crow
TC - Tracy Crow
TC - Margaret Crow",11,9:00, ,12:13:00, ,15:54:00, ,20:06:00,,,,,,,,,,,,,,,,
,,,,,40,3:13:00,27,3:41:00,43,4:12:00,,,,,,,,,,,,,,,,
,,,,,40,3:13:00,35,6:54:00,39,11:06:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Veronica Sosa 
Lauren DeLouche
TC - Monica Penrod
TC - Brad Combs",4116,9:00, ,13:09:00, ,19:17:00, ,9:56:00,,,,,,,,,,,,,,,,
,,,,,75,4:09:00,79,6:08:00,76,14:39:00,,,,,,,,,,,,,,,,
,,,,,75,4:09:00,77,10:17:00,76,24:56:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"David Carlson
TC - Henry Meyer
TC - Tom Phillips",717,9:00, ,12:04:00, ,15:53:00, ,19:59:00,,,,,,,,,,,,,,,,
,,,,,34,3:04:00,34,3:49:00,40,4:06:00,,,,,,,,,,,,,,,,
,,,,,34,3:04:00,34,6:53:00,36,10:59:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Samuel Vester 
Thomas  Vester
TC - Chase Bauer
TC - Lari Blevins",85,9:00, ,14:52:00, ,19:47:00, ,6:54:00,,,,,,,,,,,,,,,,
,,,,,81,5:52:00,70,4:55:00,72,11:07:00,,,,,,,,,,,,,,,,
,,,,,81,5:52:00,79,10:47:00,74,21:54:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Mark Netland
TC - James Netland",146,9:00, ,13:07:00, ,18:55:00,,,,,,,,,,,,,,,,,,
,,,,,74,4:07:00,77,5:48:00,,,,,,,,,,,,,,,,,,
,,,,,74,4:07:00,75,9:55:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Chris Christofferson
TC - James Netland",619,9:00, ,13:01:00, ,18:55:00,,,,,,,,,,,,,,,,,,
,,,,,68,4:01:00,78,5:54:00,,,,,,,,,,,,,,,,,,
,,,,,68,4:01:00,75,9:55:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Henry Mecredy
TC - Henry Taylor
TC - Evan Mecredy",1714,9:00, ,13:31:00, ,19:18:00,,,,,,,,,,,,,,,,,,
,,,,,78,4:31:00,76,5:47:00,,,,,,,,,,,,,,,,,,
,,,,,78,4:31:00,78,10:18:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Matthew Bonura
TC - Christi Lancaster
TC - Jay Bonura",224,9:00, ,12:33:00,,,,,,,,,,,,,,,,,,,,
,,,,,55,3:33:00,,,,,,,,,,,,,,,,,,,,
,,,,,55,3:33:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,,"Ivan Stephens
Ben Burnside
Alex Lee
TC - Scott Stephens
TC - Curtis Wall",1234,9:00, ,14:23:00,,,,,,,,,,,,,,,,,,,,
,,,,,80,5:23:00,,,,,,,,,,,,,,,,,,,,
,,,,,80,5:23:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
