,,,,,,,,,,2013 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,0.582638889,,Time Out,,,,,,,,,,,,
9,4th Unlimited,82,"Chris Paddack
Jim Weber
Chuck Stewart
Charlie Stewart
Vance Sherrod
Pete Binion
TC - Sandy Sherrod
TC - Courtney Belk",9:00,,11:39:00,,15:30:00,,19:04:00,,23:36:00,,6:07:00,,10:12:00,,12:29:00,,19:29:00,,3:15:00,,8:12:00,,11:25:00
,,,,,7,2:39:00,8,3:51:00,7,3:34:00,7,4:32:00,7,6:31:00,3,4:05:00,2,2:17:00,6,7:00:00,25,7:46:00,17,4:57:00,9,3:13:00
,,,,,7,2:39:00,7,6:30:00,7,10:04:00,7,14:36:00,6,21:07:00,6,25:12:00,6,27:29:00,6,34:29:00,7,42:15:00,9,47:12:00,9,50:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1st Mixed,1113,"Megan Yeager
John Bugge
TC - Dawn Wheeler",9:00,,11:58:00,,16:03:00,,19:56:00,,0:56:00,,8:01:00,,12:46:00,,15:23:00,,22:48:00,,4:55:00,,8:39:00,,11:46:00
,,,,,17,2:58:00,16,4:05:00,16,3:53:00,18,5:00:00,16,7:05:00,14,4:45:00,11,2:37:00,9,7:25:00,8,6:07:00,7,3:44:00,8,3:07:00
,,,,,17,2:58:00,16,7:03:00,15,10:56:00,16,15:56:00,14,23:01:00,14,27:46:00,13,30:23:00,13,37:48:00,10,43:55:00,10,47:39:00,10,50:46:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5th Unlimited,3711,"Darryl Jiral
Kaitlin Jiral
Karim Aziz
TC - John LaRocque",9:00,,11:50:00,,15:47:00,,19:30:00,,0:19:00,,7:11:00,,11:42:00,,14:23:00,,22:10:00,,5:10:00,,9:17:00,,12:46:00
,,,,,11,2:50:00,10,3:57:00,10,3:43:00,14,4:49:00,11,6:52:00,11,4:31:00,13,2:41:00,11,7:47:00,15,7:00:00,9,4:07:00,12,3:29:00
,,,,,11,2:50:00,11,6:47:00,11,10:30:00,13,15:19:00,12,22:11:00,11,26:42:00,11,29:23:00,10,37:10:00,12,44:10:00,11,48:17:00,11,51:46:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3rd Mens Solo,19,"Geoff Waters
TC - David Froelich",9:00,,11:52:00,,15:38:00,,19:27:00,,0:13:00,,7:08:00,,11:36:00,,14:14:00,,22:42:00,,4:58:00,,10:21:00,,13:45:00
,,,,,13,2:52:00,7,3:46:00,15,3:49:00,13,4:46:00,12,6:55:00,8,4:28:00,12,2:38:00,15,8:28:00,9,6:16:00,20,5:23:00,11,3:24:00
,,,,,13,2:52:00,8,6:38:00,9,10:27:00,10,15:13:00,9,22:08:00,10,26:36:00,10,29:14:00,12,37:42:00,11,43:58:00,13,49:21:00,12,52:45:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
