,,,,,,,,,,2013 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,0.582638889,,Time Out,,,,,,,,,,,,
,,,,,53,3:38:00,51,8:35:00,83,17:29:00,78,25:25:00,60,33:37:00,60,45:09:00,56,48:15:00,49,58:18:00,42,66:51:00,42,72:38:00,39,78:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9th Unlimited,3734,"Brian Frey
Sarah Frey
TC - Chelsea Rumbo",9:00,,12:26:00,,17:18:00,,22:15:00,,7:19:00,,15:31:00,,5:07:00,,8:18:00,,17:24:00,,3:58:00,,9:43:00,,15:57:00
,,,DNF - Kevin Halbert out at Cheapside,,39,3:26:00,46,4:52:00,39,4:57:00,82,9:04:00,29,8:12:00,96,13:36:00,30,3:11:00,18,9:06:00,72,10:34:00,27,5:45:00,64,6:14:00
,,,,,39,3:26:00,46,8:18:00,39,13:15:00,51,22:19:00,42,30:31:00,57,44:07:00,53,47:18:00,41,56:24:00,44,66:58:00,43,72:43:00,40,78:57:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
41,5th USCA C2,213,"Jamie Sanderford
Brian Sanderford
TC - Anne Sanderford",9:00,,13:05:00,,17:48:00,,23:02:00,,5:53:00,,16:16:00,,0:29:00,,4:05:00,,14:56:00,,23:14:00,,10:49:00,,15:59:00
,,,,,70,4:05:00,38,4:43:00,47,5:14:00,39,6:51:00,69,10:23:00,63,8:13:00,43,3:36:00,30,10:51:00,38,8:18:00,83,11:35:00,30,5:10:00
,,,,,70,4:05:00,55,8:48:00,53,14:02:00,41,20:53:00,44,31:16:00,47,39:29:00,39,43:05:00,38,53:56:00,38,62:14:00,45,73:49:00,41,78:59:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5th USCA C2,971,"Ken Startz
TC - Laura Startz
TC - Henry Dornak, SR",9:00,,12:09:00,,16:44:00,,22:10:00,,6:52:00,,16:03:00,,22:40:00,,6:42:00,,17:58:00,,4:02:00,,10:42:00,,17:18:00
,,,DNF Henry Dornak out at Luling,,21,3:09:00,32,4:35:00,53,5:26:00,76,8:42:00,47,9:11:00,45,6:37:00,93,8:02:00,34,11:16:00,67,10:04:00,40,6:40:00,67,6:36:00
,,,,,21,3:09:00,26,7:44:00,37,13:10:00,47,21:52:00,43,31:03:00,41,37:40:00,45,45:42:00,44,56:58:00,45,67:02:00,44,73:42:00,42,80:18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2nd Novice,218,"Carlos Benavides
Bart Rogers
TC - Bobby Benavides",9:00,,12:25:00,,17:17:00,,22:29:00,,6:44:00,,16:45:00,,3:35:00,,7:49:00,,17:54:00,,6:11:00,,11:45:00,,17:51:00
,,,,,38,3:25:00,48,4:52:00,45,5:12:00,64,8:15:00,64,10:01:00,76,10:50:00,64,4:14:00,25,10:05:00,84,12:17:00,26,5:34:00,58,6:06:00
,,,,,38,3:25:00,43,8:17:00,44,13:29:00,46,21:44:00,49,31:45:00,54,42:35:00,50,46:49:00,43,56:54:00,47,69:11:00,46,74:45:00,43,80:51:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
44,7th USCA C2,505,"Michael Markowski
Steven Markowski
TC - John Markowski",9:00,,12:53,,18:21:00,,1:45:00,,9:13:00,,18:42:00,,1:57:00,,7:14:00,,18:52:00,,6:20:00,,12:50:00,,18:10:00
,,,,,62,3:53:00,73,5:28:00,81,7:24:00,50,7:28:00,50,9:29:00,52,7:15:00,82,5:17:00,38,11:38:00,78,11:28:00,34,6:30:00,38,5:20:00
,,,,,62,3:53:00,67,9:21:00,79,16:45:00,65,24:13:00,63,33:42:00,51,40:57:00,48,46:14:00,47,57:52:00,48,69:20:00,47,75:50:00,44,81:10:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
45,11th Mens Solo,9969,"Michael McGuire
TC - Michael McGuire",9:00,,12:23:00,,16:58:00,,22:16:00,,4:15:00,,13:03:00,,18:33:00,,22:37:00,,17:40:00,,2:18:00,,9:11:00,,18:33:00
,,,,,35,3:23:00,31,4:35:00,50,5:18:00,28,5:59:00,40,8:48:00,25,5:30:00,58,4:04:00,91,19:03:00,43,8:38:00,47,6:53:00,78,9:22:00
,,,,,35,3:23:00,32,7:58:00,40,13:16:00,31,19:15:00,31,28:03:00,28,33:33:00,30,37:37:00,42,56:40:00,41,65:18:00,39,72:11:00,45,81:33:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3rd Novice,304,"Alan Whited
Dusty Coates
TC - Aubrey Coates",9:00,,12:48:00,,17:54:00,,2:20:00,,10:35:00,,19:26:00,,6:54:00,,9:43:00,,21:56:00,,7:53:00,,13:52:00,,18:35:00
,,,,,57,3:48:00,60,5:06:00,83,8:26:00,65,8:15:00,41,8:51:00,79,11:28:00,16,2:49:00,49,12:13:00,66,9:57:00,29,5:59:00,21,4:43:00
,,,,,57,3:48:00,57,8:54:00,82,17:20:00,79,25:35:00,65,34:26:00,67,45:54:00,59,48:43:00,56,60:56:00,52,70:53:00,49,76:52:00,46,81:35:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4th Novice,7466,"Justin Brzozowske
Roger Barret
TC - Jim Estes",9:00,,12:43:00,,17:59:00,,0:31:00,,8:45:00,,17:38:00,,5:10:00,,8:28:00,,18:04:00,,7:27:00,,14:02:00,,19:03:00
,,,,,55,3:43:00,67,5:16:00,76,6:32:00,63,8:14:00,42,8:53:00,80,11:32:00,34,3:18:00,21,9:36:00,86,13:23:00,35,6:35:00,26,5:01:00
,,,,,55,3:43:00,59,8:59:00,68,15:31:00,60,23:45:00,52,32:38:00,58,44:10:00,54,47:28:00,45,57:04:00,51,70:27:00,51,77:02:00,47,82:03:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7th Aluminum,1984,"Bob Hutchins
Jonathan Garcia
TC - Aubrey Williams",9:00,,12:45:00,,18:23:00,,23:44:00,,7:11:00,,17:40:00,,1:38:00,,6:33:00,,19:09:00,,7:14:00,,13:54:00,,19:24:00
,,,,,56,3:45:00,79,5:38:00,52,5:21:00,49,7:27:00,72,10:29:00,61,7:58:00,77,4:55:00,51,12:36:00,83,12:05:00,41,6:40:00,42,5:30:00
,,,,,56,3:45:00,69,9:23:00,56,14:44:00,49,22:11:00,53,32:40:00,50,40:38:00,43,45:33:00,48,58:09:00,49,70:14:00,50,76:54:00,48,82:24:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1st Standard,8,"Chris Sukow 
Brandon Heutmaker
TC - Sukow, Tim",9:00,,12:56:00,,18:16:00,,0:02:00,,7:13:00,,18:12:00,,0:10:00,,6:50:00,,19:59:00,,5:24:00,,13:23:00,,19:49:00
,,,,,65,3:56:00,69,5:20:00,60,5:46:00,43,7:11:00,79,10:59:00,34,5:58:00,91,6:40:00,58,13:09:00,59,9:25:00,59,7:59:00,66,6:26:00
,,,,,65,3:56:00,66,9:16:00,61,15:02:00,50,22:13:00,58,33:12:00,43,39:10:00,47,45:50:00,54,58:59:00,46,68:24:00,48,76:23:00,49,82:49:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
50,12th Mens Solo,2780,"James Ward
TC - Janet Ward",9:00,,12:32:00,,17:24:00,,22:21:00,,7:29:00,,17:03:00,,0:10:00,,5:08:00,,18:32:00,,8:15:00,,14:53:00,,20:43:00
,,,,,48,3:32:00,46,4:52:00,39,4:57:00,84,9:08:00,53,9:34:00,51,7:07:00,79,4:58:00,60,13:24:00,89,13:43:00,36,6:38:00,50,5:50:00
,,,,,48,3:32:00,48,8:24:00,41,13:21:00,52,22:29:00,50,32:03:00,43,39:10:00,41,44:08:00,46,57:32:00,53,71:15:00,52,77:53:00,50,83:43:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
51,8th Aluminum,7880,"Matt Sandel
Chris Champion
TC - AJ Champion",9:00,,13:07:00,,18:36:00,,0:41:00,,8:47:00,,18:00:00,,0:20:00,,6:24:00,,19:51:00,,9:20:00,,15:40:00,,20:47:00
,,,,,72,4:07:00,74,5:29:00,65,6:05:00,62,8:06:00,48,9:13:00,38,6:20:00,89,6:04:00,61,13:27:00,87,13:29:00,33,6:20:00,29,5:07:00
,,,,,72,4:07:00,73,9:36:00,69,15:41:00,61,23:47:00,56,33:00:00,45,39:20:00,42,45:24:00,52,58:51:00,54,72:20:00,53,78:40:00,51,83:47:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2nd Womens Solo,1961,"Brenda Jones
TC - Ed Jones",9:00,,13:05:00,,18:05:00,,0:19:00,,8:20:00,,17:03:00,,2:25:00,,8:00:00,,19:37:00,,7:16:00,,16:00:00,,21:57:00
,,,,,70,4:05:00,53,5:00:00,72,6:14:00,60,8:01:00,38,8:43:00,70,9:22:00,85,5:35:00,36,11:37:00,80,11:39:00,71,8:44:00,53,5:57:00
,,,,,70,4:05:00,63,9:05:00,64,15:19:00,54,23:20:00,50,32:03:00,52,41:25:00,52,47:00:00,50,58:37:00,50,70:16:00,54,79:00:00,52,84:57:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
53,5th Novice,2602,"Steven Van Horn
Joel Truitt
TC - Kelly Truitt",9:00,,12:39:00,,17:43:00,,22:44:00,,6:25:00,,16:39:00,,0:55:00,,6:37:00,,19:57:00,,10:12:00,,16:18:00,,22:24:00
,,,,,54,3:39:00,58,5:04:00,42,5:01:00,55,7:41:00,67,10:14:00,64,8:16:00,87,5:42:00,59,13:20:00,91,14:15:00,30,6:06:00,57,6:06:00
,,,,,54,3:39:00,54,8:43:00,51,13:44:00,45,21:25:00,46,31:39:00,49,39:55:00,44,45:37:00,53,58:57:00,57,73:12:00,55,79:18:00,53,85:24:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3rd USCA C1,133,"Derrick Lee
TC - Bryan Lowry",9:00,,13:12:00,,18:25:00,,0:20:00,,9:01:00,,18:41:00,,6:43:00,,10:10:00,,0:12:00,,9:55:00,,17:22:00,,23:03:00
,,,,,83,4:12:00,64,5:13:00,61,5:55:00,74,8:41:00,57,9:40:00,90,12:02:00,38,3:27:00,62,14:02:00,63,9:43:00,51,7:27:00,47,5:41:00
,,,,,83,4:12:00,70,9:25:00,66,15:20:00,63,24:01:00,61,33:41:00,64,45:43:00,61,49:10:00,58,63:12:00,55,72:55:00,56,80:22:00,54,86:03:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4th Tandem,762,"Michael Mathews II
Andrew Davis
TC - Jim Buckner",9:00,,12:56:00,,17:59:00,,23:58:00,,10:43:00,,20:33:00,,6:41:00,,11:00:00,,1:20:00,,11:00:00,,17:47:00,,23:26:00
,,,,,65,3:56:00,56,5:03:00,64,5:59:00,97,10:45:00,60,9:50:00,72,10:08:00,69,4:19:00,65,14:20:00,62,9:40:00,44,6:47:00,46,5:39:00
,,,,,65,3:56:00,59,8:59:00,58,14:58:00,80,25:43:00,71,35:33:00,63,45:41:00,66,50:00:00,66,64:20:00,63,74:00:00,57,80:47:00,55,86:26:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3rd Mixed,2528,"John Moore
Irene Moore
TC - Larry St Clair
TC - Omar Cortina",9:00,,12:26:00,,17:32:00,,22:47:00,,7:03:00,,17:44:00,,5:40:00,,9:39:00,,1:39:00,,12:06:00,,18:45:00,,23:35:00
,,,,,39,3:26:00,61,5:06:00,48,5:15:00,66,8:16:00,74,10:41:00,89,11:56:00,56,3:59:00,79,16:00:00,71,10:27:00,38,6:39:00,22,4:50:00
,,,,,39,3:26:00,50,8:32:00,52,13:47:00,48,22:03:00,54,32:44:00,59,44:40:00,57,48:39:00,67,64:39:00,66,75:06:00,60,81:45:00,56,86:35:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6th Novice,4140,"McCrae Kempf
Daniel Kempf
TC - MacDonald Kempf",9:00,,13:11:00,,19:07:00,,6:15:00,,13:00:00,,21:23:00,,6:44:00,,10:38:00,,2:54:00,,11:53:00,,18:37:00,,0:07:00
,,,,,82,4:11:00,91,5:56:00,93,11:08:00,37,6:45:00,32,8:23:00,69,9:21:00,51,3:54:00,81,16:16:00,48,8:59:00,42,6:44:00,43,5:30:00
,,,,,82,4:11:00,88,10:07:00,91,21:15:00,86,28:00:00,79,36:23:00,65,45:44:00,64,49:38:00,69,65:54:00,65,74:53:00,58,81:37:00,57,87:07:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
58,7th Novice,1313,"Matthew Martinec
Tom Martinec
TC - Elizabeth Williams",9:00,,13:08:00,,18:59:00,,0:54:00,,10:15:00,,19:53:00,,6:22:00,,10:27:00,,3:16:00,,12:22:00,,19:14:00,,0:13:00
,,,,,73,4:08:00,86,5:51:00,61,5:55:00,86,9:21:00,55,9:38:00,75,10:29:00,59,4:05:00,85,16:49:00,53,9:06:00,46,6:52:00,24,4:59:00
,,,,,73,4:08:00,82,9:59:00,71,15:54:00,73,25:15:00,68,34:53:00,61,45:22:00,62,49:27:00,72,66:16:00,67,75:22:00,64,82:14:00,58,87:13:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
59,8th Novice,3574,"Calvin Clark
Marshall Moore
TC - Sharon Barclay",9:00,,13:10:00,,18:52:00,,6:17:00,,13:29:00,,23:20:00,,7:45:00,,12:02:00,,3:56:00,,12:51:00,,19:49:00,,1:50:00
,,,,,75,4:10:00,80,5:42:00,96,11:25:00,46,7:12:00,61,9:51:00,67,8:25:00,67,4:17:00,78,15:54:00,45,8:55:00,48,6:58:00,55,6:01:00
,,,,,75,4:10:00,78,9:52:00,92,21:17:00,91,28:29:00,82,38:20:00,70,46:45:00,69,51:02:00,73,66:56:00,71,75:51:00,66,82:49:00,59,88:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5th Tandem,8083,"Chris Torrey
Justin Moses
TC - Mike Ruewer",9:00,,13:01:00,,18:12:00,,23:58:00,,9:00:00,,18:32:00,,4:22:00,,9:40:00,,0:20:00,,9:56:00,,20:00:00,,1:53:00
,,,,,69,4:01:00,62,5:11:00,59,5:46:00,80,9:02:00,52,9:32:00,71,9:50:00,83,5:18:00,66,14:40:00,61,9:36:00,77,10:04:00,52,5:53:00
,,,,,69,4:01:00,64,9:12:00,58,14:58:00,62,24:00:00,59,33:32:00,56,43:22:00,58,48:40:00,62,63:20:00,56,72:56:00,67,83:00:00,60,88:53:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
61,13th Mens Solo,1979,"Daniel Currey
TC - Bruce Hamilton",9:00,,13:10:00,,19:03:00,,1:20:00,,11:13:00,,21:02:00,,8:45:00,,12:24:00,,3:12:00,,12:25:00,,20:10:00,,2:17:00
,,,,,75,4:10:00,88,5:53:00,74,6:17:00,93,9:53:00,59,9:49:00,83,11:43:00,44,3:39:00,67,14:48:00,56,9:13:00,55,7:45:00,60,6:07:00
,,,,,75,4:10:00,84,10:03:00,76,16:20:00,82,26:13:00,77,36:02:00,75,47:45:00,70,51:24:00,70,66:12:00,69,75:25:00,69,83:10:00,61,89:17:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
62,9th Aluminum,316,"Omar Garcia
Doyle Lowry
TC - Elizabeth Garcia",9:00,,12:52:00,,18:37:00,,23:50:00,,8:40:00,,19:22:00,,7:05:00,,11:27:00,,0:12:00,,12:40:00,,20:27:00,,2:28:00
,,,,,61,3:52:00,82,5:45:00,46,5:13:00,78,8:50:00,75,10:42:00,83,11:43:00,70,4:22:00,53,12:45:00,85,12:28:00,56,7:47:00,54,6:01:00
,,,,,61,3:52:00,74,9:37:00,57,14:50:00,58,23:40:00,64,34:22:00,68,46:05:00,67,50:27:00,58,63:12:00,70,75:40:00,70,83:27:00,62,89:28:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2nd Standard,3,"Gabriel Harris
Stacy Greer
TC - Robert Rhode",9:00,,12:57:00,,19:03:00,,0:58:00,,9:36:00,,19:47:00,,8:49:00,,13:00:00,,0:59:00,,15:25:00,,22:13:00,,3:17:00
,,,,,67,3:57:00,94,6:06:00,61,5:55:00,71,8:38:00,65,10:11:00,95,13:02:00,62,4:11:00,45,11:59:00,92,14:26:00,45,6:48:00,28,5:04:00
,,,,,67,3:57:00,84,10:03:00,73,15:58:00,66,24:36:00,66,34:47:00,76,47:49:00,73,52:00:00,64,63:59:00,80,78:25:00,72,85:13:00,63,90:17:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
64,10th Aluminum,30,"Ralph Castillo
Joshua Castillo
TC - Tom Fleshman",9:00,,13:26:00,,19:18:00,,4:31:00,,13:00:00,,1:53:00,,9:40:00,,14:17:00,,5:43:00,,14:40:00,,21:18:00,,3:25:00
,,,,,92,4:26:00,87,5:52:00,88,9:13:00,69,8:29:00,86,12:53:00,59,7:47:00,74,4:37:00,73,15:26:00,47,8:57:00,37,6:38:00,59,6:07:00
,,,,,92,4:26:00,90,10:18:00,88,19:31:00,86,28:00:00,83,40:53:00,82,48:40:00,81,53:17:00,75,68:43:00,72,77:40:00,71,84:18:00,64,90:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
65,9th Novice,4566,"Conor Edmondson
Michael Woodward
TC - Jessica Schneider",9:00,,13:24:00,,19:31:00,,1:43:00,,14:10:00,,2:30:00,,9:57:00,,13:49:00,,5:14:00,,14:45:00,,22:13:00,,6:33:00
,,,,,91,4:24:00,95,6:07:00,71,6:12:00,100,12:27:00,84,12:20:00,56,7:27:00,49,3:52:00,72,15:25:00,60,9:31:00,52,7:28:00,76,8:20:00
,,,,,91,4:24:00,92,10:31:00,77,16:43:00,94,29:10:00,85,41:30:00,83,48:57:00,79,52:49:00,74,68:14:00,74,77:45:00,72,85:13:00,65,93:33:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
66,10th Novice,1965,"Christopher Roach
Tim Kelley
TC - Patrick Roach
TC - Pat Roach",9:00,,13:31:00,,20:02:00,,6:20:00,,14:00:00,,2:11:00,,9:36:00,,13:32:00,,6:19:00,,14:45:00,,22:13:00,,6:34:00
,,,,,97,4:31:00,99,6:31:00,90,10:18:00,54,7:40:00,83,12:11:00,55,7:25:00,53,3:56:00,84,16:47:00,41,8:26:00,52,7:28:00,77,8:21:00
,,,,,97,4:31:00,98,11:02:00,93,21:20:00,93,29:00:00,84,41:11:00,79,48:36:00,78,52:32:00,78,69:19:00,74,77:45:00,72,85:13:00,66,93:34:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
67,10th Unlimited,21,"Jacob Migliazzo
Jason Embertson
Pavan Dendi
TC - Marc Migliazzo",9:00,,12:53:00,,17:58:00,,0:06:00,,9:56:00,,4:02:00,,10:55:00,,14:35:00,,6:28:00,,15:34:00,,23:56:00,,6:44:00
,,,,,62,3:53:00,59,5:05:00,69,6:08:00,91,9:50:00,97,18:06:00,49,6:53:00,45,3:40:00,77,15:53:00,52,9:06:00,66,8:22:00,68,6:48:00
,,,,,62,3:53:00,58,8:58:00,63,15:06:00,70,24:56:00,89,43:02:00,86,49:55:00,82,53:35:00,79,69:28:00,81,78:34:00,77,86:56:00,67,93:44:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
68,6th Tandem,6755,"Pat Stroka
Mark Taylor
TC - Jeff Taylor",9:00,,13:28:00,,19:02:00,,5:57:00,,13:20:00,,5:02:00,,11:45:00,,15:18:00,,8:48:00,,17:03:00,,23:23:00,,7:30:00
,,,,,94,4:28:00,76,5:34:00,92,10:55:00,47,7:23:00,92,15:42:00,47,6:43:00,40,3:33:00,86,17:30:00,37,8:15:00,31,6:20:00,75,8:07:00
,,,,,94,4:28:00,83,10:02:00,90,20:57:00,89,28:20:00,92,44:02:00,89,50:45:00,85,54:18:00,88,71:48:00,83,80:03:00,76,86:23:00,68,94:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3rd W Solo,1401,"Nancy Bowers
TC - Jonathan Denning
TC - Kathryn Sullivan",9:00,,13:26:00,,18:38:00,,0:04:00,,7:35:00,,18:03:00,,0:28:00,,8:59:00,,20:57:00,,10:41:00,,19:04:00,,8:12:00
,,,,,92,4:26:00,63,5:12:00,53,5:26:00,52,7:31:00,71,10:28:00,39,6:25:00,94,8:31:00,44,11:58:00,90,13:44:00,67,8:23:00,80,13:08:00
,,,,,92,4:26:00,75,9:38:00,62,15:04:00,53,22:35:00,57,33:03:00,46,39:28:00,55,47:59:00,55,59:57:00,60,73:41:00,61,82:04:00,69,95:12:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
70,7th Tandem,69,"C David Brown
Cody Brown
TC - Stuart Brown",9:00,,13:30:00,,19:42:00,,7:00:00,,15:24:00,,6:35:00,,12:21:00,,16:11:00,,6:59:00,,15:06:00,,1:25:00,,9:00:00
,,,,,95,4:30:00,96,6:12:00,95,11:18:00,68,8:24:00,91,15:11:00,31,5:46:00,48,3:50:00,68,14:48:00,35,8:07:00,78,10:19:00,72,7:35:00
,,,,,95,4:30:00,96,10:42:00,97,22:00:00,96,30:24:00,94,45:35:00,90,51:21:00,88,55:11:00,82,69:59:00,76,78:06:00,78,88:25:00,70,96:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
71,11th Novice,1227,"Ryan Wagner
Brian Franck
TC - AJ Wagner",9:00,,14:09:00,,20:06:00,,5:16:00,,13:21:00,,3:25:00,,10:47:00,,14:58:00,,6:14:00,,15:16:00,,1:37:00,,9:08:00
,,,,,107,5:09:00,92,5:57:00,87,9:10:00,61,8:05:00,90,14:04:00,54,7:22:00,62,4:11:00,70,15:16:00,50,9:02:00,79,10:21:00,71,7:31:00
,,,,,107,5:09:00,100,11:06:00,89,20:16:00,90,28:21:00,88,42:25:00,85,49:47:00,84,53:58:00,76,69:14:00,77,78:16:00,79,88:37:00,71,96:08:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
72,12th Novice,2931,"Steve Wilson
Jennifer Wilson
TC - Jan Wilson
TC - McDuffie John",9:00,,13:15:00,,19:06:00,,1:44:00,,10:23:00,,20:11:00,,7:25:00,,10:50:00,,2:20:00,,11:41:00,,19:45:00,,9:13:00
,,,,,86,4:15:00,84,5:51:00,78,6:38:00,73,8:39:00,58,9:48:00,78,11:14:00,36,3:25:00,76,15:30:00,57,9:21:00,60,8:04:00,81,13:28:00
,,,,,86,4:15:00,87,10:06:00,78,16:44:00,77,25:23:00,70,35:11:00,69,46:25:00,65,49:50:00,68,65:20:00,64,74:41:00,65,82:45:00,72,96:13:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
73,14th Mens Solo,3539,"Douglas Eifler
TC - Maria Eifler",9:00,,12:59:00,,18:22:00,,0:00:00,,8:42:00,,18:41:00,,6:35:00,,10:28:00,,6:15:00,,15:16:00,,1:38:00,,9:44:00
,,,,,68,3:59:00,70,5:23:00,57,5:38:00,75,8:42:00,63,9:59:00,87,11:54:00,50,3:53:00,92,19:47:00,49,9:01:00,80,10:22:00,74,8:06:00
,,,,,68,3:59:00,68,9:22:00,60,15:00:00,59,23:42:00,61,33:41:00,62,45:35:00,63,49:28:00,77,69:15:00,78,78:16:00,80,88:38:00,73,96:44:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
74,11th Unlimited,456,"Donald Garcia
Johannes Brinkmann
Steve Peacock
Bryan Kennard
Michael Huebner
Scott Crocker
TC - Becky Garcia",9:00,,13:10:00,,18:53:00,,1:55:00,,10:16:00,,21:20:00,,7:45:00,,13:20:00,,1:08:00,,14:43:00,,4:47:00,,9:58:00
,,,,,75,4:10:00,81,5:43:00,79,7:02:00,67,8:21:00,80,11:04:00,74,10:25:00,85,5:35:00,41,11:48:00,88,13:35:00,88,14:04:00,33,5:11:00
,,,,,75,4:10:00,79,9:53:00,80,16:55:00,74,25:16:00,78,36:20:00,71,46:45:00,76,52:20:00,65,64:08:00,73,77:43:00,82,91:47:00,74,96:58:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4th W Solo,1926,"Janie Glos
TC - Becky Haluska
TC - John Maika",9:00,,12:49:00,,18:02:00,,0:20:00,,9:48:00,,20:41:00,,9:37:00,,13:04:00,,7:21:00,,15:21:00,,4:56:00,,10:20:00
,,,,,58,3:49:00,64,5:13:00,75,6:18:00,87,9:28:00,77,10:53:00,94,12:56:00,37,3:27:00,88,18:17:00,33,8:00:00,87,13:35:00,40,5:24:00
,,,,,58,3:49:00,61,9:02:00,66,15:20:00,68,24:48:00,74,35:41:00,81,48:37:00,75,52:04:00,84,70:21:00,79,78:21:00,84,91:56:00,75,97:20:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3rd Womens,1212,"Lynne Andrus
Paula Scotney-Castle
TC - Lynn Vance",9:00,,13:35:00,,20:06:00,,6:55:00,,15:33:00,,4:22:00,,12:27:00,,16:24:00,,8:33:00,,17:24:00,,4:55:00,,10:27:00
,,,,,99,4:35:00,99,6:31:00,91,10:49:00,72,8:38:00,85,12:49:00,62,8:05:00,54,3:57:00,80,16:09:00,44,8:51:00,82,11:31:00,45,5:32:00
,,,,,99,4:35:00,100,11:06:00,96,21:55:00,97,30:33:00,91,43:22:00,91,51:27:00,89,55:24:00,87,71:33:00,84,80:24:00,83,91:55:00,76,97:27:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
77,8th Tandem,6053,"Kent Fish
Mike Buck
TC - Tina Bunnell",9:00,,13:12:00,,18:48:00,,6:32:00,,10:17:00,,4:20:00,,11:03:00,,15:34:00,,9:54:00,,19:17:00,,5:42:00,,10:41:00
,,,,,83,4:12:00,78,5:36:00,97,11:44:00,2,3:45:00,96,18:03:00,47,6:43:00,71,4:31:00,90,18:20:00,58,9:23:00,81,10:25:00,25,4:59:00
,,,,,83,4:12:00,77,9:48:00,94,21:32:00,75,25:17:00,90,43:20:00,88,50:03:00,86,54:34:00,89,72:54:00,89,82:17:00,86,92:42:00,77,97:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4th USCA C1,1226,"Andrew Stone
TC - Jennifer Tullis",9:00,,13:19:00,,18:53:00,,3:22:00,,13:13:00,,8:56:00,,15:34:00,,20:08:00,,11:36:00,,21:23:00,,6:50:00,,12:04:00
,,,,,88,4:19:00,75,5:34:00,84,8:29:00,92,9:51:00,98,19:43:00,46,6:38:00,72,4:34:00,74,15:28:00,64,9:47:00,75,9:27:00,35,5:14:00
,,,,,88,4:19:00,79,9:53:00,85,18:22:00,88,28:13:00,98,47:56:00,96,54:34:00,93,59:08:00,92,74:36:00,90,84:23:00,87,93:50:00,78,99:04:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
79,13th Novice,34,"Gavin Jobe II
Kevin Carbo
TC - Anna Jobe",9:00,,13:45:00,,19:42:00,,7:30:00,,14:18:00,,6:32:00,,14:15:00,,18:50:00,,6:31:00,,17:26:00,,5:12:00,,12:08:00
,,,,,103,4:45:00,92,5:57:00,98,11:48:00,38,6:48:00,95,16:14:00,58,7:43:00,73,4:35:00,39,11:41:00,76,10:55:00,84,11:46:00,69,6:56:00
,,,,,103,4:45:00,96,10:42:00,98,22:30:00,95,29:18:00,93,45:32:00,94,53:15:00,91,57:50:00,80,69:31:00,85,80:26:00,85,92:12:00,79,99:08:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
80,14th Novice,777,"Cloud Richards
Matt Beahm
TC - Josh Tongate",9:00,,13:37:00,,19:32:00,,2:56:00,,10:52:00,,2:40:00,,11:00:00,,15:48:00,,7:16:00,,17:27:00,,6:58:00,,12:08:01
,,,,,100,4:37:00,89,5:55:00,81,7:24:00,58,7:56:00,93,15:48:00,66,8:20:00,76,4:48:00,74,15:28:00,68,10:11:00,86,13:31:00,32,5:10:01
