,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cuero 72,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Saltwater Barrier,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
0,1,Unlimited,"Andrew Condie
Clay Wyatt
Ian Rolls
Gaston Jones
Logan Mynar
Weston Willoughby

TC Jill Wyatt
TC Fred Mynar",2,0 days 02:09:45,0 days 05:17:00,0 days 08:10:00,0 days 11:45:00,0 days 16:52:00,0 days 21:27:00,0 days 22:29:00,1 days 04:12:00,1 days 09:05:00,1 days 12:06:00,1 days 16:53:00,Unlimited,['Andrew Condie\nClay Wyatt\nIan Rolls\nGaston Jones\nLogan Mynar\nWeston Willoughby\n\n'],['Jill Wyatt\nTC Fred Mynar'],-2.823763907144894e-07,74.40448992689568,145.64964546254998,212.88443072178723,263.14579023315713,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
1,2,Unlimited,"Chris Issendorf
William Russell
Kyle Issendorf
Tim Rask
Tommy Yonley
Nick Walton

TC Wayne Thorp
TC Stephen Rask",314,0 days 02:10:30,0 days 05:16:00,0 days 08:10:00,0 days 11:47:00,0 days 17:03:00,0 days 21:46:00,0 days 22:48:00,1 days 04:54:00,1 days 09:46:00,1 days 13:02:00,1 days 18:30:00,Unlimited,['Chris Issendorf\nWilliam Russell\nKyle Issendorf\nTim Rask\nTommy Yonley\nNick Walton\n\n'],['Wayne Thorp\nTC Stephen Rask'],-2.823763907144894e-07,74.28320135887158,143.80829004918508,208.50697722179515,258.8383045131702,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
2,3,Unlimited,"Jason Cade
Shannon Issendorf
Virginia Parker
Dodd Yeager

TC Cecili Bugge
TC Kaitlin Mynar",3931,0 days 02:34:00,0 days 06:12:00,0 days 09:32:00,0 days 13:34:00,0 days 19:26:00,1 days 00:36:00,1 days 01:56:00,1 days 08:48:00,1 days 14:13:00,1 days 17:49:00,1 days 21:42:00,Unlimited,['Jason Cade\nShannon Issendorf\nVirginia Parker\nDodd Yeager\n\n'],['Cecili Bugge\nTC Kaitlin Mynar'],-2.823763907144894e-07,64.22071538179152,127.48883358611755,185.85147243207075,241.1842022422806,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
3,4,"Solo Unlimited Man
1st Masters","Andrew McEwan

TC Ashley McEwan
TC Kobie Pierce",513,0 days 02:28:36,0 days 05:59:00,0 days 09:22:00,0 days 13:47:00,0 days 20:14:00,1 days 01:45:00,1 days 03:04:00,1 days 10:02:00,1 days 15:44:00,1 days 20:31:00,2 days 00:30:00,Solo Unlimited Man,['Andrew McEwan\n\n'],['Ashley McEwan\nTC Kobie Pierce'],-2.823763907144894e-07,64.93303860441519,122.67810073295996,179.25401076057966,233.2735608525294,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
4,5,Tandem Unlimited,"Brian Jones
Nate Tart

TC Dwight Tart
TC Travis Crow",3,0 days 02:32:08,0 days 06:22:00,0 days 09:48:00,0 days 14:15:00,0 days 21:01:00,1 days 02:57:00,1 days 04:16:00,1 days 11:48:00,1 days 18:24:00,1 days 22:45:00,2 days 03:46:00,Tandem Unlimited,['Brian Jones\nNate Tart\n\n'],['Dwight Tart\nTC Travis Crow'],-2.823763907144894e-07,62.40070034554803,118.45151482912888,171.89406342503435,221.10560537175968,260.499658133235,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
5,6,Unlimited,"Courtney Martinez
Ryan Martinez
Morgan Kohut

TC Ryan Henk
TC Joyce Henk",315,0 days 02:43:00,0 days 06:38:00,0 days 10:14:00,0 days 15:01:00,0 days 21:52:00,1 days 03:58:00,1 days 05:25:00,1 days 13:10:00,1 days 19:54:00,2 days 00:01:00,2 days 05:07:00,Unlimited,['Courtney Martinez\nRyan Martinez\nMorgan Kohut\n\n'],['Ryan Henk\nTC Joyce Henk'],-2.823763907144894e-07,59.90863841800489,113.9215003046674,165.92715936042083,214.48687266063408,256.40855839706825,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
6,7,Unlimited,"Andrew Davis
David Kaiser
Alex Leonard
Luke Zolnierowski
Matt Sandel

TC Jessica Davis
TC Anna Winder",1357,0 days 02:39:26,0 days 06:39:00,0 days 10:28:00,0 days 15:18:00,0 days 22:15:00,1 days 04:19:00,1 days 05:48:00,1 days 14:08:00,1 days 21:17:00,2 days 01:55:00,2 days 09:22:00,Unlimited,['Andrew Davis\nDavid Kaiser\nAlex Leonard\nLuke Zolnierowski\nMatt Sandel\n\n'],['Jessica Davis\nTC Anna Winder'],-2.823763907144894e-07,58.724286883987645,112.02312491810395,163.95120826051382,209.5829660467114,250.44133813629523,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
7,8,Tandem Unlimited,"James Lowe
David Earnest

TC Cole Carter
TC Avery Carter",2424,0 days 02:42:00,0 days 06:38:00,0 days 10:14:00,0 days 14:58:00,0 days 21:40:00,1 days 03:18:00,1 days 04:11:00,1 days 12:53:00,1 days 19:58:00,2 days 01:32:00,2 days 11:38:00,Tandem Unlimited,['James Lowe\nDavid Earnest\n\n'],['Cole Carter\nTC Avery Carter'],-2.823763907144894e-07,59.90863841800489,114.80148905016577,171.0740562097457,215.07661694479032,250.99459189088842,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
8,9,"Mixed Tandem Unlimited
1st Adult Youth","Holly Orr
William Orr

TC Andrew Nelson
TC Stahl Urban",357,0 days 03:00:00,0 days 07:20:00,0 days 11:24:00,0 days 16:52:00,1 days 00:44:00,1 days 07:53:00,1 days 10:02:00,1 days 22:23:00,2 days 05:56:00,2 days 10:32:00,2 days 16:16:00,Mixed Tandem Unlimited,['Holly Orr\nWilliam Orr\n\n'],['Andrew Nelson\nTC Stahl Urban'],-2.823763907144894e-07,54.14832671330838,101.72427382918343,147.32538094820046,181.64656900011465,216.27492214190931,254.30614719979366,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
9,10,Aluminum,"Joe Geisinger
Libby Geisinger

TC Curt Slaten
TC Mike Drost",54,0 days 03:13:00,0 days 07:44:00,0 days 11:51:00,0 days 17:19:00,1 days 01:06:00,1 days 07:43:00,1 days 09:26:00,1 days 18:59:00,2 days 01:56:00,2 days 06:27:00,2 days 16:54:00,Aluminum,['Joe Geisinger\nLibby Geisinger\n\n'],['Curt Slaten\nTC Mike Drost'],-2.823763907144894e-07,51.981250546848415,99.74006985243263,147.45059888081659,189.52736065184956,232.53599610003678,258.6553168675147,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
10,11,Solo Unlimited Woman,"Salli O'Donnell

TC Mike Malone
TC Joe Frohock",5353,0 days 02:52:00,0 days 07:09:00,0 days 11:05:00,0 days 16:18:00,0 days 23:44:00,1 days 06:16:00,1 days 07:48:00,1 days 19:00:00,2 days 01:57:00,2 days 07:00:00,2 days 17:46:00,Solo Unlimited Woman,"[""Salli O'Donnell\n\n""]",['Mike Malone\nTC Joe Frohock'],-2.823763907144894e-07,55.5673110556662,105.4092344094568,154.36832282927128,191.24373681421216,232.4485593503213,257.6014772155164,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
11,12,Solo Unlimited Man,"Adam Sims

TC Brent Townsend
TC Jason Smith",42,0 days 02:54:00,0 days 07:05:00,0 days 10:55:00,0 days 16:01:00,0 days 23:11:00,1 days 05:58:00,1 days 07:40:00,1 days 16:17:00,2 days 00:00:00,2 days 07:32:00,2 days 18:00:00,Solo Unlimited Man,['Adam Sims\n\n'],['Brent Townsend\nTC Jason Smith'],-2.823763907144894e-07,56.315432621151835,107.56035073735318,155.80424439930567,200.29991158800223,237.0476253365716,257.00673995162026,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
12,13,Mixed Tandem Unlimited,"Brenda Jones
Keifer Mauldin

TC Tonya Jones
TC Brittany Mauldin
",5961,0 days 02:53:00,0 days 07:03:00,0 days 11:04:00,0 days 17:13:00,1 days 00:29:00,1 days 07:26:00,1 days 09:06:00,1 days 21:19:00,2 days 05:11:00,2 days 11:14:00,2 days 19:45:00,Mixed Tandem Unlimited,['Brenda Jones\nKeifer Mauldin\n\n'],['Tonya Jones\nTC Brittany Mauldin\n'],-2.823763907144894e-07,55.77063082227869,101.1582039538542,149.1342592130267,184.79426113801645,219.8460179826506,251.68681119671416,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
13,14,USCA C-2,"Brandon Stafford
Bill Stafford

TC Joseph Bitterly
TC Wade Stafford",30,0 days 03:04:00,0 days 07:28:00,0 days 11:30:00,0 days 16:56:00,1 days 00:25:00,1 days 07:21:00,1 days 09:12:00,1 days 18:51:00,2 days 02:46:00,2 days 07:52:00,2 days 19:47:00,USCA C-2,['Brandon Stafford\nBill Stafford\n\n'],['Joseph Bitterly\nTC Wade Stafford'],-2.823763907144894e-07,53.57860765351841,102.15017117974736,149.4988769910157,190.18464403333698,229.29703799085843,255.74444825133943,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
14,15,USCA C-2,"Joshua Hulin
Susannah Hulin

TC Priscilla Hulin
TC Cherith Hendrich",56,0 days 03:10:00,0 days 07:39:00,0 days 12:22:00,0 days 17:40:00,1 days 02:38:00,1 days 10:02:00,1 days 11:40:00,1 days 23:09:00,2 days 07:10:00,2 days 12:58:00,2 days 20:12:00,USCA C-2,['Joshua Hulin\nSusannah Hulin\n\n'],['Priscilla Hulin\nTC Cherith Hendrich'],-2.823763907144894e-07,50.901652408731366,96.60800710332259,138.41386652038304,177.56999519903658,212.482485326256,247.26558219152207,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
15,16,Standard,"Chris Champion
Wendell Smith

TC Mark Miller
TC Aaron Timmins",880,0 days 03:11:00,0 days 07:42:00,0 days 11:46:00,0 days 17:09:00,1 days 00:52:00,1 days 08:08:00,1 days 10:07:00,1 days 19:55:00,2 days 03:13:00,2 days 08:26:00,2 days 20:48:00,Standard,['Chris Champion\nWendell Smith\n\n'],['Mark Miller\nTC Aaron Timmins'],-2.823763907144894e-07,52.28975791776806,100.65069506937014,146.37061338688244,186.1639291278436,227.1532017877012,254.82111772831772,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
