,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cuero 72,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Saltwater Barrier,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
16,17,Solo Unlimited Man,"Brady Lotz

TC Charlene Lotz
TC Charles Cox",66,0 days 03:05:00,0 days 07:30:00,0 days 11:43:00,0 days 17:08:00,1 days 01:20:00,1 days 09:27:00,1 days 11:32:00,1 days 23:09:00,2 days 07:01:00,2 days 12:27:00,2 days 20:52:00,Solo Unlimited Man,['Brady Lotz\n\n'],['Charlene Lotz\nTC Charles Cox'],-2.823763907144894e-07,52.85273797333417,99.91939400947277,142.21062449689362,177.8454295950422,212.69061544358033,248.77430003421142,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
17,18,Unlimited,"Daniel Currey
Derrick Lee
Greg Frank
Austin Bodin

TC Miranda Wait
TC Heather Toombs",667,0 days 03:16:00,0 days 07:53:00,0 days 12:07:00,0 days 18:05:00,1 days 02:46:00,1 days 11:17:00,1 days 13:19:00,1 days 23:30:00,2 days 07:08:00,2 days 14:34:00,2 days 22:00:00,Unlimited,['Daniel Currey\nDerrick Lee\nGreg Frank\nAustin Bodin\n\n'],['Miranda Wait\nTC Heather Toombs'],-2.823763907144894e-07,50.938071521011466,95.14467258907807,136.03104801979532,173.18187058466452,211.6228441794134,244.0513679840601,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
18,19,Unlimited,"John Mark Harrasw
Darren Dodd - out @ Wooden Bridge
John Dupont
Garret Jones
Jimmy MacMillan
Matt Wagner

TC Jason Jones
TC Patty Dodd",807,0 days 02:43:00,0 days 06:42:00,0 days 10:29:00,0 days 15:25:00,0 days 22:14:00,1 days 04:26:00,1 days 06:06:00,1 days 15:27:00,1 days 23:12:00,2 days 04:59:00,2 days 22:15:00,Unlimited,['John Mark Harrasw\nDarren Dodd - out @ Wooden Bridge\nJohn Dupont\nGarret Jones\nJimmy MacMillan\nMatt Wagner\n\n'],['Jason Jones\nTC Patty Dodd'],-2.823763907144894e-07,58.61127364885493,111.87908921415132,162.58423926174922,203.7461524338909,240.9822978351387,256.68474762527416,265.8345748173714,266.06332049717383,266.06332049717383,266.06332049717383
19,20,Aluminum,"Stephen Beck
Andy Armendariz

TC Kendra Alaniz
TC Roman Manzano",4747,0 days 03:27:00,0 days 08:18:00,0 days 12:38:00,0 days 18:33:00,1 days 03:12:00,1 days 10:53:00,1 days 12:59:00,2 days 01:50:00,2 days 09:36:00,2 days 15:25:00,2 days 22:30:00,Aluminum,['Stephen Beck\nAndy Armendariz\n\n'],['Kendra Alaniz\nTC Roman Manzano'],-2.823763907144894e-07,48.71818655403044,93.17721734419722,135.54938545789528,172.07410984161646,202.22608351334344,239.69494803247107,264.94811802999584,266.06332049717383,266.06332049717383,266.06332049717383
20,21,USCA C-2,"Joe Mann
John Bugge

TC Jennifer Bugge
TC Megan Yeager",1345,0 days 03:19:00,0 days 07:50:00,0 days 12:03:00,0 days 17:16:00,1 days 00:30:00,1 days 07:09:00,1 days 08:56:00,1 days 17:49:00,2 days 00:59:00,2 days 06:35:00,2 days 22:56:00,USCA C-2,['Joe Mann\nJohn Bugge\n\n'],['Jennifer Bugge\nTC Megan Yeager'],-2.823763907144894e-07,51.22323460965527,100.9674828585594,150.18799961312675,193.68547551824145,235.53720657512784,255.49864337011917,265.161457815596,266.06332049717383,266.06332049717383,266.06332049717383
21,22,Mixed Tandem Unlimited,"Vance Sherrod
Sam Binion

TC Sandy Sherrod
TC Shannon Merritt",216,0 days 02:59:00,0 days 07:19:00,0 days 11:15:00,0 days 16:14:00,0 days 23:42:00,1 days 06:16:00,1 days 07:55:00,1 days 16:22:00,2 days 00:30:00,2 days 06:25:00,3 days 00:43:00,Mixed Tandem Unlimited,['Vance Sherrod\nSam Binion\n\n'],['Sandy Sherrod\nTC Shannon Merritt'],-2.823763907144894e-07,54.693869634033234,105.65772383938305,154.37487857530792,199.89482674345766,236.83231371599535,255.08480562030263,263.7179759035565,266.06332049717383,266.06332049717383,266.06332049717383
22,23,Solo Unlimited Man,"Joel Truitt

TC Bill McCanse
TC Gwen Hills",15,0 days 02:57:00,0 days 07:06:00,0 days 10:55:00,0 days 15:57:00,0 days 23:12:00,1 days 05:47:00,1 days 07:37:00,1 days 21:55:00,2 days 05:22:00,2 days 10:24:00,3 days 00:45:00,Solo Unlimited Man,['Joel Truitt\n\n'],['Bill McCanse\nTC Gwen Hills'],-2.823763907144894e-07,56.29390752213381,107.66434696474755,156.53038166524115,185.6207690007652,218.39558281675855,252.02614658539534,263.0356947514961,266.06332049717383,266.06332049717383,266.06332049717383
23,24,Novice,"Trent Lowry
Bren Rose

TC Ryan Lowry
TC John Rose",777,0 days 03:36:00,0 days 08:37:00,0 days 13:16:00,0 days 19:36:00,1 days 04:25:00,1 days 12:00:00,1 days 13:52:00,2 days 00:20:00,2 days 08:28:00,2 days 14:40:00,3 days 00:58:00,Novice,['Trent Lowry\nBren Rose\n\n'],['Ryan Lowry\nTC John Rose'],-2.823763907144894e-07,46.76371026077705,88.6471412957824,130.62492354908076,170.881713359648,207.85885256660157,242.52516936321365,261.5128854032141,266.06332049717383,266.06332049717383,266.06332049717383
24,25,Mixed Tandem Unlimited,"Heather Harrison
Cameron Harrison

TC Veronica Sosa
TC Jake Aziz",333,0 days 03:04:00,0 days 07:38:00,0 days 11:42:00,0 days 17:08:00,1 days 00:45:00,1 days 07:48:00,1 days 09:35:00,1 days 19:18:00,2 days 03:09:00,2 days 08:34:00,3 days 01:11:00,Mixed Tandem Unlimited,['Heather Harrison\nCameron Harrison\n\n'],['Veronica Sosa\nTC Jake Aziz'],-2.823763907144894e-07,52.62767951695721,100.91143857532539,147.58117290594788,188.4778232681225,227.7724804015825,253.52894438873,263.03668859235364,266.06332049717383,266.06332049717383,266.06332049717383
25,26,Aluminum,"Mollie Binion
Pete Binion

TC Wade Binion
TC Megan Toliver",8,0 days 03:36:00,0 days 08:22:00,0 days 12:58:00,0 days 19:01:00,1 days 03:15:00,1 days 11:05:00,1 days 13:04:00,2 days 03:57:00,2 days 12:40:00,2 days 18:40:00,3 days 01:26:00,Aluminum,['Mollie Binion\nPete Binion\n\n'],['Wade Binion\nTC Megan Toliver'],-2.823763907144894e-07,47.95064868760015,91.39140946829946,135.1266154049506,170.6222095263646,196.51761322900978,229.92216305300872,258.0472305134767,266.06332049717383,266.06332049717383,266.06332049717383
26,27,Novice,"Ryan Hebrink
Michael Watson

TC Claire McCullen
TC Steve Watson",5755,0 days 03:34:00,0 days 08:53:00,0 days 14:17:00,0 days 21:06:00,1 days 05:40:00,1 days 13:18:00,1 days 14:56:00,2 days 02:35:00,2 days 11:23:00,2 days 18:40:00,3 days 01:29:00,Novice,['Ryan Hebrink\nMichael Watson\n\n'],['Claire McCullen\nTC Steve Watson'],-2.823763907144894e-07,44.89407254785987,82.81547738918373,125.4002130699926,166.555013454117,199.63741045907003,233.79393684331998,257.9901453425623,266.06332049717383,266.06332049717383,266.06332049717383
27,28,Tandem Unlimited,"West Hansen
Jeff Wueste

TC Barbara Edington
TC Lizet Alaniz",1901,0 days 02:45:00,0 days 06:56:00,0 days 10:47:00,0 days 15:53:00,0 days 23:13:00,1 days 06:15:00,1 days 07:47:00,1 days 16:30:00,2 days 00:11:00,2 days 05:53:00,3 days 01:35:00,Tandem Unlimited,['West Hansen\nJeff Wueste\n\n'],['Barbara Edington\nTC Lizet Alaniz'],-2.823763907144894e-07,57.0506490197641,107.76597964151934,154.5351137470965,199.3564525622625,238.00539873600806,255.16996870448432,263.1896141960349,266.06332049717383,266.06332049717383,266.06332049717383
28,29,Novice,"Craig Ahlhorn
Luis Briones

TC Sandra Ahlhorrn
TC Kevin Rumbaugh",482,0 days 03:27:00,0 days 08:37:00,0 days 13:12:00,0 days 20:02:00,1 days 05:13:00,1 days 13:36:00,1 days 15:20:00,2 days 01:52:00,2 days 09:57:00,2 days 18:53:00,3 days 01:36:00,Novice,['Craig Ahlhorn\nLuis Briones\n\n'],['Sandra Ahlhorrn\nTC Kevin Rumbaugh'],-2.823763907144894e-07,46.85290658826847,86.84065592372093,126.97504026553584,165.4655277637218,202.07366118696805,236.39966941777007,257.5955300516041,266.06332049717383,266.06332049717383,266.06332049717383
29,30,Unlimited,"Myla Weber
Jim Weber
Edoh Y Amiran
Bobby Smart
Luke Parker

TC Cayla Weber
TC Noel Shaver",34,0 days 02:42:00,0 days 06:46:00,0 days 10:31:00,0 days 15:35:00,0 days 22:33:00,1 days 05:08:00,1 days 06:48:00,1 days 17:31:00,2 days 01:25:00,2 days 07:29:00,3 days 01:52:00,Unlimited,['Myla Weber\nJim Weber\nEdoh Y Amiran\nBobby Smart\nLuke Parker\n\n'],['Cayla Weber\nTC Noel Shaver'],-2.823763907144894e-07,58.40463698931748,110.45626536966022,159.49034301220638,196.11273745105657,234.00061222847697,254.14625817036418,262.7402935021981,266.06332049717383,266.06332049717383,266.06332049717383
30,31,Tandem Unlimited,"Matt Taylor
Myles Sumerlin

TC John Chapman",7770,0 days 03:20:00,0 days 08:30:00,0 days 13:18:00,0 days 19:33:00,1 days 03:59:00,1 days 12:01:00,1 days 13:54:00,2 days 01:48:00,2 days 10:31:00,2 days 20:03:00,3 days 03:54:00,Tandem Unlimited,['Matt Taylor\nMyles Sumerlin\n\n'],['John Chapman'],-2.823763907144894e-07,47.07309323028558,88.94322914806811,131.9616465480189,169.82757605980302,202.27168766163388,235.0701987393312,254.18913711522578,266.06332049717383,266.06332049717383,266.06332049717383
31,32,Unlimited,"Debbie Richardson
Steve Daniel
John Murphy
James Green
Pam LeBlanc - out @ Cuero 72

TC Stephanie Martinez
TC Kim Jones",5,0 days 03:19:00,0 days 07:48:00,0 days 11:53:00,0 days 17:23:00,1 days 00:48:00,1 days 07:47:00,1 days 09:43:00,1 days 20:40:00,2 days 03:45:00,2 days 09:55:00,3 days 04:54:00,Unlimited,['Debbie Richardson\nSteve Daniel\nJohn Murphy\nJames Green\nPam LeBlanc - out @ Cuero 72\n\n'],['Stephanie Martinez\nTC Kim Jones'],-2.823763907144894e-07,51.73735954848131,100.03853564002361,147.5795661772501,185.1418320149287,224.6849067799278,251.99845356037702,260.3208600318544,266.06332049717383,266.06332049717383,266.06332049717383
32,33,Unlimited,"Shawn Melnar
Dylan Melnar
Mason Melnar
John Gutierrez

TC Sharon Melnar
TC Kaitlin Schererr",7,0 days 03:29:00,0 days 08:17:00,0 days 12:55:00,0 days 18:48:00,1 days 03:34:00,1 days 11:25:00,1 days 13:18:00,2 days 03:08:00,2 days 12:01:00,2 days 18:44:00,3 days 05:08:00,Unlimited,['Shawn Melnar\nDylan Melnar\nMason Melnar\nJohn Gutierrez\n\n'],['Sharon Melnar\nTC Kaitlin Schererr'],-2.823763907144894e-07,48.26873399648135,92.03793371479532,133.8266303189166,170.54868321946591,198.4096416609866,232.21279428636086,255.22703156663573,266.06332049717383,266.06332049717383,266.06332049717383
33,34,Unlimited Women,"Kim Kaiser
Katie Bee

TC Edward Rodriguez
TC Peter Oden",888,0 days 03:29:00,0 days 08:18:00,0 days 13:04:00,0 days 19:39:00,1 days 05:05:00,1 days 12:54:00,1 days 15:35:00,2 days 05:20:00,2 days 14:11:00,2 days 21:55:00,3 days 05:38:00,Unlimited Women,['Kim Kaiser\nKatie Bee\n\n'],['Edward Rodriguez\nTC Peter Oden'],-2.823763907144894e-07,47.98302984418608,88.34086097439943,127.72909773291815,164.19413330421807,192.22394603932372,224.69579081468714,250.43523120731118,266.06332049717383,266.06332049717383,266.06332049717383
34,35,Unlimited,"Joe Hunt
Stacy Greer
J Phil Phillips

TC Patty Hunt
TC Michelle Greer",1775,0 days 03:26:00,0 days 08:20:00,0 days 13:16:00,0 days 19:18:00,1 days 04:26:00,1 days 17:21:00,1 days 19:09:00,2 days 05:54:00,2 days 14:35:00,2 days 22:10:00,3 days 06:31:00,Unlimited,['Joe Hunt\nStacy Greer\nJ Phil Phillips\n\n'],['Patty Hunt\nTC Michelle Greer'],-2.823763907144894e-07,47.59538759389718,89.8059065872448,127.85628103671367,152.3527777431216,187.58490338897872,223.13605484021545,249.86914151346136,266.06332049717383,266.06332049717383,266.06332049717383
35,36,Solo Unlimited Man,"Paul Glisson

TC Emily Addlesperger
TC Ryan Lawler",1004,0 days 03:02:00,0 days 07:52:00,0 days 12:03:00,0 days 17:45:00,1 days 02:23:00,1 days 17:00:00,1 days 19:12:00,2 days 08:03:00,2 days 16:22:00,2 days 23:10:00,3 days 07:52:00,Solo Unlimited Man,['Paul Glisson\n\n'],['Emily Addlesperger\nTC Ryan Lawler'],-2.823763907144894e-07,51.14338245278974,96.62263212922156,131.84764579938434,153.49506307129556,183.4214578311688,216.14969007236937,247.17737523013096,266.06332049717383,266.06332049717383,266.06332049717383
36,37,Unlimited,"Gino Piamonte
Spiro Pappas
Christopher Artigues

TC Hayley Hadlock
TC Tyler Sevcik
",310,0 days 03:34:00,0 days 08:40:00,0 days 13:29:00,0 days 19:41:00,1 days 04:40:00,1 days 13:15:00,1 days 16:12:00,2 days 05:23:00,2 days 14:22:00,2 days 21:22:00,3 days 08:27:00,Unlimited,['Gino Piamonte\nSpiro Pappas\nChristopher Artigues\n\n'],['Hayley Hadlock\nTC Tyler Sevcik\n'],-2.823763907144894e-07,46.33754372859034,88.27223962633133,128.9336512316654,162.52680615945746,191.67616577569518,224.18161987531548,251.1674018284395,265.4218694540226,266.06332049717383,266.06332049717383
37,38,Aluminum,"Micah Wheeler
Omar Rivera

TC Gomer Gross
TC Paul Wheeler",76,0 days 03:33:00,0 days 08:45:00,0 days 13:59:00,0 days 20:44:00,1 days 05:25:00,1 days 13:47:00,1 days 15:57:00,2 days 05:01:00,2 days 15:35:00,2 days 22:56:00,3 days 08:46:00,Aluminum,['Micah Wheeler\nOmar Rivera\n\n'],['Gomer Gross\nTC Paul Wheeler'],-2.823763907144894e-07,45.555001969597065,84.17169768079671,126.22456386068225,163.1737027279241,192.66936026167687,221.85843647134183,247.97963854564043,264.83155732014956,266.06332049717383,266.06332049717383
38,39,USCA C-2,"Paul Pape
Mike Howard

TC Jennifer Keirnan
TC Amber Howard",1973,0 days 03:39:00,0 days 08:43:00,0 days 14:28:00,0 days 21:10:00,1 days 08:28:00,1 days 19:25:00,1 days 21:39:00,2 days 08:31:00,2 days 16:48:00,3 days 00:33:00,3 days 09:08:00,USCA C-2,['Paul Pape\nMike Howard\n\n'],['Jennifer Keirnan\nTC Amber Howard'],-2.823763907144894e-07,45.232093909195854,82.48726761951232,115.93036855313221,145.7869460612199,178.45444383490417,214.47861533540836,244.34393999938098,263.9772783417406,266.06332049717383,266.06332049717383
39,40,Novice,"Andrew Hurst
Garrett Hurst

TC Eden Hurst
TC Ralph Hurst",832,0 days 03:22:00,0 days 08:21:00,0 days 13:13:00,0 days 19:57:00,1 days 05:47:00,1 days 13:13:00,1 days 15:25:00,2 days 06:04:00,2 days 18:24:00,3 days 00:32:00,3 days 09:37:00,Novice,['Andrew Hurst\nGarrett Hurst\n\n'],['Eden Hurst\nTC Ralph Hurst'],-2.823763907144894e-07,47.62019061390431,87.15452827465354,124.94077683790057,164.56084871542822,190.86869343267756,216.33793684592806,242.8322236103002,263.2514414935401,266.06332049717383,266.06332049717383
40,41,Unlimited,"Mike Smith
Trab Seyn
John Moore

TC Irene Moore
TC Jill Ann Karp Mulder",963,0 days 03:01:00,0 days 07:41:00,0 days 13:43:00,0 days 22:02:00,1 days 07:12:00,1 days 16:51:00,1 days 18:49:00,2 days 05:56:00,2 days 14:18:00,2 days 20:41:00,3 days 11:58:00,Unlimited,['Mike Smith\nTrab Seyn\nJohn Moore\n\n'],['Irene Moore\nTC Jill Ann Karp Mulder'],-2.823763907144894e-07,48.5464827444297,80.67751632487429,119.16800445900734,152.87274655922135,187.9305239487141,223.8300818447704,251.6256847761475,261.9628941229444,266.06332049717383,266.06332049717383
41,42,Unlimited,"Timothy Odom
Clint Sutherland
Seth Hensarling

TC Kristi Odom
TC Katie Hensarling",789,0 days 03:35:00,0 days 09:09:00,0 days 14:29:00,0 days 21:15:00,1 days 06:58:00,1 days 17:50:00,1 days 20:07:00,2 days 11:39:00,2 days 22:42:00,3 days 04:36:00,3 days 12:09:00,Unlimited,['Timothy Odom\nClint Sutherland\nSeth Hensarling\n\n'],['Kristi Odom\nTC Katie Hensarling'],-2.823763907144894e-07,43.91669429285943,82.21462772939131,120.33232593642647,150.32154727235866,177.62383211869087,202.53971592219338,230.32540081270076,257.37926596523056,266.06332049717383,266.06332049717383
