,,,,,,,,,,2022 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5th Unlimited,"Andrew Davis
David Kaiser
Alex Leonard
Luke Zolnierowski
Matt Sandel

TC Jessica Davis
TC Anna Winder",1357,9:00, ,11:39:26,,15:39:00,,19:28:00,,0:18:00,,7:15:00,,13:19:00,,14:48:00,,23:08:00,,6:17:00,,10:55:00,,18:22:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,2:39:26,9,3:59:34,10,3:49:00,8,4:50:00,9,6:57:00,7,6:04:00,9,1:29:00,7,8:20:00,11,7:09:00,8,4:38:00,18,7:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,2:39:26,8,6:39:00,8,10:28:00,8,15:18:00,9,22:15:00,8,28:19:00,8,29:48:00,8,38:08:00,8,45:17:00,8,49:55:00,7,57:22:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2nd Tandem Unlimited,"James Lowe
David Earnest

TC Cole Carter
TC Avery Carter",2424,9:00, ,11:42:00,,15:38:00,,19:14:00,,23:58:00,,6:40:00,,12:18:00,,13:11:00,,21:53:00,,4:58:00,,10:32:00,,20:38:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,2:42:00,7,3:56:00,6,3:36:00,6,4:44:00,5,6:42:00,5,5:38:00,1,0:53:00,10,8:42:00,10,7:05:00,17,5:34:00,36,10:06:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,2:42:00,6,6:38:00,6,10:14:00,6,14:58:00,6,21:40:00,6,27:18:00,5,28:11:00,6,36:53:00,7,43:58:00,7,49:32:00,8,59:38:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"1st Mixed Tandem Unlimited
1st Adult Youth","Holly Orr
William Orr

TC Andrew Nelson
TC Stahl Urban",357,9:00, ,12:00:00,,16:20:00,,20:24:00,,1:52:00,,9:44:00,,16:53:00,,19:02:00,,7:23:00,,14:56:00,,19:32:00,,1:16:00,,,,,,,,,,,,,,,,,,,,,,,
