,,,,,,,,,,2022 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,7th Unlimited,"Myla Weber
Jim Weber
Edoh Y Amiran
Bobby Smart
Luke Parker

TC Cayla Weber
TC Noel Shaver",34,9:00, ,11:42:00,,15:46:00,,19:31:00,,0:35:00,,7:33:00,,14:08:00,,15:48:00,,2:31:00,,10:25:00,,16:29:00,,10:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,2:42:00,10,4:04:00,8,3:45:00,12,5:04:00,10,6:58:00,13,6:35:00,16,1:40:00,23,10:43:00,24,7:54:00,30,6:04:00,66,18:23:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,2:42:00,10,6:46:00,10,10:31:00,10,15:35:00,10,22:33:00,10,29:08:00,10,30:48:00,13,41:31:00,14,49:25:00,15,55:29:00,30,73:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4th Tandem Unlimited,"Matt Taylor
Myles Sumerlin

TC John Chapman",7770,9:00, ,12:20:00,,17:30:00,,22:18:00,,4:33:00,,12:59:00,,21:01:00,,22:54:00,,10:48:00,,19:31:00,,5:03:00,,12:54:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,37,3:20:00,52,5:10:00,43,4:48:00,40,6:15:00,30,8:26:00,35,8:02:00,29,1:53:00,32,11:54:00,35,8:43:00,68,9:32:00,24,7:51:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,37,3:20:00,44,8:30:00,43,13:18:00,40,19:33:00,36,27:59:00,34,36:01:00,34,37:54:00,30,49:48:00,31,58:31:00,34,68:03:00,31,75:54:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,8th Unlimited,"Debbie Richardson
Steve Daniel
John Murphy
James Green
Pam LeBlanc - out @ Cuero 72

TC Stephanie Martinez
TC Kim Jones",5,9:00, ,12:19:00,,16:48:00,,20:53:00,,2:23:00,,9:48:00,,16:47:00,,18:43:00,,5:40:00,,12:45:00,,18:55:00,,13:54:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,34,3:19:00,25,4:29:00,23,4:05:00,27,5:30:00,17,7:25:00,20,6:59:00,31,1:56:00,26,10:57:00,9,7:05:00,32,6:10:00,68,18:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,34,3:19:00,29,7:48:00,27,11:53:00,26,17:23:00,23,24:48:00,21,31:47:00,22,33:43:00,20,44:40:00,20,51:45:00,20,57:55:00,32,76:54:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,9th Unlimited,"Shawn Melnar
Dylan Melnar
Mason Melnar
John Gutierrez

TC Sharon Melnar
TC Kaitlin Schererr",7,9:00, ,12:29:00,,17:17:00,,21:55:00,,3:48:00,,12:34:00,,20:25:00,,22:18:00,,12:08:00,,21:01:00,,3:44:00,,14:08:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,3:29:00,35,4:48:00,37,4:38:00,31,5:53:00,37,8:46:00,33,7:51:00,29,1:53:00,58,13:50:00,39,8:53:00,40,6:43:00,40,10:24:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,3:29:00,35,8:17:00,35,12:55:00,35,18:48:00,35,27:34:00,32,35:25:00,30,37:18:00,35,51:08:00,33,60:01:00,32,66:44:00,33,77:08:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1st Unlimited Women,"Kim Kaiser
Katie Bee

TC Edward Rodriguez
TC Peter Oden",888,9:00, ,12:29:00,,17:18:00,,22:04:00,,4:39:00,,14:05:00,,21:54:00,,0:35:00,,14:20:00,,23:11:00,,6:55:00,,14:38:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,3:29:00,36,4:49:00,42,4:46:00,45,6:35:00,52,9:26:00,31,7:49:00,71,2:41:00,54,13:45:00,38,8:51:00,54,7:44:00,23,7:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,3:29:00,36,8:18:00,37,13:04:00,42,19:39:00,43,29:05:00,37,36:54:00,40,39:35:00,39,53:20:00,35,62:11:00,37,69:55:00,34,77:38:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,10th Unlimited,"Joe Hunt
Stacy Greer
J Phil Phillips

TC Patty Hunt
TC Michelle Greer",1775,9:00, ,12:26:00,,17:20:00,,22:16:00,,4:18:00,,13:26:00,,2:21:00,,4:09:00,,14:54:00,,23:35:00,,7:10:00,,15:31:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41,3:26:00,41,4:54:00,49,4:56:00,34,6:02:00,45,9:08:00,81,12:55:00,25,1:48:00,24,10:45:00,34,8:41:00,53,7:35:00,27,8:21:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,41,3:26:00,40,8:20:00,41,13:16:00,38,19:18:00,41,28:26:00,49,41:21:00,45,43:09:00,41,53:54:00,38,62:35:00,38,70:10:00,35,78:31:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,5th Solo Unlimited Man,"Paul Glisson

TC Emily Addlesperger
TC Ryan Lawler",1004,9:00, ,12:02:00,,16:52:00,,21:03:00,,2:45:00,,11:23:00,,2:00:00,,4:12:00,,17:03:00,,1:22:00,,8:10:00,,16:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,23,3:02:00,37,4:50:00,26,4:11:00,29,5:42:00,32,8:38:00,87,14:37:00,47,2:12:00,39,12:51:00,31,8:19:00,41,6:48:00,31,8:42:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,23,3:02:00,33,7:52:00,28,12:03:00,30,17:45:00,28,26:23:00,48,41:00:00,46,43:12:00,45,56:03:00,42,64:22:00,40,71:10:00,36,79:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,11th Unlimited,"Gino Piamonte
Spiro Pappas
Christopher Artigues

TC Hayley Hadlock
TC Tyler Sevcik
",310,9:00, ,12:34:00,,17:40:00,,22:29:00,,4:41:00,,13:40:00,,22:15:00,,1:12:00,,14:23:00,,23:22:00,,6:22:00,,17:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,52,3:34:00,49,5:06:00,45,4:49:00,39,6:12:00,44,8:59:00,43,8:35:00,77,2:57:00,46,13:11:00,40,8:59:00,43,7:00:00,46,11:05:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,52,3:34:00,49,8:40:00,46,13:29:00,43,19:41:00,42,28:40:00,40,37:15:00,42,40:12:00,40,53:23:00,37,62:22:00,36,69:22:00,37,80:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4th Aluminum,"Micah Wheeler
Omar Rivera

TC Gomer Gross
TC Paul Wheeler",76,9:00, ,12:33:00,,17:45:00,,22:59:00,,5:44:00,,14:25:00,,22:47:00,,0:57:00,,14:01:00,,0:35:00,,7:56:00,,17:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,51,3:33:00,56,5:12:00,58,5:14:00,49,6:45:00,34,8:41:00,38,8:22:00,46,2:10:00,43,13:04:00,51,10:34:00,48,7:21:00,35,9:50:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,51,3:33:00,54,8:45:00,54,13:59:00,48,20:44:00,45,29:25:00,43,37:47:00,41,39:57:00,38,53:01:00,40,63:35:00,39,70:56:00,38,80:46:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4th USCA C-2,"Paul Pape
Mike Howard

TC Jennifer Keirnan
TC Amber Howard",1973,9:00, ,12:39:00,,17:43:00,,23:28:00,,6:10:00,,17:28:00,,4:25:00,,6:39:00,,17:31:00,,1:48:00,,9:33:00,,18:08:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,3:39:00,48,5:04:00,71,5:45:00,46,6:42:00,72,11:18:00,63,10:57:00,49,2:14:00,25,10:52:00,30,8:17:00,55,7:45:00,30,8:35:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,3:39:00,52,8:43:00,63,14:28:00,53,21:10:00,60,32:28:00,57,43:25:00,53,45:39:00,46,56:31:00,43,64:48:00,42,72:33:00,39,81:08:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4th Novice,"Andrew Hurst
Garrett Hurst

TC Eden Hurst
TC Ralph Hurst",832,9:00, ,12:22:00,,17:21:00,,22:13:00,,4:57:00,,14:47:00,,22:13:00,,0:25:00,,15:04:00,,3:24:00,,9:32:00,,18:37:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,38,3:22:00,44,4:59:00,46,4:52:00,48,6:44:00,57,9:50:00,26,7:26:00,48,2:12:00,63,14:39:00,67,12:20:00,31,6:08:00,34,9:05:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,38,3:22:00,41,8:21:00,40,13:13:00,45,19:57:00,50,29:47:00,39,37:13:00,38,39:25:00,43,54:04:00,45,66:24:00,41,72:32:00,40,81:37:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,12th Unlimited,"Mike Smith
Trab Seyn
John Moore

TC Irene Moore
TC Jill Ann Karp Mulder",963,9:00, ,12:01:00,,16:41:00,,22:43:00,,7:02:00,,16:12:00,,1:51:00,,3:49,,14:56:00,,23:18:00,,5:41:00,,20:58:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,22,3:01:00,33,4:40:00,77,6:02:00,71,8:19:00,47,9:10:00,53,9:39:00,33,1:58:00,27,11:07:00,33,8:22:00,37,6:23:00,61,15:17:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,22,3:01:00,26,7:41:00,47,13:43:00,62,22:02:00,57,31:12:00,47,40:51:00,43,42:49:00,42,53:56:00,36,62:18:00,35,68:41:00,41,83:58:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,13th Unlimited,"Timothy Odom
Clint Sutherland
Seth Hensarling

TC Kristi Odom
TC Katie Hensarling",789,9:00, ,12:35:00,,18:09:00,,23:29:00,,6:15:00,,15:58:00,,2:50:00,,5:07:00,,20:39:00,,7:42:00,,13:36:00,,21:09:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,55,3:35:00,75,5:34:00,59,5:20:00,50,6:46:00,55,9:43:00,61,10:52:00,50,2:17:00,70,15:32:00,54,11:03:00,24,5:54:00,21,7:33:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,55,3:35:00,63,9:09:00,64,14:29:00,55,21:15:00,53,30:58:00,51,41:50:00,49,44:07:00,51,59:39:00,51,70:42:00,46,76:36:00,42,84:09:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,5th Mixed Tandem Unlimited,"Spencer Fuller
Janae Fuller

TC Tommy Duran
TC Myah Runyan",514,9:00, ,12:35:00,,17:35:00,,22:23:00,,6:27:00,,15:21:00,,4:21:00,,6:26:00,,16:58:00,,5:52:00,,15:30:00,,21:10:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,55,3:35:00,45,5:00:00,43,4:48:00,69,8:04:00,39,8:54:00,82,13:00:00,40,2:05:00,21,10:32:00,70,12:54:00,70,9:38:00,7,5:40:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,55,3:35:00,46,8:35:00,44,13:23:00,58,21:27:00,51,30:21:00,56,43:21:00,52,45:26:00,44,55:58:00,50,68:52:00,50,78:30:00,43,84:10:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,6th Mixed Tandem Unlimited,"Phil Gumbert
Mary Jo Gumbert

TC Al Gumbert
TC Kevin Olds",233,9:00, ,12:09:00,,16:48:00,,21:06:00,,2:23:00,,10:24:00,,18:07:00,,19:50:00,,9:10:00,,5:21:00,,13:57:00,,22:17:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,3:09:00,32,4:39:00,32,4:18:00,18,5:17:00,26,8:01:00,30,7:43:00,20,1:43:00,47,13:20:00,78,20:11:00,60,8:36:00,26,8:20:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,27,3:09:00,29,7:48:00,30,12:06:00,26,17:23:00,27,25:24:00,25,33:07:00,25,34:50:00,28,48:10:00,47,68:21:00,49,76:57:00,44,85:17:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,14th Unlimited,"Robert Zurovec
Wesley Zurovec
Marshall Zurovec

TC Jamie Perrin
TC Jennyne Markus",8588,9:00, ,12:56:00,,18:27:00,,23:21:00,,7:52:00,,18:17:00,,7:05:00,,9:02:00,,22:33:00,,9:56:00,,16:10:00,,23:22:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,83,3:56:00,70,5:31:00,48,4:54:00,74,8:31:00,63,10:25:00,79,12:48:00,32,1:57:00,49,13:31:00,57,11:23:00,36,6:14:00,14,7:12:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,83,3:56:00,73,9:27:00,62,14:21:00,64,22:52:00,65,33:17:00,62,46:05:00,60,48:02:00,58,61:33:00,53,72:56:00,51,79:10:00,45,86:22:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,5th Aluminum,"Daniel Driver
Sam Driver

TC Adam Reimer
TC Shauna Ertolacci",1515,9:00, ,12:55:00,,18:18:00,,23:46:00,,8:24:00,,19:47:00,,4:27:00,,7:00:00,,20:49:00,,5:51:00,,12:22:00,,23:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,81,3:55:00,62,5:23:00,64,5:28:00,76,8:38:00,75,11:23:00,44,8:40:00,65,2:33:00,57,13:49:00,42,9:02:00,38,6:31:00,45,11:05:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,81,3:55:00,65,9:18:00,68,14:46:00,66,23:24:00,69,34:47:00,58,43:27:00,55,46:00:00,54,59:49:00,48,68:51:00,45,75:22:00,46,86:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5th Novice,"Keith Campros
Cameron Fanning

TC Bonnie Blackburn
TC Callie Fanning",1337,9:00, ,12:52:00,,18:22:00,,0:19:00,,9:37:00,,21:59:00,,8:40:00,,11:03:00,,2:07:00,,12:35:00,,18:06:00,,4:15:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71,3:52:00,68,5:30:00,76,5:57:00,87,9:18:00,84,12:22:00,60,10:41:00,55,2:23:00,68,15:04:00,50,10:28:00,16,5:31:00,37,10:09:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,71,3:52:00,69,9:22:00,73,15:19:00,71,24:37:00,76,36:59:00,69,47:40:00,66,50:03:00,64,65:07:00,62,75:35:00,57,81:06:00,47,91:15:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,5th Tandem Unlimited,"James Ward
Rhett Stuman

TC Janet Ward
TC Penny Stuman",33,9:00, ,12:36:00,,17:50:00,,23:00:00,,6:25:00,,17:45:00,,3:49:00,,7:03:00,,20:48:00,,9:47:00,,16:48:00,,5:44:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58,3:36:00,57,5:14:00,54,5:10:00,60,7:25:00,73,11:20:00,57,10:04:00,81,3:14:00,55,13:45:00,71,12:59:00,44,7:01:00,56,12:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,58,3:36:00,58,8:50:00,55,14:00:00,56,21:25:00,61,32:45:00,55,42:49:00,56,46:03:00,53,59:48:00,52,72:47:00,53,79:48:00,48,92:44:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7th Mixed Tandem Unlimited,"Cliff De La Cerda
Daniela De La Cerda

TC Kyla Grey
TC Adam Casares",13,9:00, ,12:53:00,,18:20:00,,0:16:00,,8:40:00,,19:40:00,,7:24:00,,9:55:00,,1:19:00,,11:24:00,,17:37:00,,6:35:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,74,3:53:00,64,5:27:00,75,5:56:00,72,8:24:00,68,11:00:00,66,11:44:00,62,2:31:00,69,15:24:00,48,10:05:00,34,6:13:00,57,12:58:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,74,3:53:00,66,9:20:00,72,15:16:00,68,23:40:00,68,34:40:00,63,46:24:00,63,48:55:00,62,64:19:00,57,74:24:00,55,80:37:00,49,93:35:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5th USCA C-2,"Clara Fuller
Thomas Fuller

TC Cheeyen Fuller
TC Bob Fuller",8290,9:00, ,13:04:00,,18:50:00,,0:28:00,,10:20:00,,21:59:00,,10:30:00,,13:03:00,,2:45:00,,12:35:00,,19:10:00,,6:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,95,4:04:00,81,5:46:00,68,5:38:00,92,9:52:00,79,11:39:00,76,12:31:00,66,2:33:00,53,13:42:00,45,9:50:00,39,6:35:00,49,11:39:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,95,4:04:00,89,9:50:00,75,15:28:00,74,25:20:00,76,36:59:00,72,49:30:00,70,52:03:00,66,65:45:00,63,75:35:00,58,82:10:00,50,93:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,6th Aluminum,"Blair Severson
Regan Gilbert

TC Kasey Gilbert
TC Sergio Vega",1013,9:00, ,13:02:00,,18:45:00,,1:06:00,,9:47:00,,21:03:00,,9:26:00,,12:02:00,,2:44:00,,12:13:00,,19:18:00,,6:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,90,4:02:00,79,5:43:00,79,6:21:00,78,8:41:00,71,11:16:00,74,12:23:00,68,2:36:00,64,14:42:00,44,9:29:00,45,7:05:00,47,11:34:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,90,4:02:00,84,9:45:00,79,16:06:00,72,24:47:00,72,36:03:00,70,48:26:00,67,51:02:00,65,65:44:00,60,75:13:00,59,82:18:00,51,93:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,7th Aluminum,"Justin McKinney
Anthony Krenz

TC Molly Krenz",303,9:00, ,12:53:00,,18:31:00,,0:20:00,,8:55:00,,19:05:00,,6:04:00,,8:50:00,,22:27:00,,10:24:00,,17:45:00,,6:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,74,3:53:00,77,5:38:00,73,5:49:00,75,8:35:00,60,10:10:00,65,10:59:00,74,2:46:00,51,13:37:00,59,11:57:00,49,7:21:00,58,13:14:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,74,3:53:00,77,9:31:00,74,15:20:00,69,23:55:00,66,34:05:00,61,45:04:00,59,47:50:00,56,61:27:00,54,73:24:00,56,80:45:00,52,93:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,8th Aluminum,"Alex Daresh
Jose Ramirez

TC Jacob Hannusch",8004,9:00, ,12:48:00,,18:44:00,,0:31:00,,9:51:00,,19:18:00,,7:47:00,,9:51:00,,22:42:00,,11:27:00,,17:30:00,,7:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,66,3:48:00,94,5:56:00,72,5:47:00,88,9:20:00,53,9:27:00,75,12:29:00,38,2:04:00,39,12:51:00,69,12:45:00,28,6:03:00,60,14:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,66,3:48:00,81,9:44:00,76,15:31:00,73,24:51:00,67,34:18:00,65,46:47:00,62,48:51:00,59,61:42:00,58,74:27:00,54,80:30:00,53,94:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6th Novice,"Benjamin West
Stevens Herbst

TC Stephen Hight
TC Duane Herbst",1996,9:00, ,12:56:00,,18:29:00,,23:57:00,,9:34:00,,20:14:00,,8:10:00,,10:47:00,,1:12:00,,11:57:00,,19:31:00,,8:07:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,83,3:56:00,73,5:33:00,65,5:28:00,90,9:37:00,64,10:40:00,71,11:56:00,69,2:37:00,60,14:25:00,53,10:45:00,52,7:34:00,54,12:36:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,83,3:56:00,74,9:29:00,70,14:57:00,70,24:34:00,70,35:14:00,66,47:10:00,64,49:47:00,61,64:12:00,59,74:57:00,60,82:31:00,54,95:07:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2nd Unlimited Women,"Megan Lowry
Brandy Kalkbrenner

TC Chris Kalkbrenner
TC Kelly Campbell",8008,9:00, ,13:02:00,,18:45:00,,1:56:00,,11:32:00,,22:58:00,,10:45:00,,13:09:00,,1:37:00,,13:41:00,,21:30:00,,9:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,90,4:02:00,79,5:43:00,94,7:11:00,89,9:36:00,76,11:26:00,67,11:47:00,56,2:24:00,36,12:28:00,61,12:04:00,56,7:49:00,52,12:22:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,90,4:02:00,84,9:45:00,88,16:56:00,84,26:32:00,80,37:58:00,74,49:45:00,71,52:09:00,63,64:37:00,64,76:41:00,62,84:30:00,55,96:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,7th Novice,"John Sangree
John Herrmann

TC Scott Guptill
TC Michael Bednara
",1804,9:00, ,13:49:00,,19:42:00,,2:56:00,,13:24:00,,23:47:00,,12:49:00,,15:20:00,,3:53:00,,17:01:00,,1:15:00,,10:00:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,121,4:49:00,89,5:53:00,95,7:14:00,97,10:28:00,62,10:23:00,83,13:02:00,64,2:31:00,38,12:33:00,73,13:08:00,58,8:14:00,32,8:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,121,4:49:00,109,10:42:00,98,17:56:00,93,28:24:00,83,38:47:00,78,51:49:00,75,54:20:00,67,66:53:00,66,80:01:00,67,88:15:00,56,97:00:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6th Tandem Unlimited,"Lee Lichlyter
Bruce Beall

TC RoxAnne Lichlyter
TC Jennifer Beall",6,9:00, ,12:34:00,,17:44:00,,22:55:00,,5:45:00,,15:34:00,,3:23:00,,6:09:00,,22:15:00,,11:19:00,,21:20:00,,10:11:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,52,3:34:00,53,5:10:00,55,5:11:00,52,6:50:00,56,9:49:00,69,11:49:00,74,2:46:00,74,16:06:00,72,13:04:00,72,10:01:00,55,12:51:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,52,3:34:00,53,8:44:00,53,13:55:00,49,20:45:00,52,30:34:00,53,42:23:00,51,45:09:00,55,61:15:00,56,74:19:00,61,84:20:00,57,97:11:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2nd Solo Unlimited Woman,"Martha Adame

TC Adam Adame
TC Jessica Ortiz",388,9:00, ,12:59:00,,18:23:00,,23:54:00,,7:58:00,,17:58:00,,7:34:00,,9:38:00,,22:42:00,,12:24:00,,22:00:00,,10:13:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,87,3:59:00,63,5:24:00,66,5:31:00,70,8:04:00,58,10:00:00,84,13:36:00,38,2:04:00,43,13:04:00,75,13:42:00,69,9:36:00,51,12:13:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,87,3:59:00,71,9:23:00,69,14:54:00,65,22:58:00,64,32:58:00,64,46:34:00,61,48:38:00,59,61:42:00,61,75:24:00,63,85:00:00,58,97:13:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,15th Unlimited,"Mike Buck - out @ Palmetto
Kent Fish
Dennis Hall

TC Kim Buck
TC Robin Buck",6962,9:00, ,12:51:00,,19:07:00,,6:16:00,,13:13:00,,0:07:00,,12:51:00,,15:30:00,,8:04:00,,17:05:00,,0:00:00,,10:19:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,68,3:51:00,109,6:16:00,111,11:09:00,56,6:57:00,67,10:54:00,78,12:44:00,70,2:39:00,75,16:34:00,41,9:01:00,42,6:55:00,39,10:19:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,68,3:51:00,95,10:07:00,110,21:16:00,92,28:13:00,84,39:07:00,79,51:51:00,76,54:30:00,79,71:04:00,67,80:05:00,66,87:00:00,59,97:19:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,8th Novice,"Marco Lozano
Alex Szczepaniak

TC Norma Lozano
TC Roy Lozano",22,9:00, ,13:05:00,,19:09:00,,1:28:00,,12:18:00,,1:44:00,,12:23:00,,15:08:00,,7:54:00,,17:44:00,,2:50:00,,10:23:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,97,4:05:00,100,6:04:00,78,6:19:00,98,10:50:00,86,13:26:00,59,10:39:00,73,2:45:00,76,16:46:00,45,9:50:00,65,9:06:00,20,7:33:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,97,4:05:00,96,10:09:00,83,16:28:00,89,27:18:00,85,40:44:00,77,51:23:00,74,54:08:00,75,70:54:00,71,80:44:00,69,89:50:00,60,97:23:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
