,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cheapside,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Calhouns RV,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
10,11,"USCA C-2
1st Masters","Jimmy MacMillan
Garrett Jones

TC Ben Horsey
TC Brandon Thompson",195,0 days 03:00:00,0 days 07:16:00,0 days 11:13:00,0 days 15:54:00,0 days 22:53:00,1 days 03:43:00,1 days 07:30:00,1 days 14:25:00,1 days 20:46:00,2 days 01:28:00,2 days 05:01:00,USCA C-2,"['Jimmy MacMillan', 'Garrett Jones', '', '']","['Ben Horsey', 'TC Brandon Thompson']",-2.823763907144894e-07,54.89546138830886,108.72002390898841,157.48111837710587,209.222865957275,255.02219680808804,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
11,12,Unlimited,"Thomas Martin
William Martin
James Martin

TC Miles Hosanna
TC Katie Cunningham",183,0 days 03:09:00,0 days 07:34:00,0 days 11:33:00,0 days 16:15:00,0 days 23:15:00,1 days 03:49:00,1 days 06:34:00,1 days 14:47:00,1 days 22:06:00,2 days 02:56:00,2 days 06:05:00,Unlimited,"['Thomas Martin', 'William Martin', 'James Martin', '', '']","['Miles Hosanna', 'TC Katie Cunningham']",-2.823763907144894e-07,53.223637483728034,106.81561040689014,160.1442629186804,206.67275743324151,249.05366643564363,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
12,13,Solo Unlimited Woman,"Salli O'Donnell

TC Mike Malone",5353,0 days 02:46:00,0 days 06:48:00,0 days 10:46:00,0 days 15:13:00,0 days 22:26:00,1 days 03:09:00,1 days 05:59:00,1 days 14:03:00,1 days 21:53:00,2 days 02:19:00,2 days 06:07:00,Solo Unlimited Woman,"[""Salli O'Donnell"", '', '']",['Mike Malone'],-2.823763907144894e-07,57.260613038613485,111.52508767651318,163.10585459007098,209.2103494426623,251.5844766414495,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
13,14,"Mixed Tandem Unlimited 
1st Adult Youth","Adelaide Rolls
Ian Rolls

TC Brooke Rolls
TC Blane Ellis",22,0 days 02:45:00,0 days 06:45:00,0 days 10:29:00,0 days 15:07:00,0 days 22:04:00,1 days 02:50:00,1 days 05:50:00,1 days 14:18:00,1 days 22:22:00,2 days 02:28:00,2 days 06:20:00,Mixed Tandem Unlimited,"['Adelaide Rolls', 'Ian Rolls', '', '']","['Brooke Rolls', 'TC Blane Ellis']",-2.823763907144894e-07,58.57600480982691,113.00052556981257,163.78490539519174,208.03772220724275,250.70272074044377,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
14,15,Tandem Unlimited Women,"Holly Orr
Melissa James

TC Andrew Nelson
TC Jason James",357,0 days 03:02:00,0 days 07:15:00,0 days 11:02:00,0 days 15:45:00,0 days 23:02:00,1 days 03:49:00,1 days 06:43:00,1 days 15:10:00,1 days 22:23:00,2 days 03:00:00,2 days 06:37:00,Tandem Unlimited Women,"['Holly Orr', 'Melissa James', '', '']","['Andrew Nelson', 'TC Jason James']",-2.823763907144894e-07,55.614638498336184,108.5870746553155,159.56991663167284,205.112619006916,248.56480825765317,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
15,16,USCA C-1 Man,"Brandon Stafford

TC Joseph Bitterly
TC Heather Stafford",14,0 days 03:02:00,0 days 07:18:00,0 days 11:22:00,0 days 16:09:00,0 days 23:26:00,1 days 04:35:00,1 days 07:28:00,1 days 16:32:00,2 days 00:08:00,2 days 04:17:00,2 days 08:43:00,USCA C-1 Man,"['Brandon Stafford', '', '']","['Joseph Bitterly', 'TC Heather Stafford']",-2.823763907144894e-07,54.31728751290295,106.55216187763713,155.91196376475926,199.3000997445097,241.6261213765673,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
16,17,Unlimited,"Matt Taylor
Myles Sumerlin
John D Chapman III
Bobby Johnson

TC Tara Taylor
TC Ricky Johnson",777,0 days 02:44:00,0 days 07:07:00,0 days 11:03:00,0 days 16:06:00,1 days 00:11:00,1 days 05:16:00,1 days 08:27:00,1 days 17:00:00,2 days 00:15:00,2 days 04:54:00,2 days 08:50:00,Unlimited,"['Matt Taylor', 'Myles Sumerlin', 'John D Chapman III', 'Bobby Johnson', '', '']","['Tara Taylor', 'TC Ricky Johnson']",-2.823763907144894e-07,55.7419993399928,104.84294003679854,152.26213809812415,197.0594985287133,240.0982715129705,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
17,18,Unlimited,"Josephine Harras
John Mark Harras
Pete Binion
Wade Binion
Egan Gyldenege
Kyle Issendorf

TC Jason Jones
TC Chris Cobb",807,0 days 03:17:00,0 days 07:41:00,0 days 11:44:00,0 days 16:43:00,1 days 00:06:00,1 days 04:59:00,1 days 08:09:00,1 days 17:39:00,2 days 00:34:00,2 days 05:37:00,2 days 10:26:00,Unlimited,"['Josephine Harras', 'John Mark Harras', 'Pete Binion', 'Wade Binion', 'Egan Gyldenege', 'Kyle Issendorf', '', '']","['Jason Jones', 'TC Chris Cobb']",-2.823763907144894e-07,52.42256249687326,103.44313975944608,153.53047351351813,194.87325509389183,238.17396559312758,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
18,19,Novice,"Wesley Keathley
Micah Killian

TC Miles Maynor
TC Micah Harris",628,0 days 03:34:00,0 days 08:22:00,0 days 12:49:00,0 days 18:15:00,1 days 02:10:00,1 days 07:11:00,1 days 10:27:00,1 days 20:25:00,2 days 03:58:00,2 days 09:46:00,2 days 15:12:00,Novice,"['Wesley Keathley', 'Micah Killian', '', '']","['Miles Maynor', 'TC Micah Harris']",-2.823763907144894e-07,48.19736282047176,95.1566503226383,143.138097132819,184.4880145842127,224.2726604484728,258.41091575208264,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
19,20,Tandem Unlimited Women,"Mollie Binion
Lilly Jones

TC Sam Binion
TC Meagan Tolliver",38,0 days 03:22:00,0 days 08:04:00,0 days 12:36:00,0 days 18:03:00,1 days 02:37:00,1 days 08:01:00,1 days 11:24:00,1 days 21:20:00,2 days 04:32:00,2 days 10:12:00,2 days 15:25:00,Tandem Unlimited Women,"['Mollie Binion', 'Lilly Jones', '', '']","['Sam Binion', 'TC Meagan Tolliver']",-2.823763907144894e-07,49.42239375994249,95.40022621494698,139.69569669020862,180.87406660967244,221.46742737955105,257.553432832197,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
20,21,Unlimited,"Daniel Currey
Derrick Lee
Greg Frank
Cody Taylor

TC Heather Toombs
TC Miranda Wait",667,0 days 03:14:00,0 days 07:51:00,0 days 12:25:00,0 days 17:27:00,1 days 01:36:00,1 days 06:55:00,1 days 10:12:00,1 days 19:27:00,2 days 03:23:00,2 days 08:32:00,2 days 15:31:00,Unlimited,"['Daniel Currey', 'Derrick Lee', 'Greg Frank', 'Cody Taylor', '', '']","['Heather Toombs', 'TC Miranda Wait']",-2.823763907144894e-07,50.336225753112544,98.55919926470112,144.72614191863318,187.19246839295454,226.91669268416888,259.52023287789376,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
21,22,Solo Unlimited Man,"Brady Lotz

TC Charlene Lotz
TC John Reagan",9,0 days 03:13:00,0 days 07:43:00,0 days 12:00:00,0 days 17:17:00,1 days 02:00:00,1 days 07:05:00,1 days 10:21:00,1 days 21:43:00,2 days 06:41:00,2 days 11:40:00,2 days 15:36:00,Solo Unlimited Man,"['Brady Lotz', '', '']","['Charlene Lotz', 'TC John Reagan']",-2.823763907144894e-07,51.619831634550664,98.51399701603353,143.70773313014513,182.18369725719248,216.2339785191125,254.17128897063907,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
22,23,Aluminum,"Stephen Beck
Andy Armendariz

TC Roman Manzano
TC Kendra Alaniz",4747,0 days 03:33:00,0 days 08:17:00,0 days 12:43:00,0 days 18:06:00,1 days 01:46:00,1 days 07:11:00,1 days 10:13:00,1 days 20:11:00,2 days 03:28:00,2 days 09:15:00,2 days 17:54:00,Aluminum,"['Stephen Beck', 'Andy Armendariz', '', '']","['Roman Manzano', 'TC Kendra Alaniz']",-2.823763907144894e-07,48.61327254914627,96.14867030175651,143.57394729186257,185.39031206774243,226.08760699587626,257.2009437590305,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
23,24,Standard,"Liam Price
Edoh Amiran

TC Susan Price",424,0 days 03:11:00,0 days 07:44:00,0 days 12:04:00,0 days 17:28:00,1 days 01:49:00,1 days 07:08:00,1 days 10:27:00,1 days 19:53:00,2 days 03:35:00,2 days 08:17:00,2 days 18:00:00,Standard,"['Liam Price', 'Edoh Amiran', '', '']",['Susan Price'],-2.823763907144894e-07,51.413761156793115,98.20756404588505,143.7064472604627,185.70140201284633,225.95697392520725,258.04010883261634,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
24,25,USCA C-2,"Joe Mann
John Bugge

TC Jim Short",1346,0 days 03:13:00,0 days 07:39:00,0 days 11:39:00,0 days 16:37:00,1 days 00:06:00,1 days 04:58:00,1 days 07:57:00,1 days 16:29:00,2 days 00:03:00,2 days 05:21:00,2 days 20:09:00,USCA C-2,"['Joe Mann', 'John Bugge', '', '']",['Jim Short'],-2.823763907144894e-07,52.74172805668355,103.71808884799749,153.88454399759942,199.38423104709526,239.92314659682268,258.9083112885474,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
25,26,USCA C-2,"Michael Tecci
Chris Champion

TC AJ Champion
TC Jessie Hazelwood",160,0 days 03:10:00,0 days 07:38:00,0 days 11:42:00,0 days 16:51:00,1 days 00:23:00,1 days 05:42:00,1 days 08:57:00,1 days 17:48:00,2 days 00:51:00,2 days 06:35:00,2 days 20:14:00,USCA C-2,"['Michael Tecci', 'Chris Champion', '', '']","['AJ Champion', 'TC Jessie Hazelwood']",-2.823763907144894e-07,52.62767951695721,102.45926347275474,150.33124914046715,193.72837101663166,236.44244688524094,258.22618508197957,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
26,27,Aluminum,"Andrew Hurst
Garret Hurst

TC Ralph Hurst
TC Eden Hurst",832,0 days 03:29:00,0 days 08:16:00,0 days 12:46:00,0 days 18:05:00,1 days 02:28:00,1 days 07:56:00,1 days 12:16:00,1 days 23:10:00,2 days 07:00:00,2 days 12:46:00,2 days 20:49:00,Aluminum,"['Andrew Hurst', 'Garret Hurst', '', '']","['Ralph Hurst', 'TC Eden Hurst']",-2.823763907144894e-07,48.571368765208945,95.43734422235583,140.19108340607576,176.2268090311002,212.672623135455,250.30488677703173,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
27,28,Unlimited,"Shawn Melnar
Dylan Melnar
John Gutierrez

TC Sharon Melnar
TC Claire Stevens",7,0 days 03:12:00,0 days 07:40:00,0 days 11:49:00,0 days 16:50:00,1 days 00:59:00,1 days 06:28:00,1 days 09:26:00,1 days 18:50:00,2 days 02:50:00,2 days 08:09:00,2 days 20:56:00,Unlimited,"['Shawn Melnar', 'Dylan Melnar', 'John Gutierrez', '', '']","['Sharon Melnar', 'TC Claire Stevens']",-2.823763907144894e-07,52.2212236175309,101.36275283510683,146.91072507337154,189.95025112331118,229.07215065045185,256.9833648017,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
28,29,Standard,"Joe Geisinger
Curt Slaten out @ Victoria

TC Mike Drost
TC Debbie Richardson",54,0 days 03:01:00,0 days 07:13:00,0 days 11:02:00,0 days 15:37:00,0 days 22:39:00,1 days 03:19:00,1 days 06:24:00,1 days 16:37:00,2 days 02:22:00,2 days 10:07:00,2 days 20:57:00,Standard,"['Joe Geisinger', 'Curt Slaten out @ Victoria', '', '']","['Mike Drost', 'TC Debbie Richardson']",-2.823763907144894e-07,55.66380916906059,110.05800637385651,161.21182577166445,199.2409253965419,231.11574918291967,255.328983321812,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
29,30,Unlimited,"Cooper Knight
Andrew Noonan
Randall Murphy

TC Daphane Noonan
TC Dean Braune",432,0 days 03:35:00,0 days 08:35:00,0 days 13:34:00,0 days 19:35:00,1 days 03:35:00,1 days 09:18:00,1 days 13:00:00,1 days 23:15:00,2 days 07:00:00,2 days 13:35:00,2 days 22:13:00,Unlimited,"['Cooper Knight', 'Andrew Noonan', 'Randall Murphy', '', '']","['Daphane Noonan', 'TC Dean Braune']",-2.823763907144894e-07,46.49140753435693,88.89593733832804,134.59619926938956,174.3065149312125,212.46189436535198,248.06769712367029,265.73723769362556,266.06332049717383,266.06332049717383,266.06332049717383
30,31,Tandem Unlimited,"Cody Nelson
Luke Brentlinger

TC Amber Nelson
TC Madison Lehman",1507,0 days 03:28:00,0 days 08:20:00,0 days 12:58:00,0 days 18:37:00,1 days 03:07:00,1 days 09:03:00,1 days 12:17:00,1 days 22:45:00,2 days 06:40:00,2 days 12:20:00,2 days 22:13:00,Tandem Unlimited,"['Cody Nelson', 'Luke Brentlinger', '', '']","['Amber Nelson', 'TC Madison Lehman']",-2.823763907144894e-07,48.04628920277051,92.99621800679432,136.17793672134715,176.71195904200974,214.17168106004053,251.84665869420624,265.7784791949175,266.06332049717383,266.06332049717383,266.06332049717383
31,32,Unlimited Women,"Kim Kaiser
Morgan O'Hanlon
Kileigh Reed

TC John Qualls
TC Peter Olden",321,0 days 03:10:00,0 days 07:50:00,0 days 12:28:00,0 days 17:16:00,1 days 01:58:00,1 days 07:19:00,1 days 10:44:00,1 days 21:54:00,2 days 06:33:00,2 days 12:44:00,2 days 22:44:00,Unlimited Women,"['Kim Kaiser', ""Morgan O'Hanlon"", 'Kileigh Reed', '', '']","['John Qualls', 'TC Peter Olden']",-2.823763907144894e-07,50.27073713987894,98.607100925581,142.8822368406187,181.20376717667833,216.12017017604802,250.60335512327177,265.11048982301077,266.06332049717383,266.06332049717383,266.06332049717383
32,33,Unlimited,"Kristin Daniel
Jay Daniel
Richard Zambrana

TC Jim Graham
TC Kassy Daniel",113,0 days 03:10:00,0 days 07:42:00,0 days 11:49:00,0 days 16:57:00,1 days 00:45:00,1 days 07:00:00,1 days 09:56:00,1 days 19:15:00,2 days 03:55:00,2 days 10:36:00,2 days 23:05:00,Unlimited,"['Kristin Daniel', 'Jay Daniel', 'Richard Zambrana', '', '']","['Jim Graham', 'TC Kassy Daniel']",-2.823763907144894e-07,52.14815919098233,101.45455318590494,145.03675659912201,188.12268467982668,225.48027200991856,254.52735014303272,264.93574444752096,266.06332049717383,266.06332049717383,266.06332049717383
33,34,Standard,"Luis Briones
Craig Ahlhorn

TC Kevin Rumbaugh
TC Sandra Ahlhorn",713,0 days 03:16:00,0 days 08:04:00,0 days 12:43:00,0 days 17:45:00,1 days 02:44:00,1 days 07:59:00,1 days 12:28:00,2 days 00:01:00,2 days 07:44:00,2 days 16:05:00,2 days 23:12:00,Standard,"['Luis Briones', 'Craig Ahlhorn', '', '']","['Kevin Rumbaugh', 'TC Sandra Ahlhorn']",-2.823763907144894e-07,49.20183276675468,96.24640463298499,139.5875780685707,174.8165424954982,209.45853149676486,242.89862770404673,263.8724388107865,266.06332049717383,266.06332049717383,266.06332049717383
34,35,Aluminum,"Aaron Zwahr
Mike Davidson

TC Jen Jenkins
TC Dolly Davidson",6708,0 days 03:47:00,0 days 08:56:00,0 days 13:42:00,0 days 19:28:00,1 days 04:20:00,1 days 10:16:00,1 days 14:05:00,2 days 00:36:00,2 days 09:00:00,2 days 16:48:00,3 days 00:41:00,Aluminum,"['Aaron Zwahr', 'Mike Davidson', '', '']","['Jen Jenkins', 'TC Dolly Davidson']",-2.823763907144894e-07,45.24421072907962,89.194840387083,131.0470746848701,170.05033559515007,206.68441391836072,240.27031267248555,261.64070647045105,266.06332049717383,266.06332049717383,266.06332049717383
35,36,Novice,"Jackson Swilley
Parker Carpenter

TC Samuel Swilley
TC Kristopher Murphy",830,0 days 03:40:00,0 days 08:47:00,0 days 13:31:00,0 days 19:56:00,1 days 04:31:00,1 days 10:20:00,1 days 13:39:00,2 days 02:01:00,2 days 10:30:00,2 days 19:07:00,3 days 00:46:00,Novice,"['Jackson Swilley', 'Parker Carpenter', '', '']","['Samuel Swilley', 'TC Kristopher Murphy']",-2.823763907144894e-07,45.929930637253975,87.25391179178563,130.39939825870886,170.35005185807017,201.5152749126014,235.89124954165743,259.7008952392867,266.06332049717383,266.06332049717383,266.06332049717383
36,37,Unlimited,"Myla Weber
Libby Geisinger
Gwen Truitt
Jim Weber
Luke Parker

TC Sandy Sherrod
TC Bruce Houghton",35,0 days 02:50:00,0 days 07:03:00,0 days 10:54:00,0 days 15:30:00,0 days 22:51:00,1 days 03:15:00,1 days 06:14:00,1 days 15:15:00,1 days 22:40:00,2 days 04:11:00,3 days 01:08:00,Unlimited,"['Myla Weber', 'Libby Geisinger', 'Gwen Truitt', 'Jim Weber', 'Luke Parker', '', '']","['Sandy Sherrod', 'TC Bruce Houghton']",-2.823763907144894e-07,56.42600606368719,109.65125098037689,161.9323481479717,204.67203308850983,244.83823935042486,257.91805502483146,264.12003381087897,266.06332049717383,266.06332049717383,266.06332049717383
37,38,Tandem Unlimited,"Doug Johnson
Garrett Meeker

TC Rebecca Meeker
TC Josh Shivers",6922,0 days 03:38:00,0 days 08:34:00,0 days 13:46:00,0 days 19:51:00,1 days 05:58:00,1 days 12:15:00,1 days 16:34:00,2 days 03:19:00,2 days 11:20:00,2 days 20:15:00,3 days 01:42:00,Tandem Unlimited,"['Doug Johnson', 'Garrett Meeker', '', '']","['Rebecca Meeker', 'TC Josh Shivers']",-2.823763907144894e-07,46.31331117313433,87.51550255630833,124.151237869158,161.19022578751455,196.84669228691575,233.82552220814793,257.2422858990001,266.06332049717383,266.06332049717383,266.06332049717383
38,39,Unlimited,"Marshall Zurovec
Corey Snell
Stacy Greer

TC Rob Zurovec
TC Wesley Zurovec",8588,0 days 03:29:00,0 days 08:16:00,0 days 13:28:00,0 days 19:16:00,1 days 05:15:00,1 days 12:30:00,1 days 16:57:00,2 days 04:22:00,2 days 14:32:00,2 days 21:32:00,3 days 01:56:00,Unlimited,"['Marshall Zurovec', 'Corey Snell', 'Stacy Greer', '', '']","['Rob Zurovec', 'TC Wesley Zurovec']",-2.823763907144894e-07,47.50253526258845,89.687836387558,126.6069522234502,160.0404513503223,193.57769733565425,224.61976984649593,254.448235832789,266.06332049717383,266.06332049717383,266.06332049717383
39,40,USCA C-2,"Paul Pape
Mike Howard

TC Jennifer Keirnan-Pape
TC Amber Howard",1973,0 days 03:36:00,0 days 08:35:00,0 days 13:46:00,0 days 19:46:00,1 days 06:45:00,1 days 12:28:00,1 days 15:41:00,2 days 05:36:00,2 days 13:57:00,2 days 20:20:00,3 days 02:00:00,USCA C-2,"['Paul Pape', 'Mike Howard', '', '']","['Jennifer Keirnan-Pape', 'TC Amber Howard']",-2.823763907144894e-07,46.265300339940936,87.75327841409621,121.48836505466696,163.90320510816508,191.5973314632096,225.10019462116554,256.8916883394542,266.06332049717383,266.06332049717383,266.06332049717383
40,41,Solo Unlimited Woman,"Cyndi Wilsdorf

TC Stephanie Wolfe
TC Susan Jordan",811,0 days 03:35:00,0 days 08:08:00,0 days 12:51:00,0 days 19:57:00,1 days 05:37:00,1 days 12:10:00,1 days 16:50:00,2 days 04:14:00,2 days 14:30:00,2 days 21:08:00,3 days 03:08:00,Solo Unlimited Woman,"['Cyndi Wilsdorf', '', '']","['Stephanie Wolfe', 'TC Susan Jordan']",-2.823763907144894e-07,48.78934389648541,87.15777658296682,125.48287308569014,160.52872627292413,194.01678859365248,224.79397461444927,254.94696263193774,266.06332049717383,266.06332049717383,266.06332049717383
41,42,Standard,"Austin Bodin
Will Parrish

TC Megan Campbell
TC Andrea Villalobos",1612,0 days 03:30:00,0 days 08:47:00,0 days 13:34:00,0 days 19:12:00,1 days 03:54:00,1 days 10:14:00,1 days 14:09:00,2 days 03:03:00,2 days 12:38:00,2 days 21:02:00,3 days 03:13:00,Standard,"['Austin Bodin', 'Will Parrish', '', '']","['Megan Campbell', 'TC Andrea Villalobos']",-2.823763907144894e-07,45.87454595546117,90.37324088997502,132.31517814997775,168.55342104063712,198.4301594210792,230.24131891407558,255.10144836976457,266.06332049717383,266.06332049717383,266.06332049717383
