,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cheapside,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Calhouns RV,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
0,1,Tandem Unlimited,"Tommy Yonley
Jonathan Yonley

TC Steve Rask
TC Jacob Southard",2,0 days 02:17:00,0 days 05:29:00,0 days 08:24:00,0 days 11:54:00,0 days 17:15:00,0 days 20:55:00,0 days 22:54:00,1 days 04:36:00,1 days 09:43:00,1 days 13:08:00,1 days 15:46:00,Tandem Unlimited,"['Tommy Yonley', 'Jonathan Yonley', '', '']","['Steve Rask', 'TC Jacob Southard']",-2.823763907144894e-07,73.00305565454445,142.78480016557785,209.96808754235101,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
1,2,Unlimited,"Andrew Condie
Brian Jones
Gaston Jones
William Russell
Dodd Yeager
Clay Wyatt

TC Jill Wyatt
TC Jay Condie",1313,0 days 02:15:00,0 days 05:27:00,0 days 08:23:00,0 days 11:47:00,0 days 17:09:00,0 days 20:36:00,0 days 22:35:00,1 days 04:02:00,1 days 08:42:00,1 days 11:37:00,1 days 16:21:00,Unlimited,"['Andrew Condie', 'Brian Jones', 'Gaston Jones', 'William Russell', 'Dodd Yeager', 'Clay Wyatt', '', '']","['Jill Wyatt', 'TC Jay Condie']",-2.823763907144894e-07,73.47497574398459,144.6886280683326,214.50641499700154,265.10255973417327,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
2,3,Unlimited,"Nathan Tart
James Lowe
David Earnest
Ryan Martinez
Shawn Boyett
Jason Cade

TC Kathryn Tart
TC Illiana Pena",2424,0 days 02:17:00,0 days 05:29:00,0 days 08:29:00,0 days 11:57:00,0 days 17:14:00,0 days 20:56:00,0 days 22:54:00,1 days 04:38:00,1 days 10:02:00,1 days 14:15:00,1 days 21:10:00,Unlimited,"['Nathan Tart', 'James Lowe', 'David Earnest', 'Ryan Martinez', 'Shawn Boyett', 'Jason Cade', '', '']","['Kathryn Tart', 'TC Illiana Pena']",-2.823763907144894e-07,72.49781296336906,142.72844489947315,209.3377753088308,256.3575973101894,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
3,4,Unlimited,"Rebekah Feaster
West Hansen
Cyril Derreumaux
Jeff Wueste
Gabe Haarsma
Jonathan Zeek

TC Barbara Edington
TC Lauran Edington",1901,0 days 02:40:00,0 days 06:39:00,0 days 10:12:00,0 days 14:22:00,0 days 20:43:00,1 days 00:50:00,1 days 03:12:00,1 days 10:02:00,1 days 16:18:00,1 days 21:00:00,2 days 00:56:00,Unlimited,"['Rebekah Feaster', 'West Hansen', 'Cyril Derreumaux', 'Jeff Wueste', 'Gabe Haarsma', 'Jonathan Zeek', '', '']","['Barbara Edington', 'TC Lauran Edington']",-2.823763907144894e-07,60.08337226526427,119.83673299131934,178.81863112759535,230.8005655835677,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
4,5,Unlimited Women,"Lydia Huelskamp
Cecili Bugge
Morgan Kohut

TC Virginia Parker
TC Holly Huelskamp",3931,0 days 02:45:00,0 days 06:37:00,0 days 10:12:00,0 days 14:36:00,0 days 21:11:00,1 days 01:25:00,1 days 04:01:00,1 days 11:04:00,1 days 17:24:00,1 days 21:51:00,2 days 01:33:00,Unlimited Women,"['Lydia Huelskamp', 'Cecili Bugge', 'Morgan Kohut', '', '']","['Virginia Parker', 'TC Holly Huelskamp']",-2.823763907144894e-07,60.09417513066908,117.35845027074494,173.8687258794555,225.4833796194129,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
5,6,USCA C-2,"Susannah Hulin
Joshua Hulin

TC Pricilla Hulin
TC Dwight Hulin",56,0 days 02:57:00,0 days 07:14:00,0 days 11:04:00,0 days 15:24:00,0 days 22:30:00,1 days 03:14:00,1 days 05:52:00,1 days 13:47:00,1 days 19:54:00,1 days 23:57:00,2 days 03:15:00,USCA C-2,"['Susannah Hulin', 'Joshua Hulin', '', '']","['Pricilla Hulin', 'TC Dwight Hulin']",-2.823763907144894e-07,55.50882845613078,110.97188734136228,163.6753358930683,212.69398310888235,261.141674452943,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
6,7,Unlimited,"Brenda Jones
Ed Joes
Keifer Mauldin
Adam Sims

TC Tonya Jones
TC Amanda Adcock",4444,0 days 02:51:00,0 days 07:04:00,0 days 10:49:00,0 days 15:06:00,0 days 22:03:00,1 days 02:42:00,1 days 05:26:00,1 days 13:02:00,1 days 19:59:00,2 days 00:21:00,2 days 03:43:00,Unlimited,"['Brenda Jones', 'Ed Joes', 'Keifer Mauldin', 'Adam Sims', '', '']","['Tonya Jones', 'TC Amanda Adcock']",-2.823763907144894e-07,56.75557958527443,113.08938017451334,165.89989493447942,214.67313148607093,259.4381027132765,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
7,8,Tandem Unlimited,"Patrick McCarthy
Will Leeds

TC Kayla Daniels
TC Scott Cummins",1116,0 days 02:46:00,0 days 06:53:00,0 days 10:32:00,0 days 14:44:00,0 days 21:21:00,1 days 02:02:00,1 days 04:46:00,1 days 12:17:00,1 days 18:47:00,1 days 23:26:00,2 days 03:47:00,Tandem Unlimited,"['Patrick McCarthy', 'Will Leeds', '', '']","['Kayla Daniels', 'TC Scott Cummins']",-2.823763907144894e-07,58.23270330259457,116.45869306913703,169.35002365488282,219.12313885434455,260.7366286405672,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
8,9,Unlimited,"David Kaiser
Cohl Brazil
Jhet Brazil
Yusuf Johnson
Sam Hanna
Alex Leonard

TC Matt Sandel
TC Max Dugas",123,0 days 02:50:00,0 days 06:49:00,0 days 10:28:00,0 days 14:46:00,0 days 21:44:00,1 days 02:02:00,1 days 04:57:00,1 days 12:57:00,1 days 19:59:00,2 days 00:46:00,2 days 04:23:00,Unlimited,"['David Kaiser', 'Cohl Brazil', 'Jhet Brazil', 'Yusuf Johnson', 'Sam Hanna', 'Alex Leonard', '', '']","['Matt Sandel', 'TC Max Dugas']",-2.823763907144894e-07,58.609200426805316,114.79972502959112,168.08472970729395,214.88162991342836,257.5010172040032,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
9,10,Unlimited,"Heather Harrison
Courtney Martinez
Wendell Smith
Bobby Smart

TC Mark Miller
TC Ryan Henk",333,0 days 02:53:00,0 days 06:52:00,0 days 10:28:00,0 days 14:45:00,0 days 21:16:00,1 days 01:27:00,1 days 04:01:00,1 days 11:26:00,1 days 18:24:00,1 days 23:38:00,2 days 04:51:00,Unlimited,"['Heather Harrison', 'Courtney Martinez', 'Wendell Smith', 'Bobby Smart', '', '']","['Mark Miller', 'TC Ryan Henk']",-2.823763907144894e-07,58.572596539729275,116.81650132975007,173.33269210043883,221.69322607614265,258.9648288351688,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
