,,,,,,,,,,2021 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,2:32:00,6,6:09:00,6,9:19:00,6,13:25:00,6,18:54:00,6,22:33:00,6,24:39:00,7,30:57:00,7,36:30:00,7,40:46:00,6,44:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"1st Tandem Unlimited
1st Masters ","Chris Champion
Jason Cade
TC AJ Champion
TC Jeff Kellington",3930,9:00, ,11:31:00,,15:16:00,,18:39:00,,22:49:00,,4:05:00,,7:53:00,,9:59:00,,16:16:00,,21:41:00,,2:53:00,,6:02:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,2:31:00,10,3:45:00,9,3:23:00,8,4:10:00,5,5:16:00,8,3:48:00,7,2:06:00,9,6:17:00,10,5:25:00,32,5:12:00,9,3:09:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,2:31:00,10,6:16:00,10,9:39:00,10,13:49:00,7,19:05:00,7,22:53:00,8,24:59:00,8,31:16:00,8,36:41:00,9,41:53:00,7,45:02:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6th Unlimited,"West Hansen
Jimmy Harvey
Jeff Wueste
TC Barbara Edington
TC Lizet Alaniz",330,9:00, ,11:33:00,,15:12:00,,18:32:00,,22:45:00,,4:13:00,,8:04:00,,10:13:00,,16:36:00,,21:50:00,,2:52:00,,6:16:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:33:00,8,3:39:00,7,3:20:00,9,4:13:00,7,5:28:00,9,3:51:00,11,2:09:00,14,6:23:00,7,5:14:00,28,5:02:00,18,3:24:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:33:00,8,6:12:00,8,9:32:00,8,13:45:00,8,19:13:00,9,23:04:00,9,25:13:00,9,31:36:00,9,36:50:00,8,41:52:00,8,45:16:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
