,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cheapside,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Calhouns RV,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
42,43,Solo Unlimited Man,"Keifer Mauldin

TC Gary Gibson
TC Julia Gibson",414,0 days 02:57:00,0 days 07:28:00,0 days 11:36:00,0 days 17:03:00,1 days 01:42:00,1 days 06:57:00,1 days 10:44:00,1 days 20:32:00,2 days 05:57:00,2 days 17:44:00,2 days 22:24:00,Solo Unlimited Man,['Keifer Mauldin\n\n'],['Gary Gibson\nTC Julia Gibson'],-2.823763907144894e-07,53.26537027671738,99.60248384597067,144.51249160930223,183.73873061951284,219.39136497176102,242.94977464653363,264.9496223065936,266.06332049717383,266.06332049717383,266.06332049717383
43,44,Aluminum,"Hoyt Moss
Candace Morrison

TC Charlie Chapman
TC Wade Parsons",1620,0 days 03:46:00,0 days 08:45:00,0 days 13:36:00,0 days 19:43:00,1 days 06:16:00,1 days 12:22:00,1 days 15:58:00,2 days 03:17:00,2 days 12:13:00,2 days 18:41:00,2 days 23:17:00,Aluminum,['Hoyt Moss\nCandace Morrison\n\n'],['Charlie Chapman\nTC Wade Parsons'],-2.823763907144894e-07,45.944147681448115,87.96121374275755,123.08194375245127,163.1397472458835,197.19658893434033,231.5257320321778,262.43842119329247,266.06332049717383,266.06332049717383,266.06332049717383
44,45,USCA C-2,"Jared O'Brien
Chris Davis 

TC Jami O'Brien
TC Ana Davis",1984,0 days 03:25:00,0 days 08:23:00,0 days 12:53:00,0 days 18:04:00,1 days 02:33:00,1 days 09:32:00,1 days 12:57:00,2 days 02:27:00,2 days 10:15:00,2 days 20:10:00,2 days 23:51:00,USCA C-2,"[""Jared O'Brien\nChris Davis \n\n""]","[""Jami O'Brien\nTC Ana Davis""]",-2.823763907144894e-07,48.0369520138987,95.41028147811416,136.3800712475823,171.73363385935528,200.2825172006666,235.94094749363066,259.53735146187336,266.06332049717383,266.06332049717383,266.06332049717383
45,46,Tandem Unlimited,"Brady Lotz
Charles Cox

TC Charlene Lotz
TC John Reagan",1010,0 days 03:10:00,0 days 07:40:00,0 days 11:52:00,0 days 17:34:00,1 days 05:03:00,1 days 11:05:00,1 days 14:36:00,2 days 04:00:00,2 days 11:57:00,2 days 19:51:00,2 days 23:56:00,Tandem Unlimited,['Brady Lotz\nCharles Cox\n\n'],['Charlene Lotz\nTC John Reagan'],-2.823763907144894e-07,52.08325027381914,94.81757202875738,127.95838349905776,167.05289529958955,195.8148300091196,232.40204290810826,259.9114638253973,266.06332049717383,266.06332049717383,266.06332049717383
46,47,Unlimited,"Benton Mahaffey
Bolin Mahaffey
Logan Canter

TC Benton Mahaffey Sr
TC Joseph Makaitis",1,0 days 03:25:00,0 days 08:10:00,0 days 12:47:00,0 days 18:03:00,1 days 06:15:00,1 days 13:04:00,1 days 21:24:00,2 days 07:03:00,2 days 15:07:00,2 days 20:58:00,3 days 00:18:00,Unlimited,['Benton Mahaffey\nBolin Mahaffey\nLogan Canter\n\n'],['Benton Mahaffey Sr\nTC Joseph Makaitis'],-2.823763907144894e-07,48.81721700768895,92.88843145907653,123.25922667237725,153.96330309064385,181.39809651792822,220.4078057853049,257.0980500630029,266.06332049717383,266.06332049717383,266.06332049717383
47,48,Tandem Unlimited,"Ryan Stewart
Marsh Zurovec

TC Tabette Stewart
TC Robert Zurovec",8588,0 days 03:23:00,0 days 08:20:00,0 days 12:45:00,0 days 17:54:00,1 days 04:39:00,1 days 11:36:00,1 days 15:04:00,2 days 03:51:00,2 days 12:14:00,2 days 20:46:00,3 days 00:44:00,Tandem Unlimited,['Ryan Stewart\nMarsh Zurovec\n\n'],['Tabette Stewart\nTC Robert Zurovec'],-2.823763907144894e-07,48.410035406322834,94.20426381913187,128.87883417906409,165.84016913465317,195.98957657462992,231.41583703484514,257.1100605336856,266.06332049717383,266.06332049717383,266.06332049717383
48,49,Tandem Unlimited,"Blair  Severson
Anthony Garcia

TC Christopher Garcia
TC Nick Olney",1111,0 days 03:54:00,0 days 09:08:00,0 days 14:31:00,0 days 19:59:00,1 days 06:23:00,1 days 13:17:00,1 days 17:56:00,2 days 04:53:00,2 days 13:04:00,2 days 21:11:00,3 days 00:47:00,Tandem Unlimited,['Blair  Severson\nAnthony Garcia\n\n'],['Christopher Garcia\nTC Nick Olney'],-2.823763907144894e-07,43.94999931734608,87.02550519081659,122.65278419103473,157.21126096535085,191.41867554408,228.26835469096974,256.0176940713382,266.06332049717383,266.06332049717383,266.06332049717383
49,50,Novice,"Peter Vogt
Conor Steward

TC Anahi Villarruel
TC Kayla Weirich",1468,0 days 03:42:00,0 days 08:40:00,0 days 13:32:00,0 days 20:15:00,1 days 08:13:00,1 days 14:53:00,1 days 18:22:00,2 days 05:30:00,2 days 14:29:00,2 days 21:01:00,3 days 01:12:00,Novice,['Peter Vogt\nConor Steward\n\n'],['Anahi Villarruel\nTC Kayla Weirich'],-2.823763907144894e-07,46.27891960890354,86.00875246830662,117.15503522776524,153.52378165239992,189.45103667069364,223.78287725448416,256.12434062904737,266.06332049717383,266.06332049717383,266.06332049717383
50,51,Tandem Unlimited,"William Stafford
John Dupont

TC Shannon Jones
TC Darla Stafford",65,0 days 03:25:00,0 days 08:01:00,0 days 12:31:00,0 days 18:01:00,1 days 03:19:00,1 days 09:17:00,1 days 12:47:00,1 days 22:55:00,2 days 08:08:00,2 days 18:57:00,3 days 01:15:00,Tandem Unlimited,['William Stafford\nJohn Dupont\n\n'],['Shannon Jones\nTC Darla Stafford'],-2.823763907144894e-07,49.71654751801662,94.86797594278217,135.27128940809808,175.26045397081234,211.8386249686422,239.7057578844745,259.3605073131261,266.06332049717383,266.06332049717383,266.06332049717383
51,52,Aluminum,"Alex Roessler
Andrew Parker

TC Levi Wildman
TC Luke Knackstadt",1986,0 days 03:41:00,0 days 08:51:00,0 days 13:35:00,0 days 18:56:00,1 days 07:01:00,1 days 13:29:00,1 days 19:30:00,2 days 06:23:00,2 days 16:22:00,2 days 22:04:00,3 days 01:26:00,Aluminum,['Alex Roessler\nAndrew Parker\n\n'],['Levi Wildman\nTC Luke Knackstadt'],-2.823763907144894e-07,45.639603629499916,90.23695631007533,120.90098678750446,154.89033013338135,186.0445813762437,218.84096030319856,252.8269027043182,266.06332049717383,266.06332049717383,266.06332049717383
52,53,Unlimited,"Mike Smith
Stacy Greer
Rob Nichols
Jake Gibeaux
Hunter Hayes

TC Cindy Gibeaux
TC Trab Seyn",2024,0 days 03:08:00,0 days 07:39:00,0 days 12:09:00,0 days 19:45:00,1 days 05:53:00,1 days 11:57:00,1 days 18:44:00,2 days 04:52:00,2 days 14:15:00,2 days 22:30:00,3 days 01:41:00,Unlimited,['Mike Smith\nStacy Greer\nRob Nichols\nJake Gibeaux\nHunter Hayes\n\n'],['Cindy Gibeaux\nTC Trab Seyn'],-2.823763907144894e-07,51.39614302213454,87.88024736683059,124.49968382483459,157.39059221205636,190.6641730170577,224.90817931712965,251.80958244432145,266.06332049717383,266.06332049717383,266.06332049717383
53,54,Novice Women,"Katie Cunningham
Rachel Friedman

TC Thomas Martin
TC William Martin",125,0 days 03:44:00,0 days 08:41:00,0 days 13:27:00,0 days 19:52:00,1 days 06:46:00,1 days 12:57:00,1 days 17:47:00,2 days 04:49:00,2 days 13:38:00,2 days 21:43:00,3 days 01:47:00,Novice Women,['Katie Cunningham\nRachel Friedman\n\n'],['Thomas Martin\nTC William Martin'],-2.823763907144894e-07,46.32532353767427,87.41936639444285,121.41236654143998,157.8658765027903,191.72820224661447,226.58247471572997,253.9754350816547,266.06332049717383,266.06332049717383,266.06332049717383
54,55,Solo Unlimited Woman,"Samantha Binion

TC Rob Wytaske
TC Josie Wytaske",747,0 days 03:28:00,0 days 08:29:00,0 days 13:00:00,0 days 18:29:00,1 days 04:36:00,1 days 12:14:00,1 days 15:47:00,2 days 03:13:00,2 days 12:26:00,2 days 23:43:00,3 days 04:22:00,Solo Unlimited Woman,['Samantha Binion\n\n'],['Rob Wytaske\nTC Josie Wytaske'],-2.823763907144894e-07,47.553244284853,92.52092982671789,128.6076363008347,163.75659310299588,197.4659159987133,230.826849520128,249.9056595089525,266.06332049717383,266.06332049717383,266.06332049717383
55,56,Solo Unlimited Woman,"Salli O'Donnell

TC Mike Malone",5353,0 days 02:51:00,0 days 06:49:00,0 days 10:27:00,0 days 14:42:00,0 days 22:14:00,1 days 02:45:00,1 days 05:27:00,1 days 13:11:00,1 days 21:25:00,2 days 02:03:00,3 days 05:14:00,Solo Unlimited Woman,"[""Salli O'Donnell\n\n""]",['Mike Malone'],-2.823763907144894e-07,58.6916671134157,113.03394433706728,165.76728640761615,212.0709370418714,252.8457169240155,257.8260963980324,262.60591695846267,266.06332049717383,266.06332049717383,266.06332049717383
56,57,Solo Unlimited Man,"John D Chapman

TC Joshua Sarkardehi
TC Sam Evans",12,0 days 03:25:00,0 days 08:22:00,0 days 12:56:00,0 days 18:25:00,1 days 06:03:00,1 days 12:45:00,1 days 15:53:00,2 days 04:07:00,2 days 13:42:00,3 days 00:58:00,3 days 05:23:00,Solo Unlimited Man,['John D Chapman\n\n'],['Joshua Sarkardehi\nTC Sam Evans'],-2.823763907144894e-07,48.00407340250422,92.00907075526449,123.85924567809562,163.3937815895406,194.89868009970706,226.8239212871944,247.59331079691987,266.06332049717383,266.06332049717383,266.06332049717383
57,58,Standard,"Jeff Larsen
Mirko Pruefer

TC Keith Stone
TC Ron Popp",101,0 days 03:40:00,0 days 09:00:00,0 days 14:24:00,0 days 20:18:00,1 days 08:07:00,1 days 16:25:00,1 days 20:45:00,2 days 07:42:00,2 days 18:00:00,3 days 01:21:00,3 days 05:42:00,Standard,['Jeff Larsen\nMirko Pruefer\n\n'],['Keith Stone\nTC Ron Popp'],-2.823763907144894e-07,44.44872525510133,85.65825625199803,117.38147115024317,147.78412335026428,181.50478249336436,214.38505013134076,243.59000484231143,266.06332049717383,266.06332049717383,266.06332049717383
58,59,Unlimited,"Wack  Ezell
Avery Ezell
Bobby Sollock
Stuart Hines

TC Lee Ezell
TC Joey Zavesky",2727,0 days 04:06:00,0 days 09:43:00,0 days 14:59:00,0 days 21:17:00,1 days 08:53:00,1 days 15:11:00,1 days 22:38:00,2 days 08:48:00,2 days 18:42:00,3 days 01:17:00,3 days 06:06:00,Unlimited,['Wack  Ezell\nAvery Ezell\nBobby Sollock\nStuart Hines\n\n'],['Lee Ezell\nTC Joey Zavesky'],-2.823763907144894e-07,41.74040166460048,81.7265725580713,114.80864017667636,150.57337451777704,175.7889793372645,211.4914777361604,242.69661567833472,266.06332049717383,266.06332049717383,266.06332049717383
59,60,Unlimited,"Chris Kelter
Gabe Webber
Woody Green - out at Hochheim
Paul Alvarez - out at Hochheim

TC Joe Godin
TC Patrick Jacobsen",993,0 days 03:36:00,0 days 09:18:00,0 days 14:41:00,0 days 21:23:00,1 days 09:33:00,1 days 15:51:00,1 days 20:56:00,2 days 08:43:00,2 days 18:57:00,3 days 02:00:00,3 days 06:18:00,Unlimited,['Chris Kelter\nGabe Webber\nWoody Green - out at Hochheim\nPaul Alvarez - out at Hochheim\n\n'],['Joe Godin\nTC Patrick Jacobsen'],-2.823763907144894e-07,43.3118192074223,81.65547956167494,113.2073255333559,149.45293603970381,179.5983060856219,211.41823782299647,241.26888348771325,266.06332049717383,266.06332049717383,266.06332049717383
60,61,Unlimited,"Cody Hardin
Cody Fowler
Chris Withers 

TC Edwardo Geyer
TC Morgan Tiner",4,0 days 03:48:00,0 days 09:21:00,0 days 14:46:00,0 days 21:59:00,1 days 09:49:00,1 days 16:54:00,1 days 22:21:00,2 days 10:33:00,2 days 19:37:00,3 days 01:41:00,3 days 06:22:00,Unlimited,['Cody Hardin\nCody Fowler\nChris Withers \n\n'],['Edwardo Geyer\nTC Morgan Tiner'],-2.823763907144894e-07,43.105048851807,79.89718393186376,112.06780251511546,145.8610020911382,174.55693121601857,206.47746845276998,240.44173939928805,266.06332049717383,266.06332049717383,266.06332049717383
61,62,Aluminum,"Daniel Lee
Joanna Lehrmann

TC Ashley Lee
TC M'Lynn Johnson",806,0 days 03:39:00,0 days 08:35:00,0 days 13:10:00,0 days 19:12:00,1 days 07:06:00,1 days 13:56:00,1 days 18:28:00,2 days 05:40:00,2 days 16:14:00,3 days 01:27:00,3 days 06:34:00,Aluminum,['Daniel Lee\nJoanna Lehrmann\n\n'],"[""Ashley Lee\nTC M'Lynn Johnson""]",-2.823763907144894e-07,47.00282089772692,89.45704203350655,120.59348754630224,155.41620061274023,188.94963011714248,219.96975494081119,245.28436360157764,266.06332049717383,266.06332049717383,266.06332049717383
62,63,Novice,"Juan Castro
Seiji Williams

TC Cameron Coday
TC Juan Casto Sr",70,0 days 04:06:00,0 days 09:31:00,0 days 15:15:00,0 days 23:19:00,1 days 10:14:00,1 days 19:12:00,1 days 23:02:00,2 days 10:29:00,2 days 19:37:00,3 days 01:52:00,3 days 06:39:00,Novice,['Juan Castro\nSeiji Williams\n\n'],['Cameron Coday\nTC Juan Casto Sr'],-2.823763907144894e-07,42.36920492296802,76.3905731421848,109.65009652111033,140.11054376473544,173.01210022907208,206.6657380170201,240.20204674039,266.06332049717383,266.06332049717383,266.06332049717383
63,64,Solo Unlimited Man,"BJ Dobbs

TC Crystal Dobbs
TC Marcuss Niswonger",6988,0 days 03:54:00,0 days 09:00:00,0 days 14:46:00,0 days 20:19:00,1 days 08:18:00,1 days 15:15:00,1 days 22:53:00,2 days 08:50:00,2 days 21:13:00,3 days 02:44:00,3 days 06:47:00,Solo Unlimited Man,['BJ Dobbs\n\n'],['Crystal Dobbs\nTC Marcuss Niswonger'],-2.823763907144894e-07,44.206009141789494,85.49853637498185,116.90691507550349,150.41440400050942,175.09852862704602,209.4186362548776,235.22384129495262,266.06332049717383,266.06332049717383,266.06332049717383
64,65,Unlimited,"Cliff De La Cerda
Daniela De La Cerda
Dennis Hall II

TC Kyla Casares
TC Adam Casares",13,0 days 03:52:00,0 days 09:30:00,0 days 15:10:00,0 days 23:12:00,1 days 10:35:00,1 days 18:07:00,2 days 00:44:00,2 days 10:43:00,2 days 20:36:00,3 days 02:36:00,3 days 07:10:00,Unlimited,['Cliff De La Cerda\nDaniela De La Cerda\nDennis Hall II\n\n'],['Kyla Casares\nTC Adam Casares'],-2.823763907144894e-07,42.4502760590252,76.7202391508421,109.09989948966088,142.00979057684583,167.91623350673035,205.55397074345197,237.1236798649555,266.06332049717383,266.06332049717383,266.06332049717383
65,66,Tandem Unlimited,"Roger Barrett
Dakota Barrett

TC Jennifer Barrett
TC Cheyenne Barrett",7402,0 days 03:41:00,0 days 08:49:00,0 days 13:27:00,0 days 20:38:00,1 days 07:12:00,1 days 16:58:00,1 days 21:12:00,2 days 07:00:00,2 days 18:19:00,3 days 02:07:00,3 days 08:10:00,Tandem Unlimited,['Roger Barrett\nDakota Barrett\n\n'],['Jennifer Barrett\nTC Cheyenne Barrett'],-2.823763907144894e-07,45.89598953023237,84.69834228191284,119.81065640833069,146.563680415268,181.90344526185712,215.1326875566268,242.09251528701566,265.70538260304795,266.06332049717383,266.06332049717383
66,67,Solo Unlimited Man,"Justin Brzozowske

TC Carole Brzozowske
TC Brett Bolting",1966,0 days 03:38:00,0 days 08:51:00,0 days 14:38:00,0 days 20:15:00,1 days 08:41:00,1 days 15:50:00,1 days 20:13:00,2 days 07:00:00,2 days 18:10:00,3 days 01:51:00,3 days 08:15:00,Solo Unlimited Man,['Justin Brzozowske\n\n'],['Carole Brzozowske\nTC Brett Bolting'],-2.823763907144894e-07,44.73034462178602,85.82125490452137,116.0219394537868,149.57202138521785,183.69658672964835,215.314910296105,242.64772743754096,265.5557757488625,266.06332049717383,266.06332049717383
67,68,Unlimited,"Spencer Fuller
Janae Fuller - out at Fentress
Kate Fuller

TC Hunter Harrison",514,0 days 03:47:00,0 days 09:21:00,0 days 14:49:00,0 days 20:20:00,1 days 08:29:00,1 days 17:22:00,1 days 21:28:00,2 days 09:41:00,2 days 18:57:00,3 days 02:45:00,3 days 08:27:00,Unlimited,['Spencer Fuller\nJanae Fuller - out at Fentress\nKate Fuller\n\n'],['Hunter Harrison'],-2.823763907144894e-07,43.08242458864177,85.4119604652199,116.44537837181292,145.19073652620196,177.32792971028195,209.24301240202828,240.4036445711097,265.0375458479552,266.06332049717383,266.06332049717383
68,69,Solo Unlimited Man,"John Knippers

TC Colton Moore
TC Felicity Mayden",1928,0 days 03:52:00,0 days 09:28:00,0 days 17:32:00,1 days 00:55:00,1 days 11:38:00,1 days 18:27:00,2 days 01:23:00,2 days 11:32:00,2 days 23:04:00,3 days 05:08:00,3 days 09:57:00,Solo Unlimited Man,['John Knippers\n\n'],['Colton Moore\nTC Felicity Mayden'],-2.823763907144894e-07,41.99432010445569,69.83784964670478,104.54151192727169,140.04709165155717,165.36779541381608,202.8095422263324,229.43079812576363,260.80311970083466,266.06332049717383,266.06332049717383
69,70,Solo Unlimited Man,"Tony Kusbel

TC Marisol Kusbel",1982,0 days 04:02:00,0 days 09:19:00,0 days 14:13:00,0 days 20:11:00,1 days 11:27:00,1 days 19:45:00,2 days 01:27:00,2 days 16:07:00,3 days 00:10:00,3 days 05:34:00,3 days 10:03:00,Solo Unlimited Man,['Tony Kusbel\n\n'],['Marisol Kusbel'],-2.823763907144894e-07,43.506095125239234,86.17580262975042,110.79128580773795,137.73523252677398,164.47151165940923,190.74946109857078,224.0066024102715,260.12221676675506,266.06332049717383,266.06332049717383
70,71,Novice,"Travis Ballew
Wesley Ballew

TC Janet Thrower",1096,0 days 03:50:00,0 days 09:10:00,0 days 14:04:00,0 days 21:53:00,1 days 08:52:00,1 days 18:36:00,1 days 22:03:00,2 days 09:59:00,2 days 20:59:00,3 days 04:27:00,3 days 10:12:00,Novice,['Travis Ballew\nWesley Ballew\n\n'],['Janet Thrower'],-2.823763907144894e-07,44.13711198903121,80.76884833518892,114.34777171574615,142.35634574519275,175.78350827412763,207.19613361509423,235.10251113741901,261.09203002327945,266.06332049717383,266.06332049717383
71,72,Tandem Unlimited,"Lee Lichlyter
Bruce Beall

TC RoxAnne Lichlyter
TC Jennifer Beall",6,0 days 03:33:00,0 days 08:27:00,0 days 13:27:00,0 days 19:23:00,1 days 06:16:00,1 days 12:50:00,1 days 18:23:00,2 days 05:48:00,2 days 19:05:00,3 days 02:07:00,3 days 10:33:00,Tandem Unlimited,['Lee Lichlyter\nBruce Beall\n\n'],['RoxAnne Lichlyter\nTC Jennifer Beall'],-2.823763907144894e-07,47.02156018640923,89.06557156235792,123.11062837114218,157.02022884746606,188.73897418831666,215.89793668890763,240.8958983579733,262.1345630462139,266.06332049717383,266.06332049717383
72,73,Unlimited,"Joe Hunt
Joe Roppolo
John Wooldridge
James Hunt

TC Patty Hunt
TC Alyssa Wooldridge",1775,0 days 04:06:00,0 days 10:15:00,0 days 15:20:00,0 days 22:32:00,1 days 10:08:00,1 days 18:08:00,1 days 23:32:00,2 days 10:36:00,2 days 20:29:00,3 days 02:49:00,3 days 11:33:00,Unlimited,['Joe Hunt\nJoe Roppolo\nJohn Wooldridge\nJames Hunt\n\n'],['Patty Hunt\nTC Alyssa Wooldridge'],-2.823763907144894e-07,39.66966030226736,77.9159879512265,110.81592787492778,142.367771196403,171.61668662639087,205.9164029063998,237.25139778890076,260.7817556048229,266.06332049717383,266.06332049717383
73,74,Tandem Unlimited,"Cody Smith
Scout Smith

TC Josh Hernandez
TC Jessica Smith",1340,0 days 03:39:00,0 days 08:41:00,0 days 14:23:00,1 days 00:17:00,1 days 13:59:00,1 days 23:33:00,2 days 03:17:00,2 days 18:21:00,3 days 02:00:00,3 days 07:23:00,3 days 11:34:00,Tandem Unlimited,['Cody Smith\nScout Smith\n\n'],['Josh Hernandez\nTC Jessica Smith'],-2.823763907144894e-07,45.392995454784845,75.83748725658388,102.42715189729775,129.29311382833586,158.21854046814275,185.32372342602176,216.21644748496536,254.98549918582458,266.06332049717383,266.06332049717383
74,75,USCA C-2,"David Hester
Trent Hester

TC Amy Hester
TC Kim Hester",4508,0 days 03:26:00,0 days 08:31:00,0 days 14:18:00,0 days 22:10:00,1 days 08:44:00,1 days 19:11:00,2 days 00:14:00,2 days 13:27:00,3 days 00:17:00,3 days 06:00:00,3 days 11:49:00,USCA C-2,['David Hester\nTrent Hester\n\n'],['Amy Hester\nTC Kim Hester'],-2.823763907144894e-07,45.91842632498706,79.88182979818987,114.43397177940187,141.41798273072249,168.1779838427038,197.3388861207141,225.79911274403713,257.537732151901,266.06332049717383,266.06332049717383
75,76,Aluminum,"Alex Daresh
Dalton Reynolds

TC Daniella Norman
TC Darryll Daresh",8004,0 days 04:02:00,0 days 09:35:00,0 days 14:58:00,0 days 21:37:00,1 days 11:16:00,1 days 21:40:00,2 days 02:26:00,2 days 13:49:00,2 days 23:36:00,3 days 06:44:00,3 days 11:56:00,Aluminum,['Alex Daresh\nDalton Reynolds\n\n'],['Daniella Norman\nTC Darryll Daresh'],-2.823763907144894e-07,42.226913020551876,80.71304300568681,109.72234396341588,135.40659532633057,161.7547708277958,195.41645826336241,227.2490947462032,256.2351719350021,266.06332049717383,266.06332049717383
76,77,Novice,"Kevin Koepp
Justin Moorhead

TC Kristi Koepp
TC Alyssa Moorhead",8008,0 days 03:30:00,0 days 08:45:00,0 days 14:05:00,0 days 22:49:00,1 days 11:36:00,1 days 21:38:00,2 days 01:37:00,2 days 16:09:00,3 days 01:15:00,3 days 08:00:00,3 days 12:24:00,Novice,['Kevin Koepp\nJustin Moorhead\n\n'],['Kristi Koepp\nTC Alyssa Moorhead'],-2.823763907144894e-07,45.46268560914979,78.67046915916572,107.78694978108496,134.991484711729,164.0427873161128,190.5618188602208,221.30497668217535,253.07017494040437,266.06332049717383,266.06332049717383
77,78,Tandem Unlimited,"Clint Simmons
Kenney Howitt

TC Rachel Simmons
TC Jennifer Howitt",727,0 days 03:38:00,0 days 08:31:00,0 days 14:12:00,0 days 19:15:00,1 days 08:16:00,1 days 17:43:00,1 days 21:55:00,2 days 13:11:00,3 days 01:31:00,3 days 07:31:00,3 days 12:27:00,Tandem Unlimited,['Clint Simmons\nKenney Howitt\n\n'],['Rachel Simmons\nTC Jennifer Howitt'],-2.823763907144894e-07,46.011452077114534,89.10102608161247,117.56635527000701,144.49483958944296,173.33467767730633,198.57986927824757,223.51584286227109,254.34315203887164,266.06332049717383,266.06332049717383
78,79,Unlimited,"Nick Shock
Leif Shock
Tim Wilson

TC Jada Shock
TC Millie Wilson",7001,0 days 04:01:00,0 days 09:25:00,0 days 14:38:00,0 days 20:51:00,1 days 08:48:00,1 days 17:39:00,2 days 00:59:00,2 days 12:20:00,2 days 21:53:00,3 days 07:52:00,3 days 12:30:00,Unlimited,['Nick Shock\nLeif Shock\nTim Wilson\n\n'],['Jada Shock\nTC Millie Wilson'],-2.823763907144894e-07,42.93645512359812,83.4492530656563,115.33676965324238,144.3751648785328,166.47850130245357,200.43532289784588,232.51346792581688,253.44407840966392,266.06332049717383,266.06332049717383
79,80,Tandem Unlimited,"Benjamin  Peck
Brandon Smith

TC Pat Egan
TC Scott Henize",3141,0 days 03:46:00,0 days 09:02:00,0 days 14:25:00,0 days 22:15:00,1 days 10:06:00,1 days 21:07:00,2 days 02:55:00,2 days 17:50:00,3 days 02:36:00,3 days 08:41:00,3 days 13:07:00,Tandem Unlimited,['Benjamin  Peck\nBrandon Smith\n\n'],['Pat Egan\nTC Scott Henize'],-2.823763907144894e-07,44.332907383300345,79.57805144995667,111.19868915550046,137.4189433080407,160.8157950277898,186.49532043843388,216.15998396814095,250.73376172506164,266.06332049717383,266.06332049717383
80,81,Solo Unlimited Man,"Keith Campros

TC Bonnie Blackburn
TC Cameron Fanning",1337,0 days 03:53:00,0 days 09:09:00,0 days 14:18:00,0 days 20:15:00,1 days 07:35:00,1 days 16:25:00,1 days 20:34:00,2 days 09:24:00,2 days 20:59:00,3 days 04:12:00,3 days 13:15:00,Solo Unlimited Man,['Keith Campros\n\n'],['Bonnie Blackburn\nTC Cameron Fanning'],-2.823763907144894e-07,44.033644283209874,85.88539336323069,118.84206248620748,147.85996403572457,179.343579711049,208.45886639192585,235.20062126613897,258.52586036755616,266.06332049717383,266.06332049717383
81,82,USCA C-2,"Ryan Tedrow
Marcus Monroe

TC Mandy Tedrow
TC Teressa Monroe",8181,0 days 03:49:00,0 days 09:10:00,0 days 14:48:00,0 days 21:22:00,1 days 09:25:00,1 days 22:57:00,2 days 02:53:00,2 days 13:47:00,3 days 02:34:00,3 days 09:10:00,3 days 13:18:00,USCA C-2,['Ryan Tedrow\nMarcus Monroe\n\n'],['Mandy Tedrow\nTC Teressa Monroe'],-2.823763907144894e-07,43.68075528280427,81.6129320272834,113.51263779358597,136.190401194882,159.88530301625573,195.26158056164883,221.30211738046143,249.3934468268292,266.06332049717383,266.06332049717383
82,83,Novice,"Parker Carnes
Nick Chudzinski

TC Mitch Carnes
TC Ana Chudzinski",248,0 days 04:02:00,0 days 09:28:00,0 days 14:26:00,0 days 21:12:00,1 days 09:09:00,1 days 18:35:00,1 days 23:32:00,2 days 12:00:00,3 days 00:47:00,3 days 08:24:00,3 days 13:30:00,Novice,['Parker Carnes\nNick Chudzinski\n\n'],['Mitch Carnes\nTC Ana Chudzinski'],-2.823763907144894e-07,42.844962616941146,82.40468767591499,114.25155379080896,142.1879919234725,170.6519823167179,201.5672169510256,225.5853513479049,251.97784533767168,266.06332049717383,266.06332049717383
83,84,Novice,"Thomas Fisher
John Chaney

TC Avery Williams
TC Brook Madry",369,0 days 04:01:00,0 days 09:18:00,0 days 14:47:00,1 days 00:40:00,1 days 12:19:00,1 days 21:10:00,2 days 02:05:00,2 days 14:14:00,3 days 00:59:00,3 days 08:27:00,3 days 13:31:00,Novice,['Thomas Fisher\nJohn Chaney\n\n'],['Avery Williams\nTC Brook Madry'],-2.823763907144894e-07,43.26293732666218,74.82109282260656,103.92858483493296,134.4324403027257,162.78917376674593,194.4828644181817,223.74967078152017,251.8166170006612,266.06332049717383,266.06332049717383
84,85,USCA C-2,"Seth Hensarling
Trevor Bohl

TC Katie Hensarling
TC Joanne Mae",33,0 days 03:50:00,0 days 09:11:00,0 days 14:31:00,0 days 22:16:00,1 days 09:49:00,1 days 17:59:00,1 days 22:53:00,2 days 11:02:00,3 days 00:42:00,3 days 08:50:00,3 days 13:33:00,USCA C-2,['Seth Hensarling\nTrevor Bohl\n\n'],['Katie Hensarling\nTC Joanne Mae'],-2.823763907144894e-07,43.78786168316857,79.4432948460667,111.77463974651647,142.96352686665278,172.9125970047465,203.7389054200898,226.20464820351225,250.9390503312478,266.06332049717383,266.06332049717383
85,86,Novice,"Russell Peterson
Patrick Edwards

TC Nina Martinez
TC Rosie Zander",500,0 days 04:05:00,0 days 09:56:00,0 days 15:35:00,1 days 00:42:00,1 days 12:39:00,1 days 23:01:00,2 days 02:29:00,2 days 13:51:00,3 days 00:42:00,3 days 08:50:00,3 days 13:53:00,Novice,['Russell Peterson\nPatrick Edwards\n\n'],['Nina Martinez\nTC Rosie Zander'],-2.823763907144894e-07,40.87468655164848,73.705709940693,103.39939516647473,132.10429939555326,161.07625471730057,195.29441611716123,224.62997563330092,250.9390503312478,266.06332049717383,266.06332049717383
