,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cheapside,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Calhouns RV,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
10,11,USCA C-2,"Joshua Hulin
Susannah Hulin

TC Stephen Nelson
TC Pricilla Hulin",56,0 days 02:55:00,0 days 07:14:00,0 days 10:55:00,0 days 15:27:00,0 days 23:22:00,1 days 04:11:00,1 days 06:59:00,1 days 13:23:00,1 days 21:22:00,2 days 01:35:00,2 days 04:53:00,USCA C-2,['Joshua Hulin\nSusannah Hulin\n\n'],['Stephen Nelson\nTC Pricilla Hulin'],-2.823763907144894e-07,56.11469402804705,108.26148861088697,158.11447804450395,211.63068155067003,254.71072362181465,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
11,12,Unlimited,"Kim Kaiser
Garrett Jones
Kileigh Reed

TC Peter Olden
TC Amelia Kaiser",521,0 days 03:18:00,0 days 07:43:00,0 days 11:36:00,0 days 16:10:00,1 days 00:24:00,1 days 05:16:00,1 days 08:03:00,1 days 16:28:00,1 days 23:26:00,2 days 04:08:00,2 days 07:21:00,Unlimited,['Kim Kaiser\nGarrett Jones\nKileigh Reed\n\n'],['Peter Olden\nTC Amelia Kaiser'],-2.823763907144894e-07,52.75168079047941,104.21722990837799,152.72516613092756,199.43029063359677,243.6291417782515,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
12,13,Solo Unlimited Woman,"Courtney Martinez

TC Ryan Henk
TC Mia Mata",4447,0 days 03:04:00,0 days 07:21:00,0 days 11:09:00,0 days 15:45:00,0 days 23:54:00,1 days 04:48:00,1 days 07:40:00,1 days 16:12:00,1 days 23:19:00,2 days 04:00:00,2 days 07:43:00,Solo Unlimited Woman,['Courtney Martinez\n\n'],['Ryan Henk\nTC Mia Mata'],-2.823763907144894e-07,55.00646972177556,106.2879145128466,154.89483505824674,200.66391243905443,244.18770824202656,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
13,14,Aluminum,"Jackson Swilley
Parker Carpenter

TC Kris Murphy
TC Becky Carpenter",306,0 days 03:13:00,0 days 07:47:00,0 days 11:44:00,0 days 16:30:00,1 days 00:26:00,1 days 05:19:00,1 days 08:15:00,1 days 16:30:00,1 days 23:14:00,2 days 03:58:00,2 days 07:47:00,Aluminum,['Jackson Swilley\nParker Carpenter\n\n'],['Kris Murphy\nTC Becky Carpenter'],-2.823763907144894e-07,52.19921774245789,103.31276028670064,152.2983345851281,199.23139922310014,244.42801441268102,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
14,15,Aluminum,"Luke Parker
Libby Geisinger

TC Mary McStay
TC Patrick Jenison",555,0 days 03:02:00,0 days 07:27:00,0 days 11:28:00,0 days 16:25:00,1 days 00:32:00,1 days 05:18:00,1 days 08:05:00,1 days 16:28:00,1 days 23:26:00,2 days 03:58:00,2 days 08:43:00,Aluminum,['Luke Parker\nLibby Geisinger\n\n'],['Mary McStay\nTC Patrick Jenison'],-2.823763907144894e-07,53.71786226952801,103.32394894781919,152.55766924784905,199.42179390867656,244.04674262469322,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
15,16,Solo Unlimited Man,"Chris Champion

TC AJ Champion
TC Mike Tecci",80,0 days 02:52:00,0 days 07:06:00,0 days 10:56:00,0 days 15:34:00,0 days 23:24:00,1 days 04:17:00,1 days 07:03:00,1 days 15:38:00,1 days 23:14:00,2 days 05:35:00,2 days 10:11:00,Solo Unlimited Man,['Chris Champion\n\n'],['AJ Champion\nTC Mike Tecci'],-2.823763907144894e-07,56.225809936149496,107.93619120656874,157.71828857619238,203.04851080999103,241.33276843160087,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
16,17,Solo Unlimited Man,"Curt Slaten

TC Mike Drost
TC Kate Slaten",11,0 days 03:01:00,0 days 07:20:00,0 days 11:10:00,0 days 16:16:00,1 days 00:15:00,1 days 05:19:00,1 days 08:22:00,1 days 17:27:00,2 days 01:18:00,2 days 06:04:00,2 days 10:38:00,Solo Unlimited Man,['Curt Slaten\n\n'],['Mike Drost\nTC Kate Slaten'],-2.823763907144894e-07,54.97109234611674,104.29333080979148,152.17370781368822,195.41480163279255,235.32491134169874,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
17,18,Mixed Tandem Unlimited,"Adam Sims
Brandi Sims

TC Jason Smith
TC Rhett Reeves",2423,0 days 02:58:00,0 days 07:20:00,0 days 11:10:00,0 days 15:37:00,1 days 00:10:00,1 days 05:06:00,1 days 07:54:00,1 days 16:43:00,1 days 23:51:00,2 days 05:18:00,2 days 10:48:00,Mixed Tandem Unlimited,['Adam Sims\nBrandi Sims\n\n'],['Jason Smith\nTC Rhett Reeves'],-2.823763907144894e-07,54.97109234611674,105.9617859483107,153.53573140439673,198.4343952535528,240.47581504834665,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
18,19,USCA C-2,"John Bugge
Mike De Abreu

TC Jennifer Bugge
TC Johnny Martinez",147,0 days 03:11:00,0 days 07:30:00,0 days 11:24:00,0 days 15:59:00,1 days 00:08:00,1 days 04:52:00,1 days 07:41:00,1 days 15:58:00,2 days 01:04:00,2 days 06:59:00,2 days 10:53:00,USCA C-2,['John Bugge\nMike De Abreu\n\n'],['Jennifer Bugge\nTC Johnny Martinez'],-2.823763907144894e-07,53.845063739677094,105.22711045917957,154.66773353231136,201.67968281843957,235.55149020962958,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
19,20,Standard,"Heather Harrison
Wendell Smith

TC Mark Miller
TC Aaron Timmins",333,0 days 03:16:00,0 days 07:46:00,0 days 11:47:00,0 days 16:41:00,1 days 01:08:00,1 days 06:26:00,1 days 09:17:00,1 days 18:04:00,2 days 01:52:00,2 days 07:22:00,2 days 11:38:00,Standard,['Heather Harrison\nWendell Smith\n\n'],['Mark Miller\nTC Aaron Timmins'],-2.823763907144894e-07,52.09275383193372,101.50936438436682,146.99443221290886,192.49874812496202,232.77463575346945,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
