,,,,,,,,,,2012 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
8,4th Unlimited,247,"Scott Johnson 
Darryl Jiral 
Karim Aziz 
Bobby Smart 
Mike Rendon 
TC - Landen Jiral",9:00, ,11:27:00, ,14:46:00, ,17:58:00, ,21:55:00, ,3:35:00, ,7:37:00, ,9:44:00, ,16:10:00, ,21:27:00, ,1:30:00, ,7:28:00,,,,,
,,,,,7,2:27:00,5,3:19:00,5,3:12:00,6,3:57:00,7,5:40:00,12,4:02:00,6,2:07:00,7,6:26:00,8,5:17:00,19,4:03:00,35,5:58:00,,,,,
,,,,,7,2:27:00,5,5:46:00,5,8:58:00,5,12:55:00,5,18:35:00,5,22:37:00,5,24:44:00,5,31:10:00,8,36:27:00,8,40:30:00,8,46:28:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1st Mens Solo,70,"Kyle Mynar 
TC - Joe Mynar",9:00, ,11:40:00, ,15:17:00, ,18:32:00, ,22:41:00, ,4:44:00, ,8:36:00, ,10:45:00, ,17:51:00, ,23:54:00, ,3:36:00, ,7:32:00,,,,,
,,,,,12,2:40:00,12,3:37:00,7,3:15:00,11,4:09:00,11,6:03:00,7,3:52:00,10,2:09:00,11,7:06:00,14,6:03:00,11,3:42:00,9,3:56:00,,,,,
,,,,,12,2:40:00,11,6:17:00,11,9:32:00,11,13:41:00,11,19:44:00,11,23:36:00,10,25:45:00,10,32:51:00,10,38:54:00,10,42:36:00,9,46:32:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1st USCA C2,130,"Bob Viincent 
John Bugge 
TC - Dawn Bugge",9:00, ,11:44:00, ,15:23:00, ,18:53:00, ,23:20:00, ,5:55:00, ,10:06:00, ,12:30:00, ,19:25:00, ,1:42:00, ,5:34:00, ,9:12:00,,,,,
,,,,,15,2:44:00,13,3:39:00,12,3:30:00,14,4:27:00,16,6:35:00,13,4:11:00,13,2:24:00,10,6:55:00,16,6:17:00,15,3:52:00,4,3:38:00,,,,,
,,,,,15,2:44:00,14,6:23:00,13,9:53:00,13,14:20:00,12,20:55:00,12,25:06:00,12,27:30:00,12,34:25:00,12,40:42:00,12,44:34:00,10,48:12:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2nd Mens Solo,1845,"Andrew Condie 
TC - Jay Condie",9:00, ,11:34:00, ,15:01:00, ,18:27:00, ,22:34:00, ,4:36:00, ,8:32:00, ,10:47:00, ,18:19:00, ,0:40:00, ,4:37:00, ,9:15:00,,,,,
,,,,,9,2:34:00,10,3:27:00,11,3:26:00,10,4:07:00,10,6:02:00,9,3:56:00,11,2:15:00,17,7:32:00,19,6:21:00,18,3:57:00,21,4:38:00,,,,,
,,,,,9,2:34:00,9,6:01:00,9,9:27:00,10,13:34:00,10,19:36:00,10,23:32:00,11,25:47:00,11,33:19:00,11,39:40:00,11,43:37:00,11,48:15:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3rd Mixed,1,"Wade Binion 
Sam Binion 
TC - Sandy Sherrod",9:00, ,11:47:00, ,15:29:00, ,19:04:00, ,23:36:00, ,6:05:00, ,10:30:00, ,13:08:00, ,20:38:00, ,2:17:00, ,5:50:00, ,9:32:00,,,,,
,,,,,18,2:47:00,17,3:42:00,16,3:35:00,16,4:32:00,14,6:29:00,19,4:25:00,17,2:38:00,16,7:30:00,13,5:39:00,5,3:33:00,6,3:42:00,,,,,
,,,,,18,2:47:00,16,6:29:00,16,10:04:00,14,14:36:00,15,21:05:00,15,25:30:00,15,28:08:00,14,35:38:00,14,41:17:00,13,44:50:00,12,48:32:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1st USCA C1,330,"Dodd Yeager 
TC - Coleman Yeager",9:00, ,11:42:00, ,15:22:00, ,18:57:00, ,23:38:00, ,6:24:00, ,10:51:00, ,13:29:00, ,20:48:00, ,2:26:00, ,6:09:00, ,9:37:00,,,,,
,,,,,13,2:42:00,16,3:40:00,14,3:35:00,23,4:41:00,24,6:46:00,21,4:27:00,18,2:38:00,13,7:19:00,11,5:38:00,12,3:43:00,1,3:28:00,,,,,
,,,,,13,2:42:00,13,6:22:00,14,9:57:00,16,14:38:00,17,21:24:00,17,25:51:00,17,28:29:00,16,35:48:00,15,41:26:00,14,45:09:00,13,48:37:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1st Standard,1901,"Wally Werderich 
West Hansen 
TC - John Erskine",9:00, ,11:51:00, ,15:39:00, ,19:15:00, ,23:36:00, ,6:01:00, ,10:20:00, ,12:59:00, ,20:38:00, ,2:16:00, ,6:20:00, ,10:02:00,,,,,
,,,,,19,2:51:00,23,3:48:00,18,3:36:00,12,4:21:00,13,6:25:00,16,4:19:00,19,2:39:00,18,7:39:00,12,5:38:00,20,4:04:00,7,3:42:00,,,,,
,,,,,19,2:51:00,21,6:39:00,18,10:15:00,14,14:36:00,14,21:01:00,14,25:20:00,13,27:59:00,14,35:38:00,13,41:16:00,16,45:20:00,14,49:02:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1st Womens ,5585,"Morgan Kohut 
Virginia Parker 
TC - Marilyn Kohut",9:00, ,11:52:00, ,15:31:00, ,19:08:00, ,23:45:00, ,6:27:00, ,11:05:00, ,13:34:00, ,20:49:00, ,2:26:00, ,6:09:00, ,10:05:00,,,,,
,,,,,22,2:52:00,15,3:39:00,19,3:37:00,19,4:37:00,22,6:42:00,27,4:38:00,15,2:29:00,12,7:15:00,10,5:37:00,12,3:43:00,10,3:56:00,,,,,
,,,,,22,2:52:00,19,6:31:00,17,10:08:00,19,14:45:00,18,21:27:00,19,26:05:00,19,28:34:00,17,35:49:00,16,41:26:00,15,45:09:00,15,49:05:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2nd USCA C1,29,"Max Feaster 
TC - Peter Derrick",9:00, ,11:42:00, ,15:24:00, ,18:59:00, ,23:43:00, ,6:42:00, ,11:17:00, ,13:52:00, ,21:12:00, ,3:32:00, ,7:14:00, ,11:28:00,,,,,
,,,,,13,2:42:00,18,3:42:00,16,3:35:00,26,4:44:00,28,6:59:00,26,4:35:00,16,2:35:00,14,7:20:00,18,6:20:00,10,3:42:00,13,4:14:00,,,,,
,,,,,13,2:42:00,15,6:24:00,15,9:59:00,18,14:43:00,20,21:42:00,20,26:17:00,20,28:52:00,18,36:12:00,18,42:32:00,18,46:14:00,16,50:28:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3rd Tandem Unl,3256,"Jonathan Redfern 
Joey Heger 
TC - Kaitlin Jiral",9:00, ,11:51:00, ,15:37:00, ,19:15:00, ,23:38:00, ,6:17:00, ,10:44:00, ,13:12:00, ,20:35:00, ,2:51:00, ,7:11:00, ,11:35:00,,,,,
,,,,,19,2:51:00,21,3:46:00,20,3:38:00,13,4:23:00,18,6:39:00,20,4:27:00,14,2:28:00,15,7:23:00,15,6:16:00,24,4:20:00,16,4:24:00,,,,,
,,,,,19,2:51:00,20,6:37:00,18,10:15:00,16,14:38:00,16,21:17:00,16,25:44:00,16,28:12:00,13,35:35:00,17,41:51:00,17,46:11:00,17,50:35:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5th Unlimited,43,"Jay Daniel 
Michael Vandeveer 
Shawn Boyett 
Chris Paddack 
Chris Stevenson 
Tim Curry 
TC - Kristin Daniel",9:00, ,11:31:00, ,15:07:00, ,18:29:00, ,22:26:00, ,3:59:00, ,7:49:00, ,9:53:00, ,16:33:00, ,21:59:00, ,1:38:00, ,12:49:00,,,,,
