,,,,,,,,,,2012 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
,,,,,46,3:10:00,43,7:16:00,46,11:38:00,46,17:08:00,40,25:03:00,40,30:44:00,40,34:13:00,39,45:36:00,40,52:50:00,37,57:43:00,35,63:50:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4th USCA C1,11,"Travis Crow 
TC - Richard Crow",9:00, ,12:12:00, ,16:18:00, ,20:28:00, ,1:45:00, ,10:06:00, ,15:53:00, ,19:16:00, ,6:34:00, ,13:48:00, ,18:43:00, ,0:55:00,,,,,
,,,,,49,3:12:00,43,4:06:00,45,4:10:00,39,5:17:00,52,8:21:00,49,5:47:00,54,3:23:00,57,11:18:00,33,7:14:00,36,4:55:00,43,6:12:00,,,,,
,,,,,49,3:12:00,46,7:18:00,44,11:28:00,41,16:45:00,41,25:06:00,42,30:53:00,41,34:16:00,38,45:34:00,39,52:48:00,37,57:43:00,36,63:55:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1st Womens Solo,1969,"Debbie Richardson 
TC - Monique Tschurr",9:00, ,12:09:00, ,16:16:00, ,20:38:00, ,2:07:00, ,10:19:00, ,16:22:00, ,20:02:00, ,8:00:00, ,14:47:00, ,19:03:00, ,3:57:00,,,,,
,,,,,45,3:09:00,44,4:07:00,54,4:22:00,43,5:29:00,48,8:12:00,56,6:03:00,64,3:40:00,66,11:58:00,24,6:47:00,22,4:16:00,76,8:54:00,,,,,
,,,,,45,3:09:00,43,7:16:00,46,11:38:00,45,17:07:00,43,25:19:00,44,31:22:00,43,35:02:00,46,47:00:00,43,53:47:00,41,58:03:00,37,66:57:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1st Novice,2602,"Charlie Hebert 
Cain Kohutek 
TC - John Kohutek",9:00, ,12:15:00, ,16:31:00, ,20:42:00, ,2:10:00, ,10:23:00, ,15:50:00, ,19:16:00, ,7:59:00, ,15:24:00, ,20:07:00, ,4:04:00,,,,,
,,,,,53,3:15:00,53,4:16:00,47,4:11:00,42,5:28:00,50,8:13:00,43,5:27:00,56,3:26:00,81,12:43:00,39,7:25:00,33,4:43:00,62,7:57:00,,,,,
,,,,,53,3:15:00,50,7:31:00,49,11:42:00,47,17:10:00,45,25:23:00,41,30:50:00,41,34:16:00,44,46:59:00,46,54:24:00,46,59:07:00,38,67:04:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2nd Aluminum,1620,"Hoyt Moss 
David Hatton 
TC - Charlie Chapman",9:00, ,12:21:00, ,16:53:00, ,21:46:00, ,3:52:00, ,12:34:00, ,18:18:00, ,21:26:00, ,8:28:00, ,15:48:00, ,21:28:00, ,4:47:00,,,,,
,,,,,58,3:21:00,67,4:32:00,68,4:53:00,60,6:06:00,55,8:42:00,48,5:44:00,37,3:08:00,52,11:02:00,37,7:20:00,53,5:40:00,59,7:19:00,,,,,
,,,,,58,3:21:00,59,7:53:00,63,12:46:00,60,18:52:00,55,27:34:00,51,33:18:00,52,36:26:00,50,47:28:00,49,54:48:00,47,60:28:00,39,67:47:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1st Womens USCA C1,357,"Holly Orr 
TC - Andrew Nelson",9:00, ,12:17:00, ,16:35:00, ,20:51:00, ,3:05:00, ,12:44:00, ,18:25:00, ,21:41:00, ,7:59:00, ,14:46:00, ,19:02:00, ,5:28:00,,,,,
,,,,,56,3:17:00,54,4:18:00,49,4:16:00,61,6:14:00,77,9:39:00,47,5:41:00,46,3:16:00,42,10:18:00,24,6:47:00,23,4:16:00,80,10:26:00,,,,,
,,,,,56,3:17:00,53,7:35:00,52,11:51:00,56,18:05:00,57,27:44:00,53,33:25:00,53,36:41:00,45,46:59:00,42,53:46:00,40,58:02:00,40,68:28:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3rd Aluminum,252,"Mark Hellinger 
Paul Black 
TC - Larry Panjarakis",9:00, ,12:15:00, ,16:43:00, ,21:07:00, ,3:01:00, ,12:38:00, ,18:35:00, ,21:47:00, ,9:19:00, ,17:02:00, ,22:04:00, ,6:03:00,,,,,
,,,,,53,3:15:00,63,4:28:00,57,4:24:00,56,5:54:00,76,9:37:00,53,5:57:00,42,3:12:00,62,11:32:00,48,7:43:00,41,5:02:00,63,7:59:00,,,,,
,,,,,53,3:15:00,55,7:43:00,55,12:07:00,55,18:01:00,56,27:38:00,54,33:35:00,55,36:47:00,51,48:19:00,51,56:02:00,50,61:04:00,41,69:03:00,,,,,
,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
42,3rd USCA C2,992,"Cody Ackermann 
Jason Rotan 
TC - Matt Persyn",9:00, ,12:25:00, ,16:45:00, ,21:06:00, ,2:46:00, ,11:33:00, ,18:20:00, ,21:21:00, ,8:09:00, ,15:42:00, ,21:33:00, ,6:26:00,,,,,
,,,,,59,3:25:00,56,4:20:00,53,4:21:00,47,5:40:00,58,8:47:00,69,6:47:00,34,3:01:00,49,10:48:00,41,7:33:00,58,5:51:00,75,8:53:00,,,,,
,,,,,59,3:25:00,56,7:45:00,54,12:06:00,53,17:46:00,48,26:33:00,52,33:20:00,51,36:21:00,49,47:09:00,47,54:42:00,49,60:33:00,42,69:26:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2nd Womens,6262,"Courtney Weber 
Cayla Weber 
TC - Noel Shaver",9:00, ,12:06:00, ,16:19:00, ,20:29:00, ,1:38:00, ,9:10:00, ,14:40:00, ,17:49:00, ,4:03:00, ,12:31:00, ,18:50:00, ,6:36:00,,,,,
,,,,,41,3:06:00,49,4:13:00,46,4:10:00,37,5:09:00,38,7:32:00,44,5:30:00,40,3:09:00,39,10:14:00,64,8:28:00,63,6:19:00,88,11:46:00,,,,,
,,,,,41,3:06:00,47,7:19:00,45,11:29:00,40,16:38:00,38,24:10:00,38,29:40:00,38,32:49:00,33,43:03:00,36,51:31:00,39,57:50:00,43,69:36:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2nd Novice,1922,"William Sayers 
Barrett Tilson 
TC - Clint Sayers",9:00, ,12:20, ,16:34:00, ,20:56:00, ,2:39:00, ,12:03:00, ,18:47:00, ,21:41:00, ,9:28:00, ,17:09:00, ,22:19:00, ,6:37:00,,,,,
,,,,,57,3:20:00,50,4:14:00,54,4:22:00,48,5:43:00,71,9:24:00,68,6:44:00,32,2:54:00,64,11:47:00,47,7:41:00,42,5:10:00,70,8:18:00,,,,,
,,,,,57,3:20:00,52,7:34:00,53,11:56:00,52,17:39:00,52,27:03:00,55,33:47:00,53,36:41:00,53,48:28:00,52,56:09:00,51,61:19:00,44,69:37:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4th Aluminum,731,"Joseph Geisinger 
Ginsie Stauss 
TC - Jason Locke",9:00, ,12:28:00, ,16:32:00, ,20:49:00, ,2:36:00, ,11:39:00, ,17:20:00, ,20:32:00, ,7:40:00, ,15:16:00, ,19:54:00, ,6:38:00,,,,,
,,,,,62,3:28:00,40,4:04:00,50,4:17:00,54,5:47:00,65,9:03:00,45,5:41:00,41,3:12:00,53,11:08:00,44,7:36:00,30,4:38:00,81,10:44:00,,,,,
,,,,,62,3:28:00,51,7:32:00,51,11:49:00,51,17:36:00,49,26:39:00,48,32:20:00,46,35:32:00,42,46:40:00,45,54:16:00,45,58:54:00,45,69:38:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,9th Unlimited,413,"Doug Mackay 
Jimmy Doran 
Ken Kieffer 
TC - Greg Klausmeyer",9:00, ,12:04:00, ,16:11:00, ,20:16:00, ,1:50:00, ,11:51:00, ,17:17:00, ,20:38:00, ,6:45:00, ,13:32:00, ,19:03:00, ,6:49:00,,,,,
,,,,,39,3:04:00,45,4:07:00,42,4:05:00,45,5:34:00,82,10:01:00,41,5:26:00,51,3:21:00,37,10:07:00,23,6:47:00,47,5:31:00,88,11:46:00,,,,,
,,,,,39,3:04:00,41,7:11:00,40,11:16:00,42,16:50:00,50,26:51:00,46,32:17:00,47,35:38:00,40,45:45:00,38,52:32:00,42,58:03:00,46,69:49:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,5th USCA C1,2745,"Pete Binion 
TC - Bruce Abbitt",9:00, ,11:46:00, ,15:30:00, ,19:17:00, ,0:10:00, ,6:49:00, ,11:45:00, ,14:37:00, ,22:51:00, ,5:46:00, ,10:27:00, ,6:51:00,,,,,
,,,,,17,2:46:00,20,3:44:00,28,3:47:00,29,4:53:00,18,6:39:00,35,4:56:00,31,2:52:00,24,8:14:00,28,6:55:00,32,4:41:00,94,20:24:00,,,,,
,,,,,17,2:46:00,18,6:30:00,20,10:17:00,25,15:10:00,21,21:49:00,26,26:45:00,27,29:37:00,25,37:51:00,24,44:46:00,24,49:27:00,47,69:51:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4th Mixed,52,"Sheila Reiter 
Jeff Wueste 
TC - Greg Klausmeyer ",9:00, ,12:14:00, ,16:28:00, ,20:45:00, ,2:20:00, ,10:57:00, ,17:40:00, ,21:15:00, ,11:45:00, ,18:37:00, ,23:37:00, ,6:52:00,,,,,
,,,,,50,3:14:00,50,4:14:00,51,4:17:00,46,5:35:00,54,8:37:00,67,6:43:00,59,3:35:00,90,14:30:00,27,6:52:00,40,5:00:00,57,7:15:00,,,,,
,,,,,50,3:14:00,48,7:28:00,50,11:45:00,49,17:20:00,46,25:57:00,50,32:40:00,50,36:15:00,54,50:45:00,54,57:37:00,54,62:37:00,48,69:52:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,10th Unlimited,4444,"Lance Bielke 
Ryan Bielke 
Rusty Luddeke 
Matt Luddeke 
TC - Lana Luddeke",9:00, ,12:08:00, ,16:28:00, ,20:40:00, ,2:26:00, ,11:24:00, ,17:20:00, ,20:59:00, ,7:48:00, ,15:03:00, ,19:34:00, ,6:55:00,,,,,
,,,,,44,3:08:00,55,4:20:00,48,4:12:00,53,5:46:00,63,8:58:00,50,5:56:00,62,3:39:00,50,10:49:00,35,7:15:00,29,4:31:00,85,11:21:00,,,,,
,,,,,44,3:08:00,48,7:28:00,48,11:40:00,50,17:26:00,47,26:24:00,48,32:20:00,49,35:59:00,43,46:48:00,44,54:03:00,44,58:34:00,49,69:55:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5th Standard,69,"Chris LaRocque 
John LaRocque 
TC - Trisha Vail",9:00, ,12:15:00, ,16:39:00, ,21:13:00, ,3:11:00, ,12:03:00, ,20:04:00, ,0:40:00, ,12:43:00, ,20:31:00, ,2:04:00, ,7:00:00,,,,,
,,,,,53,3:15:00,60,4:24:00,60,4:34:00,57,5:58:00,61,8:52:00,80,8:01:00,88,4:36:00,67,12:03:00,53,7:48:00,48,5:33:00,26,4:56:00,,,,,
,,,,,53,3:15:00,54,7:39:00,57,12:13:00,57,18:11:00,52,27:03:00,58,35:04:00,60,39:40:00,55,51:43:00,55,59:31:00,55,65:04:00,50,70:00:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,10th Mens Solo,1123,"John Qualls 
TC - Gary Robinson",9:00, ,12:44:00, ,17:10:00, ,21:55:00, ,3:55:00, ,11:52:00, ,17:17:00, ,20:38:00, ,6:46:00, ,14:41:00, ,19:30:00, ,7:02:00,,,,,
,,,,,82,3:44:00,61,4:26:00,63,4:45:00,58,6:00:00,45,7:57:00,39,5:25:00,51,3:21:00,38,10:08:00,55,7:55:00,34,4:49:00,86,11:32:00,,,,,
,,,,,82,3:44:00,69,8:10:00,67,12:55:00,61,18:55:00,51,26:52:00,46,32:17:00,47,35:38:00,41,45:46:00,41,53:41:00,43,58:30:00,51,70:02:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,5th Mixed,1976,"Mike Drost
Janie Glos
TC - Cindy Meurer",9:00, ,11:59:00, ,16:09:00, ,20:18:00, ,2:03:00, ,10:22:00, ,16:22:00, ,20:02:00, ,8:08:00, ,15:53:00, ,23:09:00, ,7:12:00,,,,,
,,,,,28,2:59:00,48,4:10:00,44,4:09:00,51,5:45:00,51,8:19:00,55,6:00:00,64,3:40:00,69,12:06:00,51,7:45:00,77,7:16:00,66,8:03:00,,,,,
,,,,,28,2:59:00,38,7:09:00,41,11:18:00,43,17:03:00,44,25:22:00,44,31:22:00,43,35:02:00,47,47:08:00,50,54:53:00,52,62:09:00,52,70:12:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3rd Novice,242,"Brandon Goering 
Jeremy White 
TC - John Khosravani",9:00, ,12:42:00, ,17:12:00, ,21:50:00, ,3:51:00, ,15:36:00, ,19:35:00, ,22:55:00, ,8:09:00, ,15:42:00, ,21:32:00, ,7:51:00,,,,,
,,,,,79,3:42:00,64,4:30:00,61,4:38:00,59,6:01:00,98,11:45:00,11,3:59:00,50,3:20:00,31,9:14:00,41,7:33:00,56,5:50:00,79,10:19:00,,,,,
,,,,,79,3:42:00,72,8:12:00,64,12:50:00,59,18:51:00,69,30:36:00,57,34:35:00,57,37:55:00,48,47:09:00,47,54:42:00,48,60:32:00,53,70:51:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,11th Mens Solo,506,"Jim Weber 
TC - Rob Schweitzer",9:00, ,12:14:00, ,16:16:00, ,20:20:00, ,2:03:00, ,10:11:00, ,16:21:00, ,20:02:00, ,9:26:00, ,17:37:00, ,23:11:00, ,8:37:00,,,,,
,,,,,50,3:14:00,37,4:02:00,41,4:04:00,49,5:43:00,47,8:08:00,58,6:10:00,66,3:41:00,84,13:24:00,61,8:11:00,49,5:34:00,77,9:26:00,,,,,
,,,,,50,3:14:00,43,7:16:00,43,11:20:00,43,17:03:00,42,25:11:00,43,31:21:00,45,35:02:00,52,48:26:00,53,56:37:00,53,62:11:00,54,71:37:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4th Novice,2002,"Matthew Whitt 
Wendel Thuss 
TC - Natalie Taylor",9:00, ,12:36:00, ,17:07:00, ,21:54:00, ,4:52:00, ,12:54:00, ,18:52:00, ,22:09:00, ,13:17:00, ,21:26:00, ,3:31:00, ,9:23:00,,,,,
,,,,,70,3:36:00,65,4:31:00,65,4:47:00,69,6:58:00,46,8:02:00,54,5:58:00,48,3:17:00,94,15:08:00,58,8:09:00,60,6:05:00,33,5:52:00,,,,,
,,,,,70,3:36:00,67,8:07:00,66,12:54:00,66,19:52:00,58,27:54:00,56,33:52:00,56,37:09:00,57,52:17:00,56,60:26:00,56,66:31:00,55,72:23:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,5th Tandem  Unl,107,"Robert Kite 
Dave Paris 
TC - Eric Engelhardt",9:00, ,12:34:00, ,16:58:00, ,21:39:00, ,4:01:00, ,13:28:00, ,21:09:00, ,5:09:00, ,16:07:00, ,23:10:00, ,5:00:00, ,9:26:00,,,,,
,,,,,68,3:34:00,59,4:24:00,62,4:41:00,62,6:22:00,72,9:27:00,78,7:41:00,102,8:00:00,51,10:58:00,31,7:03:00,56,5:50:00,18,4:26:00,,,,,
,,,,,68,3:34:00,62,7:58:00,59,12:39:00,62,19:01:00,59,28:28:00,64,36:09:00,64,44:09:00,62,55:07:00,59,62:10:00,58,68:00:00,56,72:26:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,6th Standard,4663,"Stephen Unruh 
Jonathan Fessenden 
TC - Stephen Nelson",9:00, ,12:37:00, ,16:57:00, ,21:44:00, ,5:15:00, ,14:06:00, ,20:34:00, ,5:17:00, ,14:15:00, ,22:25:00, ,4:51:00, ,9:31:00,,,,,
,,,,,74,3:37:00,56,4:20:00,65,4:47:00,77,7:31:00,60,8:51:00,63,6:28:00,104,8:43:00,30,8:58:00,59,8:10:00,65,6:26:00,22,4:40:00,,,,,
,,,,,74,3:37:00,60,7:57:00,62,12:44:00,68,20:15:00,62,29:06:00,61,35:34:00,65,44:17:00,58,53:15:00,58,61:25:00,57,67:51:00,57,72:31:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,5th Novice,1116,"Scott Meares 
Jason Meares 
TC - Derrick Frazier",9:00, ,12:56:00, ,17:32:00, ,22:34:00, ,5:21:00, ,14:49:00, ,20:54:00, ,0:35:00, ,13:05:00, ,21:55:00, ,7:10:00, ,13:40:00,,,,,
,,,,,96,3:56:00,71,4:36:00,72,5:02:00,68,6:47:00,73,9:28:00,57,6:05:00,67,3:41:00,76,12:30:00,68,8:50:00,89,9:15:00,49,6:30:00,,,,,
,,,,,96,3:56:00,82,8:32:00,75,13:34:00,69,20:21:00,65,29:49:00,63,35:54:00,59,39:35:00,56,52:05:00,57,60:55:00,59,70:10:00,58,76:40:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4th USCA C2,213,"Jaime Sanderford 
Brian Sanderford 
TC - Anne Sanderford",9:00, ,12:37:00, ,17:08:00, ,22:31:00, ,8:06:00, ,15:59:00, ,21:55:00, ,6:05:00, ,15:55:00, ,23:17:00, ,7:37:00, ,14:44:00,,,,,
,,,,,74,3:37:00,65,4:31:00,85,5:23:00,100,9:35:00,43,7:53:00,52,5:56:00,103,8:10:00,34,9:50:00,38,7:22:00,86,8:20:00,55,7:07:00,,,,,
,,,,,74,3:37:00,68,8:08:00,73,13:31:00,83,23:06:00,72,30:59:00,65,36:55:00,66,45:05:00,61,54:55:00,60,62:17:00,60,70:37:00,59,77:44:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6th Tandem Unl,728,"Benjamin Duckett 
Jay Fox 
TC - Constance Harris",9:00, ,12:30:00, ,17:02:00, ,22:14:00, ,4:44:00, ,14:49:00, ,21:55:00, ,2:39:00, ,15:17:00, ,3:15:00, ,11:05:00, ,16:20:00,,,,,
,,,,,63,3:30:00,67,4:32:00,78,5:12:00,65,6:30:00,85,10:05:00,73,7:06:00,92,4:44:00,80,12:38:00,88,11:58:00,83,7:50:00,28,5:15:00,,,,,
,,,,,63,3:30:00,63,8:02:00,69,13:14:00,64,19:44:00,65,29:49:00,65,36:55:00,61,41:39:00,60,54:17:00,65,66:15:00,65,74:05:00,60,79:20:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,12th Mens Solo,1925,"Al Kaufmann
TC - Cindy Kaufmann",9:00, ,12:33:00, ,17:27:00, ,22:33:00, ,6:58:00, ,15:45:00, ,3:15:00, ,6:52:00, ,17:08:00, ,4:15:00, ,10:37:00, ,16:31:00,,,,,
,,,,,66,3:33:00,87,4:54:00,74,5:06:00,87,8:25:00,57,8:47:00,98,11:30:00,61,3:37:00,40,10:16:00,79,11:07:00,64,6:22:00,34,5:54:00,,,,,
,,,,,66,3:33:00,79,8:27:00,74,13:33:00,74,21:58:00,71,30:45:00,74,42:15:00,69,45:52:00,67,56:08:00,67,67:15:00,62,73:37:00,61,79:31:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,7th Tandem Unl,6474,"Kevin Kopf 
Rick Kopf 
TC - Stuart Dickinson",9:00, ,13:00:00, ,18:07:00, ,23:31:00, ,9:13:00, ,18:31:00, ,4:47:00, ,8:47:00, ,19:20:00, ,6:51:00, ,12:25:00, ,17:34:00,,,,,
,,,,,97,4:00:00,101,5:07:00,86,5:24:00,102,9:42:00,70,9:18:00,89,10:16:00,75,4:00:00,44,10:33:00,81,11:31:00,49,5:34:00,27,5:09:00,,,,,
,,,,,97,4:00:00,100,9:07:00,90,14:31:00,92,24:13:00,83,33:31:00,82,43:47:00,79,47:47:00,74,58:20:00,71,69:51:00,69,75:25:00,62,80:34:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,11th Unlimited,7,"Jon Schoepflin 
Linden Welsch 
Chris Bailey 
TC - Danny Cantu",9:00, ,12:50:00, ,17:36:00, ,22:36:00, ,5:51:00, ,13:42:00, ,20:29:00, ,6:05:00, ,16:50:00, ,4:34:00, ,11:54:00, ,18:05:00,,,,,
,,,,,87,3:50:00,83,4:46:00,69,5:00:00,73,7:15:00,41,7:51:00,70,6:47:00,105,9:36:00,48,10:45:00,86,11:44:00,79,7:20:00,42,6:11:00,,,,,
,,,,,87,3:50:00,84,8:36:00,76,13:36:00,70,20:51:00,60,28:42:00,60,35:29:00,66,45:05:00,65,55:50:00,69,67:34:00,68,74:54:00,63,81:05:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,8th Tandem Unl,777,"Wendell Smith 
Tres Ryan 
TC - Mark Miller",9:00, ,12:31:00, ,16:57:00, ,21:29:00, ,3:14:00, ,12:30:00, ,20:35:00, ,0:14:00, ,16:25:00, ,4:22:00, ,11:35:00, ,18:10:00,,,,,
,,,,,64,3:31:00,61,4:26:00,58,4:32:00,50,5:45:00,69,9:16:00,81,8:05:00,62,3:39:00,100,16:11:00,87,11:57:00,76,7:13:00,50,6:35:00,,,,,
,,,,,64,3:31:00,60,7:57:00,58,12:29:00,58,18:14:00,54,27:30:00,62,35:35:00,58,39:14:00,64,55:25:00,68,67:22:00,67,74:35:00,64,81:10:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,12th Unlimited,892,"Lauren DeLouche 
Michael Simmons 
TC - Mark Simmons",9:00, ,12:32:00, ,17:10:00, ,22:48:00, ,5:14:00, ,14:00:00, ,5:56:00, ,9:00:00, ,19:06:00, ,3:08:00, ,11:32:00, ,18:14:00,,,,,
,,,DNF - Jeanette Burris,,65,3:32:00,73,4:38:00,90,5:38:00,64,6:26:00,56,8:46:00,108,15:56:00,35,3:04:00,36,10:06:00,56,8:02:00,87,8:24:00,53,6:42:00,,,,,
,,,,,65,3:32:00,69,8:10:00,79,13:48:00,67,20:14:00,61,29:00:00,86,44:56:00,80,48:00:00,71,58:06:00,64,66:08:00,66,74:32:00,65,81:14:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,6th Novice,88,"Mike Dey 
Maurice Kelley 
TC - Anthony Penaloza",9:00, ,12:45:00, ,17:42:00, ,22:51:00, ,6:24:00, ,15:19:00, ,22:11:00, ,3:37:00, ,16:08:00, ,0:47:00, ,10:45:00, ,18:27:00,,,,,
,,,,,83,3:45:00,93,4:57:00,77,5:09:00,78,7:33:00,62,8:55:00,72,6:52:00,97,5:26:00,77,12:31:00,66,8:39:00,91,9:58:00,61,7:42:00,,,,,
,,,,,83,3:45:00,87,8:42:00,81,13:51:00,71,21:24:00,67,30:19:00,68,37:11:00,62,42:37:00,63,55:08:00,62,63:47:00,63,73:45:00,66,81:27:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,5th USCA C2,5961,"Ed Jones 
Brenda Jones 
TC - Tonya Jones",9:00, ,12:36:00, ,17:17:00, ,22:18:00, ,7:11:00, ,17:11:00, ,3:32:00, ,6:58:00, ,16:54:00, ,2:53:00, ,8:11:00, ,19:19:00,,,,,
,,,,,70,3:36:00,80,4:41:00,70,5:01:00,92,8:53:00,81,10:00:00,90,10:21:00,57,3:26:00,35,9:56:00,76,9:59:00,44,5:18:00,83,11:08:00,,,,,
,,,,,70,3:36:00,75,8:17:00,70,13:18:00,78,22:11:00,77,32:11:00,78,42:32:00,71,45:58:00,66,55:54:00,63,65:53:00,61,71:11:00,67,82:19:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,7th Novice,3006,"Baker Gentry 
Jim Hubbard 
TC - Sarah Saalfield",9:00, ,13:12:00, ,18:05:00, ,0:17:00, ,8:00:00, ,17:44:00, ,4:25:00, ,8:37:00, ,19:51:00, ,7:33:00, ,13:10:00, ,19:30:00,,,,,
,,,,,108,4:12:00,86,4:53:00,98,6:12:00,80,7:43:00,79,9:44:00,94,10:41:00,83,4:12:00,56,11:14:00,84,11:42:00,52,5:37:00,46,6:20:00,,,,,
,,,,,108,4:12:00,99,9:05:00,97,15:17:00,82,23:00:00,80,32:44:00,80,43:25:00,77,47:37:00,77,58:51:00,79,70:33:00,72,76:10:00,68,82:30:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,9th Tandem Unl,6377,"Brian Frey 
Kevin Halbert 
TC - Aaron Flores",9:00, ,13:05:00, ,17:55:00, ,23:20:00, ,10:47:00, ,18:20:00, ,5:57:00, ,9:16:00, ,18:40:00, ,7:15:00, ,13:41:00, ,19:32:00,,,,,
,,,,,99,4:05:00,84,4:50:00,87,5:25:00,112,11:27:00,39,7:33:00,99,11:37:00,49,3:19:00,33,9:24:00,91,12:35:00,66,6:26:00,32,5:51:00,,,,,
,,,,,99,4:05:00,96,8:55:00,88,14:20:00,100,25:47:00,82,33:20:00,87,44:57:00,82,48:16:00,70,57:40:00,76,70:15:00,74,76:41:00,69,82:32:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,8th Novice,1204,"Glenn Ogden 
Chris Crosby 
TC - Teresa Crosby",9:00, ,12:49:00, ,17:45:00, ,23:27:00, ,8:34:00, ,18:03:00, ,3:32:00, ,6:56:00, ,19:19:00, ,6:54:00, ,14:18:00, ,19:33:00,,,,,
,,,,,86,3:49:00,91,4:56:00,92,5:42:00,97,9:07:00,74,9:29:00,84,9:29:00,55,3:24:00,75,12:23:00,82,11:35:00,80,7:24:00,29,5:15:00,,,,,
,,,,,86,3:49:00,88,8:45:00,89,14:27:00,86,23:34:00,81,33:03:00,79,42:32:00,70,45:56:00,73,58:19:00,73,69:54:00,77,77:18:00,70,82:33:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2nd Womens Solo,956,"Sarah Frey 
TC - Becky Riedesel",9:00, ,12:45:00, ,17:22:00, ,22:23:00, ,7:08:00, ,16:19:00, ,3:20:00, ,7:25:00, ,18:37:00, ,6:19:00, ,13:02:00, ,19:42:00,,,,,
,,,,,83,3:45:00,72,4:37:00,71,5:01:00,89,8:45:00,66,9:11:00,97,11:01:00,77,4:05:00,55,11:12:00,85,11:42:00,71,6:43:00,52,6:40:00,,,,,
,,,,,83,3:45:00,77,8:22:00,72,13:23:00,76,22:08:00,73,31:19:00,75,42:20:00,72,46:25:00,69,57:37:00,70,69:19:00,71,76:02:00,71,82:42:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,9th Novice,1944,"Jake Ondreas 
Casey Blinka 
TC - Greg Wyan",9:00, ,13:40:00, ,18:55:00, ,1:10:00, ,9:35:00, ,16:47:00, ,4:45:00, ,8:45:00, ,19:17:00, ,6:54:00, ,12:43:00, ,20:00:00,,,,,
,,,,,123,4:40:00,108,5:15:00,99,6:15:00,88,8:25:00,32,7:12:00,101,11:58:00,75,4:00:00,43,10:32:00,83,11:37:00,54,5:49:00,58,7:17:00,,,,,
,,,,,123,4:40:00,118,9:55:00,100,16:10:00,93,24:35:00,75,31:47:00,81,43:45:00,78,47:45:00,72,58:17:00,72,69:54:00,70,75:43:00,72,83:00:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
