,,,,,,,,,,2014 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Overall Place,Recognition,Team Members,Boat #,,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,
1,1st Unlimited,"Gaston Jones
Clay Wyatt
Wade Binion
Andrew Condie
Jeff Glock
Ian Rolls
TC - Jill Wyatt 
TC - Jay Condie",150,9:00, ,11:18:00, ,14:41:00, ,17:45:00, ,21:39:00, ,2:59:00, ,6:31:00, ,8:28:00, ,14:07:00, ,18:53:00, ,22:03:00, ,1:03:00
,,,,,1,2:18:00,1,3:23:00,1,3:04:00,1,3:54:00,1,5:20:00,1,3:32:00,1,1:57:00,1,5:39:00,1,4:46:00,1,3:10:00,1,3:00:00
,,,,,1,2:18:00,1,5:41:00,1,8:45:00,1,12:39:00,1,17:59:00,1,21:31:00,1,23:28:00,1,29:07:00,1,33:53:00,1,37:03:00,1,40:03:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2nd Unlimited,"Jay Daniel
Sammy Prochaska
Brandon Stafford
Shawn Boyett
Michael Vandeveer
Steve Bis 
TC - Kristin Daniel 
TC - Heather Heaton",167,9:00, ,11:28:00, ,15:08:00, ,18:29:00, ,22:40:00, ,4:17:00, ,8:01:00, ,10:11:00, ,16:27:00, ,21:40:00, ,1:23:00, ,5:55:00
,,,,,2,2:28:00,4,3:40:00,2,3:21:00,2,4:11:00,3,5:37:00,2,3:44:00,4,2:10:00,2,6:16:00,3,5:13:00,3,3:43:00,10,4:32:00
,,,,,2,2:28:00,3,6:08:00,3,9:29:00,3,13:40:00,3,19:17:00,2,23:01:00,2,25:11:00,2,31:27:00,2,36:40:00,2,40:23:00,2,44:55:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1st Mens Solo,"Thomas Yonley
TC - Jacob Southard 
TC - Tom Goynes",3,9:00, ,11:30:00, ,15:10:00, ,18:34:00, ,23:01:00, ,5:05:00, ,9:07:00, ,11:23:00, ,17:57:00, ,23:31:00, ,3:14:00, ,6:58:00
,,,,,4,2:30:00,4,3:40:00,4,3:24:00,5,4:27:00,5,6:04:00,6,4:02:00,5,2:16:00,5,6:34:00,5,5:34:00,3,3:43:00,3,3:44:00
,,,,,4,2:30:00,4,6:10:00,4,9:34:00,4,14:01:00,4,20:05:00,4,24:07:00,5,26:23:00,5,32:57:00,5,38:31:00,5,42:14:00,3,45:58:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2nd Mens Solo,"Chris Issendorf 
TC - Shannon Issendorf
TC - Shea Newbolt",2273,9:00, ,11:32:00, ,15:10:00, ,18:35:00, ,23:01:00, ,5:06:00, ,9:07:00, ,11:14:00, ,17:45:00, ,22:53:00, ,2:23:00, ,7:08:00
,,,,,5,2:32:00,3,3:38:00,5,3:25:00,4,4:26:00,6,6:05:00,5,4:01:00,2,2:07:00,3,6:31:00,2,5:08:00,2,3:30:00,14,4:45:00
,,,,,5,2:32:00,4,6:10:00,5,9:35:00,4,14:01:00,5,20:06:00,4,24:07:00,4,26:14:00,4,32:45:00,4,37:53:00,3,41:23:00,4,46:08:00
,,,,,,,,,,,,,,,,,,,,,,,,,,
