,,,,,,,,,,,2005 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Position,Boat #,Team Members,,Staples,,Luling 90,,,Zedler Dam,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
34,1204,David Clark           Michael Clark                    TC-Jude Wick,9:00, ,12:19:00, ,16:48:00, ,18:03:00, ,21:23:00, ,4:18:00, ,12:00:00, ,17:30:00, ,20:19:00, ,6:46:00, ,14:07:00, ,18:30:00, ,0:26:00
5th Aluminum,,,,49,3:19:00,50,4:29:00,45,1:15:00,47,3:20:00,43,6:55:00,34,7:42:00,45,5:30:00,27,2:49:00,47,10:27:00,39,7:21:00,34,4:23:00,58,5:56:00
,,,,49,3:19:00,49,7:48:00,48,9:03:00,48,12:23:00,41,19:18:00,41,27:00:00,40,32:30:00,40,35:19:00,33,45:46:00,33,53:07:00,34,57:30:00,34,63:26:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,890,Michael Simmons          TC-Gary Robinson,9:00, ,12:08:00, ,16:28:00, ,17:42:00, ,20:43:00, ,2:57:00, ,9:57:00, ,14:57:00, ,18:11:00, ,3:44:00, ,13:21:00, ,18:14:00, ,2:05:00
9th Solo,,,,34,3:08:00,42,4:20:00,44,1:14:00,34,3:01:00,38,6:14:00,24,7:00:00,31,5:00:00,38,3:14:00,33,9:33:00,61,9:37:00,49,4:53:00,68,7:51:00
,,,,34,3:08:00,37,7:28:00,36,8:42:00,35,11:43:00,36,17:57:00,33,24:57:00,30,29:57:00,31,33:11:00,25,42:44:00,32,52:21:00,33,57:14:00,35,65:05:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2662,Sarah Walliser          Brandy Zeek                TC-James Walliser,9:00, ,12:29:00, ,16:47:00, ,17:58:00, ,21:09:00, ,2:40:00, ,9:54:00, ,16:05:00, ,18:55:00, ,8:28:00, ,15:52:00, ,19:55:00, ,3:25:00
2nd Womens,,,,58,3:29:00,41,4:18:00,34,1:11:00,40,3:11:00,27,5:31:00,26,7:14:00,54,6:11:00,28,2:50:00,60,13:33:00,40,7:24:00,23,4:03:00,66,7:30:00
,,,,58,3:29:00,48,7:47:00,46,8:58:00,44,12:09:00,33,17:40:00,31,24:54:00,34,31:05:00,34,33:55:00,38,47:28:00,38,54:52:00,38,58:55:00,36,66:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,181,Harry Marsalles           Phil McDowell                   TC-Charles Weber,9:00, ,12:17:00, ,16:34:00, ,18:00:00, ,21:18:00, ,4:28:00, ,12:26:00, ,18:20:00, ,0:49:00, ,11:05:00, ,19:16:00, ,23:50:00, ,4:41:00
2nd Tandem,,,,45,3:17:00,39,4:17:00,74,1:26:00,43,3:18:00,47,7:10:00,41,7:58:00,51,5:54:00,70,6:29:00,44,10:16:00,52,8:11:00,40,4:34:00,41,4:51:00
,,,,45,3:17:00,39,7:34:00,47,9:00:00,47,12:18:00,45,19:28:00,42,27:26:00,42,33:20:00,45,39:49:00,41,50:05:00,41,58:16:00,41,62:50:00,37,67:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4031,Johnny Garcia           Mark Garcia                    TC-Nicole Evans,9:00, ,12:16:00, ,16:55:00, ,18:53:00, ,22:38:00, ,5:29:00, ,14:53:00, ,21:37:00, ,0:55:00, ,12:01:00, ,19:52:00, ,0:15:00, ,4:45:00
6th Aluminum,,,,42,3:16:00,55,4:39:00,85,1:58:00,55,3:45:00,42,6:51:00,71,9:24:00,62,6:44:00,41,3:18:00,50,11:06:00,46,7:51:00,32,4:23:00,30,4:30:00
,,,,42,3:16:00,53,7:55:00,60,9:53:00,59,13:38:00,49,20:29:00,52,29:53:00,52,36:37:00,46,39:55:00,43,51:01:00,43,58:52:00,43,63:15:00,38,67:45:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3943,James Ward               Gus Roesler                TC-Janet Waed,9:00, ,12:19:00, ,16:44:00, ,18:05:00, ,21:41:00, ,5:51:00, ,14:22:00, ,19:38:00, ,0:30:00, ,9:10:00, ,18:15:00, ,23:22:00, ,5:29:00
7th Aluminum,,,,49,3:19:00,49,4:25:00,59,1:21:00,52,3:36:00,55,8:10:00,52,8:31:00,39,5:16:00,65,4:52:00,25,8:40:00,59,9:05:00,55,5:07:00,59,6:07:00
,,,,49,3:19:00,47,7:44:00,50,9:05:00,51,12:41:00,51,20:51:00,48,29:22:00,45,34:38:00,43,39:30:00,39,48:10:00,40,57:15:00,40,62:22:00,39,68:29:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,918,Kenneth Startz          Laura Startz                    TC-Kevin Startz,9:00, ,12:25:00, ,16:42:00, ,17:57:00, ,21:11:00, ,7:18:00, ,14:40:00, ,19:45:00, ,5:10:00, ,13:19:00, ,20:24:00, ,0:29:00, ,5:36:00
4th Mixed,,,,54,3:25:00,39,4:17:00,45,1:15:00,41,3:14:00,72,10:07:00,28,7:22:00,33,5:05:00,74,9:25:00,22,8:09:00,32,7:05:00,24,4:05:00,48,5:07:00
,,,,54,3:25:00,45,7:42:00,45,8:57:00,45,12:11:00,53,22:18:00,49,29:40:00,46,34:45:00,54,44:10:00,45,52:19:00,44,59:24:00,44,63:29:00,40,68:36:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,47,Don Stoneman            Bob Vincent                    TC-Lee Deviney,9:00, ,11:43:00, ,15:23:00, ,16:25:00, ,19:02:00, ,23:53:00, ,8:48:00, ,12:52:00, ,15:49:00, ,8:26:00, ,15:10:00, ,19:38:00, ,5:43:00
2nd USCA C-2,,,,9,2:43:00,12,3:40:00,14,1:02:00,15,2:37:00,14,4:51:00,61,8:55:00,9,4:04:00,32,2:57:00,67,16:37:00,25,6:44:00,37,4:28:00,70,10:05:00
,,,,9,2:43:00,10,6:23:00,10,7:25:00,10,10:02:00,13,14:53:00,26,23:48:00,23,27:52:00,23,30:49:00,37,47:26:00,37,54:10:00,37,58:38:00,41,68:43:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3560,Aaron Gibson            Gary Gibson                TC-Sharon Gibson,9:00, ,12:29:00, ,17:19:00, ,18:37:00, ,22:24:00, ,7:03:00, ,14:55:00, ,20:00:00, ,4:25:00, ,14:04:00, ,20:36:00, ,1:20:00, ,6:00:00
2nd Novice,,,,58,3:29:00,63,4:50:00,55,1:18:00,57,3:47:00,59,8:39:00,38,7:52:00,33,5:05:00,73,8:25:00,35,9:39:00,19,6:32:00,44,4:44:00,34,4:40:00
,,,,58,3:29:00,61,8:19:00,56,9:37:00,55,13:24:00,52,22:03:00,53,29:55:00,47,35:00:00,53,43:25:00,48,53:04:00,45,59:36:00,45,64:20:00,42,69:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,617,Jason Katz              Jason Rotan                TC-Paul Sawyers,9:00, ,12:13:00, ,16:37:00, ,17:52:00, ,21:08:00, ,4:23:00, ,13:15:00, ,18:31:00, ,22:24:00, ,9:43:00, ,17:42:00, ,22:29:00, ,6:15:00
8th Aluminum,,,,38,3:13:00,48,4:24:00,45,1:15:00,42,3:16:00,48,7:15:00,60,8:52:00,38,5:16:00,59,3:53:00,51,11:19:00,49,7:59:00,47,4:47:00,67,7:46:00
,,,,38,3:13:00,40,7:37:00,41,8:52:00,43,12:08:00,43,19:23:00,45,28:15:00,43,33:31:00,42,37:24:00,40,48:43:00,39,56:42:00,39,61:29:00,43,69:15:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,376,Heath Deckert           Brian Swink                   TC-Douglas Creely,9:00, ,12:34:00, ,17:18:00, ,18:40:00, ,22:33:00, ,8:29:00, ,17:15:00, ,23:00:00, ,2:42:00, ,13:05:00, ,20:51:00, ,1:37:00, ,6:28:00
3rd Novice,,,,64,3:34:00,57,4:44:00,63,1:22:00,58,3:53:00,70,9:56:00,59,8:46:00,49,5:45:00,55,3:42:00,46,10:23:00,43,7:46:00,45,4:46:00,40,4:51:00
,,,,64,3:34:00,60,8:18:00,57,9:40:00,58,13:33:00,59,23:29:00,59,32:15:00,56,38:00:00,50,41:42:00,44,52:05:00,46,59:51:00,46,64:37:00,44,69:28:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,13,Marek Uliasz                  TC-Connie Uliasz,9:00, ,12:10:00, ,16:22:00, ,17:48:00, ,20:59:00, ,5:45:00, ,13:23:00, ,18:53:00, ,2:17:00, ,11:26:00, ,19:19:00, ,23:50:00, ,6:29:00
10th Solo,,,,37,3:10:00,35,4:12:00,74,1:26:00,39,3:11:00,60,8:46:00,31,7:38:00,45,5:30:00,72,7:24:00,28,9:09:00,47,7:53:00,39,4:31:00,61,6:39:00
,,,,37,3:10:00,35,7:22:00,38,8:48:00,38,11:59:00,50,20:45:00,46,28:23:00,44,33:53:00,47,41:17:00,42,50:26:00,42,58:19:00,41,62:50:00,45,69:29:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,605,Dane Collette          Jason Kite                  Ted Slaughter                   TC-Brenda O'Sullivan,9:00, ,12:13:00, ,16:59:00, ,18:03:00, ,21:32:00, ,4:56:00, ,14:48:00, ,21:00:00, ,6:34:00, ,15:34:00, ,22:29:00, ,3:20:00, ,7:09:00
8th Unlimited,,,,38,3:13:00,59,4:46:00,20,1:04:00,51,3:29:00,50,7:24:00,73,9:52:00,55,6:12:00,75,9:34:00,27,9:00:00,30,6:55:00,48,4:51:00,11,3:49:00
,,,,38,3:13:00,55,7:59:00,48,9:03:00,49,12:32:00,46,19:56:00,50,29:48:00,49,36:00:00,55,45:34:00,50,54:34:00,49,61:29:00,49,66:20:00,46,70:09:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1977,Loren Hudson          Jason Sellars                  TC-Rob Baldwin,9:00, ,12:33:00, ,17:29:00, ,18:53:00, ,23:31:00, ,7:26:00, ,15:55:00, ,22:35:00, ,4:15:00, ,14:04:00, ,21:20:00, ,2:20:00, ,7:19:00
3rd Tandem,,,,62,3:33:00,65,4:56:00,70,1:24:00,67,4:38:00,53,7:55:00,51,8:29:00,61,6:40:00,69,5:40:00,36,9:49:00,37,7:16:00,52,5:00:00,45,4:59:00
,,,,62,3:33:00,63,8:29:00,60,9:53:00,63,14:31:00,54,22:26:00,54,30:55:00,53,37:35:00,52,43:15:00,48,53:04:00,47,60:20:00,47,65:20:00,47,70:19:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1112,Chad Keeth                     Zac Mail                         TC-Kristain Williams,9:00, ,12:29:00, ,17:24:00, ,18:41:00, ,22:27:00, ,7:39:00, ,16:12:00, ,21:36:00, ,2:43:00, ,13:46:00, ,21:32:00, ,2:40:00, ,7:32:00
9th Aluminum,,,,58,3:29:00,64,4:55:00,51,1:17:00,56,3:46:00,64,9:12:00,56,8:33:00,44,5:24:00,66,5:07:00,49,11:03:00,43,7:46:00,56,5:08:00,42,4:52:00
,,,,58,3:29:00,62,8:24:00,59,9:41:00,56,13:27:00,56,22:39:00,55,31:12:00,51,36:36:00,51,41:43:00,46,52:46:00,48,60:32:00,48,65:40:00,48,70:32:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,11,Andrew Olsen                 Cody Olsen (DNF)          Edwin Olsen          Joseph Olsen                   TC-Linda Olsen,9:00, ,12:17:00, ,17:02:00, ,18:20:00, ,22:30:00, ,10:16:00, ,18:47:00, ,2:48:00, ,7:58:00, ,16:05:00, ,22:56:00, ,6:30:00, ,10:02:00
9th Unlimited,,,,45,3:17:00,58,4:45:00,52,1:18:00,61,4:10:00,79,11:46:00,54,8:31:00,65,8:01:00,67,5:10:00,21,8:07:00,28,6:51:00,69,7:34:00,6,3:32:00
,,,,45,3:17:00,57,8:02:00,54,9:20:00,57,13:30:00,67,25:16:00,63,33:47:00,59,41:48:00,57,46:58:00,51,55:05:00,51,61:56:00,53,69:30:00,49,73:02:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,775,Rick Beelby                Philip Meadow                 Dustin Miracle                Marvin Troyer               Sam Waldrop               TC-Tommy Cope,9:00, ,13:05:00, ,17:55:00, ,19:22:00, ,23:52:00, ,10:46:00, ,19:11:00, ,1:20:00, ,6:36:00, ,16:36:00, ,1:23:00, ,6:25:00, ,10:12:00
10th Unlimited,,,,84,4:05:00,61,4:50:00,76,1:27:00,65,4:30:00,75,10:54:00,50,8:25:00,53,6:09:00,68,5:16:00,40,10:00:00,56,8:47:00,53,5:02:00,10,3:47:00
,,,,84,4:05:00,68,8:55:00,70,10:22:00,65,14:52:00,68,25:46:00,65,34:11:00,58,40:20:00,56,45:36:00,52,55:36:00,53,64:23:00,51,69:25:00,50,73:12:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,5841,John Cordell                    Daniel Ecklund          Russel Singleton             TC-Richard Singleton,9:00, ,12:33:00, ,17:54:00, ,19:05:00, ,1:17:00, ,9:35:00, ,18:53:00, ,4:48:00, ,8:15:00, ,16:52:00, ,24:50:00, ,6:05:00, ,10:16:00
11th Unlimited,,,,62,3:33:00,74,5:21:00,35,1:11:00,75,6:12:00,57,8:18:00,68,9:18:00,69,9:55:00,49,3:27:00,24,8:37:00,48,7:58:00,59,5:15:00,23,4:11:00
,,,,62,3:33:00,67,8:54:00,65,10:05:00,74,16:17:00,62,24:35:00,64,33:53:00,61,43:48:00,60,47:15:00,55,55:52:00,52,63:50:00,50,69:05:00,51,73:16:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,86,Gib Hafernik                    TC-Chris Vogler,9:00, ,12:26:00, ,17:00:00, ,18:18:00, ,21:41:00, ,4:22:00, ,14:50:00, ,21:08:00, ,0:33:00, ,13:52:00, ,22:55:00, ,6:26:00, ,10:55:00
4th USCA C-1,,,,56,3:26:00,52,4:34:00,52,1:18:00,50,3:23:00,41,6:41:00,74,10:28:00,58,6:18:00,47,3:25:00,59,13:19:00,58,9:03:00,68,7:31:00,29,4:29:00
,,,,56,3:26:00,56,8:00:00,52,9:18:00,51,12:41:00,42,19:22:00,51,29:50:00,50,36:08:00,44,39:33:00,47,52:52:00,50,61:55:00,52,69:26:00,52,73:55:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,62,Doug Rhude                  TC-Arlene Rhude,9:00, ,12:17:00, ,17:03:00, ,18:40:00, ,22:18:00, ,7:26:00, ,16:48:00, ,22:49:00, ,2:42:00, ,16:46:00, ,2:29:00, ,7:56:00, ,11:38:00
11th Solo,,,,45,3:17:00,59,4:46:00,80,1:37:00,53,3:38:00,62,9:08:00,69,9:22:00,52,6:01:00,60,3:53:00,62,14:04:00,64,9:43:00,64,5:27:00,8,3:42:00
,,,,45,3:17:00,58,8:03:00,57,9:40:00,54,13:18:00,54,22:26:00,58,31:48:00,54,37:49:00,48,41:42:00,53,55:46:00,55,65:29:00,55,70:56:00,53,74:38:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1127,Quenton Skinner          TC-Renee Skinner,9:00, ,12:56:00, ,18:03:00, ,19:26:00, ,0:06:00, ,9:58:00, ,19:15:00, ,1:05:00, ,7:59:00, ,18:09:00, ,2:29:00, ,7:56:00, ,11:57:00
12th Solo,,,,76,3:56:00,70,5:07:00,67,1:23:00,68,4:40:00,68,9:52:00,67,9:17:00,50,5:50:00,71,6:54:00,43,10:10:00,53,8:20:00,64,5:27:00,21,4:01:00
,,,,76,3:56:00,73,9:03:00,71,10:26:00,67,15:06:00,64,24:58:00,66,34:15:00,57,40:05:00,58,46:59:00,57,57:09:00,56,65:29:00,56,70:56:00,54,74:57:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1310,Barry Brown          Andrew Torrez              TC-Cindy Brown,9:00, ,12:49:00, ,18:17:00, ,19:40:00, ,0:24:00, ,9:34:00, ,19:16:00, ,4:47:00, ,8:12:00, ,17:28:00, ,4:07:00, ,8:10:00, ,12:08:00
10th Aluminum,,,,71,3:49:00,79,5:28:00,67,1:23:00,70,4:44:00,63,9:10:00,72,9:42:00,68,9:31:00,46,3:25:00,29,9:16:00,66,10:39:00,22,4:03:00,18,3:58:00
,,,,71,3:49:00,76,9:17:00,74,10:40:00,70,15:24:00,61,24:34:00,67,34:16:00,60,43:47:00,59,47:12:00,56,56:28:00,57,67:07:00,57,71:10:00,55,75:08:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2001,Norm Thomas                TC-Brenda Thomas,9:00, ,12:53:00, ,17:43:00, ,18:59:00, ,23:12:00, ,8:49:00, ,16:30:00, ,22:59:00, ,2:42:00, ,16:46:00, ,2:25:00, ,7:38:00, ,12:30:00
13th Solo,,,,72,3:53:00,61,4:50:00,50,1:16:00,62,4:13:00,66,9:37:00,33,7:41:00,60,6:29:00,56,3:43:00,62,14:04:00,63,9:39:00,58,5:13:00,43,4:52:00
,,,,72,3:53:00,66,8:43:00,64,9:59:00,62,14:12:00,60,23:49:00,56,31:30:00,55,37:59:00,49,41:42:00,53,55:46:00,54,65:25:00,54,70:38:00,56,75:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,9999,Michael Darden          Rick Lewis               Thomas Rauzi               TC-Tamzin Darder,9:00, ,12:53:00, ,17:59:00, ,19:21:00, ,0:17:00, ,10:11:00, ,22:14:00, ,6:38:00, ,10:29:00, ,21:49:00, ,5:39:00, ,10:43:00, ,15:29:00
12th Unlimited,,,,72,3:53:00,69,5:06:00,63,1:22:00,71,4:56:00,69,9:54:00,75,12:03:00,66,8:24:00,58,3:51:00,52,11:20:00,45,7:50:00,54,5:04:00,35,4:46:00
,,,,72,3:53:00,71,8:59:00,68,10:21:00,68,15:17:00,65,25:11:00,73,37:14:00,65,45:38:00,65,49:29:00,60,60:49:00,58,68:39:00,58,73:43:00,57,78:29:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1421,Ben Black                     Jon Markowitz               Seth Waits                   TC-Jim Waits,9:00, ,13:17:00, ,18:45:00, ,20:19:00, ,6:48:00, ,14:58:00, ,0:21:00, ,9:12:00, ,12:33:00, ,22:30:00, ,6:59:00, ,11:40:00, ,15:30:00
13th Unlimited,,,,87,4:17:00,78,5:28:00,78,1:34:00,79,10:29:00,55,8:10:00,70,9:23:00,67,8:51:00,43,3:21:00,37,9:57:00,54,8:29:00,43,4:41:00,12,3:50:00
,,,,87,4:17:00,85,9:45:00,83,11:19:00,81,21:48:00,82,29:58:00,75,39:21:00,69,48:12:00,67,51:33:00,61,61:30:00,59,69:59:00,60,74:40:00,58,78:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,5957,Bob Brown                John Edwards              TC-Regan Brown,9:00, ,12:39:00, ,17:38:00, ,18:58:00, ,22:56:00, ,11:25:00, ,19:25:00, ,6:15:00, ,9:52:00, ,19:20:00, ,7:05:00, ,11:03:00, ,16:00:00
11th Aluminum,,,,68,3:39:00,66,4:59:00,58,1:20:00,59,3:58:00,81,12:29:00,42,8:00:00,71,10:50:00,53,3:37:00,32,9:28:00,69,11:45:00,19,3:58:00,44,4:57:00
,,,,68,3:39:00,64,8:38:00,63,9:58:00,61,13:56:00,69,26:25:00,68,34:25:00,64,45:15:00,62,48:52:00,58,58:20:00,60,70:05:00,59,74:03:00,59,79:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,647,Abe Anderson          James Wright              TC-Lee Wright,9:00, ,12:45:00, ,18:15:00, ,19:36:00, ,0:05:00, ,10:12:00, ,18:45:00, ,7:03:00, ,10:27:00, ,0:05:00, ,8:14:00, ,13:00:00, ,18:40:00
12th Aluminum,,,,69,3:45:00,82,5:30:00,62,1:21:00,63,4:29:00,73,10:07:00,55,8:33:00,74,12:18:00,45,3:24:00,61,13:38:00,50,8:09:00,46,4:46:00,56,5:40:00
,,,,69,3:45:00,75,9:15:00,73,10:36:00,66,15:05:00,66,25:12:00,61,33:45:00,66,46:03:00,64,49:27:00,62,63:05:00,62,71:14:00,61,76:00:00,60,81:40:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1985,Alan Pickett                    TC-Dan Pickett,9:00, ,12:54:00, ,17:57:00, ,19:20:00, ,4:50:00, ,11:50:00, ,19:45:00, ,6:08:00, ,9:09:00, ,20:54:00, ,7:56:00, ,13:35:00, ,20:17:00
14th Solo,,,,74,3:54:00,67,5:03:00,66,1:23:00,77,9:30:00,45,7:00:00,39,7:55:00,70,10:23:00,37,3:01:00,54,11:45:00,67,11:02:00,66,5:39:00,63,6:42:00
,,,,74,3:54:00,70,8:57:00,66,10:20:00,77,19:50:00,71,26:50:00,69,34:45:00,63,45:08:00,61,48:09:00,59,59:54:00,61,70:56:00,62,76:35:00,61,83:17:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,9,Stacey Greer               Jon Schoepflin               TC-Brenda Greer,9:00, ,12:38:00, ,18:54:00, ,20:15:00, ,0:58:00, ,12:11:00, ,20:47:00, ,7:42:00, ,11:08:00, ,0:20:00, ,11:42:00, ,17:04:00, ,22:39:00
3rd USCA C-2,,,,67,3:38:00,88,6:16:00,60,1:21:00,69,4:43:00,78,11:13:00,57,8:36:00,72,10:55:00,48,3:26:00,58,13:12:00,68,11:22:00,62,5:22:00,55,5:35:00
,,,,67,3:38:00,86,9:54:00,81,11:15:00,72,15:58:00,73,27:11:00,71,35:47:00,68,46:42:00,66,50:08:00,64,63:20:00,63,74:42:00,63,80:04:00,62,85:39:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,22,Jack Elvig                 John Elvig                  Mark Elvig                    TC-Tony Gonzalez,9:00, ,12:36:00, ,18:00:00, ,19:21:00, ,23:50:00, ,12:53:00, ,21:13:00, ,10:09:00, ,13:45:00, ,0:07:00, ,13:30:00, ,18:00:00, ,23:00:00
13th Unlimited,,,,66,3:36:00,76,5:24:00,60,1:21:00,63,4:29:00,82,13:03:00,49,8:20:00,75,12:56:00,52,3:36:00,45,10:22:00,71,13:23:00,38,4:30:00,46,5:00:00
,,,,66,3:36:00,72,9:00:00,68,10:21:00,64,14:50:00,75,27:53:00,72,36:13:00,71,49:09:00,69,52:45:00,63,63:07:00,65,76:30:00,64,81:00:00,63,86:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,5,Ralph Castillo          Ralph Castillo              TC-Ralph Fleshman,9:00, ,13:04:00, ,18:33:00, ,19:56:00, ,6:29:00, ,14:34:00, ,6:00:00, ,11:15:00, ,15:33:00, ,6:46:00, ,14:06:00, ,18:45:00, ,23:32:00
4th Novice,,,,83,4:04:00,81,5:29:00,67,1:23:00,80,10:33:00,54,8:05:00,79,15:26:00,36,5:15:00,62,4:18:00,64,15:13:00,38,7:20:00,42,4:39:00,37,4:47:00
,,,,83,4:04:00,83,9:33:00,77,10:56:00,79,21:29:00,81,29:34:00,80,45:00:00,76,50:15:00,74,54:33:00,67,69:46:00,66,77:06:00,66,81:45:00,64,86:32:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1954,Michael Musselman          TC-Jim Garity,9:00, ,12:45:00, ,17:55:00, ,19:20:00, ,0:21:00, ,9:35:00, ,18:46:00, ,5:51:00, ,10:10:00, ,3:38:00, ,12:35:00, ,18:00:00, ,23:33:00
15th Solo,,,,69,3:45:00,71,5:10:00,71,1:25:00,72,5:01:00,65,9:14:00,66,9:11:00,73,11:05:00,63,4:19:00,69,17:28:00,57,8:57:00,63,5:25:00,54,5:33:00
,,,,69,3:45:00,68,8:55:00,66,10:20:00,69,15:21:00,62,24:35:00,62,33:46:00,62,44:51:00,63,49:10:00,65,66:38:00,64,75:35:00,64,81:00:00,65,86:33:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,69,Samuel Vester               Tom Vester                   TC-Lari Blevins,9:00, ,12:56:00, ,18:19:00, ,19:41:00, ,0:45:00, ,11:40:00, ,20:45:00, ,10:45:00, ,13:45:00, ,7:35:00, ,15:45:00, ,20:01:00, ,24:20:00
5th Novice,,,,76,3:56:00,75,5:23:00,63,1:22:00,73,5:04:00,76,10:55:00,62,9:05:00,76,14:00:00,36,3:00:00,70,17:50:00,51,8:10:00,29,4:16:00,27,4:19:00
,,,,76,3:56:00,77,9:19:00,75,10:41:00,71,15:45:00,70,26:40:00,70,35:45:00,74,49:45:00,70,52:45:00,69,70:35:00,68,78:45:00,67,83:01:00,66,87:20:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,451,Jerry Cowart          William Snyder              TC-Alia Snyder,9:00, ,13:12:00, ,18:29:00, ,20:31:00, ,1:07:00, ,12:07:00, ,4:15:00, ,10:32:00, ,14:29:00, ,5:42:00, ,15:20:00, ,21:07:00, ,2:47:00
6th Novice,,,,86,4:12:00,72,5:17:00,86,2:02:00,66,4:36:00,77,11:00:00,80,16:08:00,57,6:17:00,61,3:57:00,65,15:13:00,62,9:38:00,67,5:47:00,56,5:40:00
,,,,86,4:12:00,79,9:29:00,85,11:31:00,73,16:07:00,72,27:07:00,77,43:15:00,73,49:32:00,71,53:29:00,66,68:42:00,67,78:20:00,68,84:07:00,67,89:47:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,9263,Andrew Houge          Nicholas Sophinos          TC-Matthew Sophinos,9:00, ,13:00:00, ,18:40:00, ,20:15:00, ,6:32:00, ,15:21:00, ,5:10:00, ,11:35:00, ,16:27:00, ,9:11:00, ,18:36:00, ,23:48:00, ,6:49:00
13th Aluminum,,,,80,4:00:00,85,5:40:00,79,1:35:00,78,10:17:00,61,8:49:00,77,13:49:00,59,6:25:00,64,4:52:00,68,16:44:00,60,9:25:00,57,5:12:00,64,7:01:00
,,,,80,4:00:00,84,9:40:00,81,11:15:00,80,21:32:00,83,30:21:00,78,44:10:00,77,50:35:00,75,55:27:00,71,72:11:00,71,81:36:00,69,86:48:00,68,93:49:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,7079,Christian Perez            TC-Cassie Polasek,9:00, ,12:57:00, ,18:24:00, ,20:03:00, ,6:54:00, ,14:32:00, ,5:45:00, ,12:01:00, ,15:31:00, ,7:19:00, ,15:52:00, ,5:00:00, ,8:59:00
16th Solo,,,,79,3:57:00,77,5:27:00,81,1:39:00,81,10:51:00,51,7:38:00,78,15:13:00,56,6:16:00,50,3:30:00,66,15:48:00,55,8:33:00,70,13:08:00,19,3:59:00
,,,,79,3:57:00,78,9:24:00,79,11:03:00,82,21:54:00,79,29:32:00,79,44:45:00,78,51:01:00,73,54:31:00,68,70:19:00,70,78:52:00,70,92:00:00,69,95:59:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,827,John Stockwell                TC-Stockwell            (1Hour Penalty added for no PFD in Bay),9:00, ,12:32:00, ,17:15:00, ,18:30:00, ,6:18:00, ,12:13:00, ,6:25:00, ,11:10:00, ,14:47:00, ,8:50:00, ,15:52:00, ,6:06:00, ,9:39:00
17th Solo,,,,61,3:32:00,56,4:43:00,45,1:15:00,86,11:48:00,33,5:55:00,81,18:12:00,23,4:45:00,54,3:37:00,71,18:03:00,31,7:02:00,71,14:14:00,31,4:33:00
,,,,61,3:32:00,59,8:15:00,55,9:30:00,78,21:18:00,74,27:13:00,81,45:25:00,75,50:10:00,72,53:47:00,70,71:50:00,69,78:52:00,71,93:06:00,70,97:39:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
