,,,,,,,,,,,2005 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,
,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,
,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,
Position,Boat #,Team Members,,Staples,,Luling 90,,,Zedler Dam,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
8,248,Holly Nelson                  Mary Tipton               Sandy Yonley               TC-Janet Nelson,9:00, ,11:44:00, ,15:21:00, ,16:21:00, ,18:57:00, ,23:40:00, ,5:50:00, ,10:15:00, ,12:58:00, ,20:04:00, ,2:00:00, ,6:15:00, ,9:31:00
1st Womens,,,,11,2:44:00,10,3:37:00,10,1:00:00,13,2:36:00,12,4:43:00,12,6:10:00,16,4:25:00,22,2:43:00,15,7:06:00,9,5:56:00,28,4:15:00,2,3:16:00
,,,,11,2:44:00,9,6:21:00,9,7:21:00,8,9:57:00,9,14:40:00,11,20:50:00,12,25:15:00,12,27:58:00,11,35:04:00,10,41:00:00,10,45:15:00,8,48:31:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,28,John Bugge                    TC-Megan Yeager,9:00, ,11:52:00, ,15:37:00, ,16:42:00, ,19:15:00, ,0:20:00, ,6:15:00, ,10:17:00, ,12:30:00, ,19:13:00, ,1:19:00, ,5:45:00, ,9:41:00
2nd USCA C-1,,,,19,2:52:00,18,3:45:00,21,1:05:00,9,2:33:00,17,5:05:00,9,5:55:00,8,4:02:00,7,2:13:00,9,6:43:00,14,6:06:00,36,4:26:00,16,3:56:00
,,,,19,2:52:00,19,6:37:00,20,7:42:00,17,10:15:00,16,15:20:00,13,21:15:00,13,25:17:00,9,27:30:00,9,34:13:00,9,40:19:00,9,44:45:00,9,48:41:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,700,Cory Laskoskie               Ken Kiefer                   TC-Jed Bruner,9:00, ,11:50:00, ,15:48:00, ,16:36:00, ,19:19:00, ,23:56:00, ,6:19:00, ,11:06:00, ,13:47:00, ,20:36:00, ,2:35:00, ,6:28:00, ,10:05:00
1st Tandem,,,,15,2:50:00,30,3:58:00,1,0:48:00,23,2:43:00,9,4:37:00,15,6:23:00,25,4:47:00,20,2:41:00,11,6:49:00,11,5:59:00,14,3:53:00,7,3:37:00
,,,,15,2:50:00,23,6:48:00,16,7:36:00,18,10:19:00,14,14:56:00,14,21:19:00,15,26:06:00,13,28:47:00,12,35:36:00,11,41:35:00,11,45:28:00,10,49:05:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,89,Ardie Olsen                  TC-Sherry Olsen,9:00, ,11:48:00, ,15:29:00, ,16:30:00, ,19:04:00, ,23:57:00, ,6:24:00, ,10:40:00, ,13:57:00, ,20:43:00, ,3:26:00, ,7:06:00, ,10:25:00
1st Solo,,,,14,2:48:00,13,3:41:00,12,1:01:00,10,2:34:00,15,4:53:00,17,6:27:00,13,4:16:00,40,3:17:00,10,6:46:00,24,6:43:00,11,3:40:00,3,3:19:00
,,,,14,2:48:00,12,6:29:00,12,7:30:00,12,10:04:00,15,14:57:00,15,21:24:00,14,25:40:00,15,28:57:00,13,35:43:00,13,42:26:00,13,46:06:00,11,49:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,41,Kent Davidson                  Greg Eason                Curtis Nunn               Robert Orr               Nathan Siria                   TC-Karen McBride,9:00, ,11:53:00, ,15:36:00, ,16:39:00, ,19:13:00, ,23:34:00, ,5:06:00, ,8:47:00, ,10:55:00, ,16:48:00, ,22:11:00, ,1:29:00, ,10:42:00
7th Unlimited,,,,20,2:53:00,15,3:43:00,16,1:03:00,10,2:34:00,6,4:21:00,6,5:32:00,4,3:41:00,5,2:08:00,4,5:53:00,5,5:23:00,6,3:18:00,69,9:13:00
,,,,20,2:53:00,17,6:36:00,18,7:39:00,15,10:13:00,8,14:34:00,8,20:06:00,8,23:47:00,7,25:55:00,6,31:48:00,6,37:11:00,5,40:29:00,12,49:42:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1111,Jimmy Doran                   David Hatton                  TC-Richard West,9:00, ,11:53:00, ,15:44:00, ,16:51:00, ,19:32:00, ,0:40:00, ,7:10:00, ,11:35:00, ,14:02:00, ,21:30:00, ,3:26:00, ,6:52:00, ,10:51:00
1st Aluminum,,,,20,2:53:00,24,3:51:00,27,1:07:00,19,2:41:00,19,5:08:00,18,6:30:00,17,4:25:00,14,2:27:00,18,7:28:00,9,5:56:00,8,3:26:00,20,3:59:00
,,,,20,2:53:00,20,6:44:00,21,7:51:00,21,10:32:00,19,15:40:00,16,22:10:00,18,26:35:00,17,29:02:00,16,36:30:00,12,42:26:00,12,45:52:00,13,49:51:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,106,Edoh Amran                Liam Price                   TC-Susan Price,9:00, ,11:56:00, ,15:45:00, ,16:52:00, ,19:34:00, ,24:41:00, ,7:13:00, ,11:32:00, ,14:04:00, ,21:10:00, ,3:43:00, ,7:38:00, ,11:03:00
1st Standard,,,,23,2:56:00,22,3:49:00,27,1:07:00,20,2:42:00,18,5:07:00,19,6:32:00,15,4:19:00,15,2:32:00,15,7:06:00,20,6:33:00,16,3:55:00,4,3:25:00
,,,,23,2:56:00,21,6:45:00,22,7:52:00,22,10:34:00,20,15:41:00,19,22:13:00,17,26:32:00,18,29:04:00,15,36:10:00,14,42:43:00,14,46:38:00,14,50:03:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,45,Dennis Terwilliger          TC-Paul Wilks,9:00, ,11:58:00, ,15:46:00, ,16:54:00, ,20:13:00, ,1:35:00, ,7:46:00, ,12:38:00, ,15:03:00, ,22:02:00, ,4:38:00, ,8:05:00, ,11:59:00
2nd Solo,,,,24,2:58:00,21,3:48:00,29,1:08:00,46,3:19:00,25,5:22:00,13,6:11:00,28,4:52:00,12,2:25:00,14,6:59:00,21,6:36:00,9,3:27:00,15,3:54:00
,,,,24,2:58:00,22,6:46:00,24,7:54:00,31,11:13:00,27,16:35:00,21,22:46:00,22,27:38:00,21,30:03:00,17,37:02:00,15,43:38:00,15,47:05:00,15,50:59:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,111,Jeff Ecton                  David Roberts               TC-Bill Ecton,9:00, ,11:54:00, ,15:53:00, ,17:02:00, ,19:47:00, ,24:58:00, ,7:54:00, ,12:36:00, ,15:24:00, ,22:41:00, ,4:41:00, ,8:23:00, ,12:40:00
2nd Aluminum,,,,22,2:54:00,31,3:59:00,32,1:09:00,24,2:45:00,20,5:11:00,23,6:56:00,22,4:42:00,26,2:48:00,17,7:17:00,12,6:00:00,12,3:42:00,26,4:17:00
,,,,22,2:54:00,29,6:53:00,29,8:02:00,26,10:47:00,24,15:58:00,23,22:54:00,21,27:36:00,22,30:24:00,20,37:41:00,16,43:41:00,16,47:23:00,16,51:40:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
