,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cuero 766,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Saltwater Barrier,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
42,43,Standard,"David McGonagill
Sean Rommell
TC Hampton Fontwnot
TC Dawson McGonagill",3394,0 days 03:19:00,0 days 07:59:00,0 days 12:36:00,0 days 18:58:00,1 days 02:48:00,1 days 08:37:00,1 days 11:21:00,1 days 20:27:00,2 days 03:16:00,2 days 10:02:00,2 days 13:40:00,Standard,"['David McGonagill', 'Sean Rommell', '']","['Hampton Fontwnot', 'TC Dawson McGonagill']",-2.823763907144894e-07,49.63579243388361,91.85388586042771,143.07239627522017,182.72024808586872,226.56516203839863,258.8162096630662,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
43,44,Mixed,"Sonja StClair
Larry StClair
TC John Moore
TC Lauren StClair",456,0 days 03:06:00,0 days 07:22:00,0 days 11:19:00,0 days 16:50:00,1 days 00:10:00,1 days 05:13:00,1 days 08:09:00,1 days 22:32:00,2 days 04:27:00,2 days 09:32:00,2 days 13:43:00,Mixed,"['Sonja StClair', 'Larry StClair', '']","['John Moore', 'TC Lauren StClair']",-2.823763907144894e-07,54.37360777943448,102.96601350712632,159.820797566688,184.06076380592486,219.55668685309385,259.5801879605582,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
44,45,Novice,"Kyndel Bennett
Warren Kay
TC Laura Bennett
TC Rob Smith",3006,0 days 03:03:00,0 days 07:40:00,0 days 12:04:00,0 days 17:30:00,1 days 01:15:00,1 days 06:45:00,1 days 10:07:00,1 days 19:36:00,2 days 03:18:00,2 days 09:00:00,2 days 13:48:00,Novice,"['Kyndel Bennett', 'Warren Kay', '']","['Laura Bennett', 'TC Rob Smith']",-2.823763907144894e-07,51.56271447708838,98.91850386352382,153.93005172789123,186.93654141090894,227.0867446842293,260.1388073902909,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
45,46,USCA C-2,"Diana Kaiser
David Kaiser
TC Peter Olden
TC Jean Olden",1984,0 days 02:55:00,0 days 07:23:00,0 days 11:38:00,0 days 17:48:00,1 days 01:45:00,1 days 07:04:00,1 days 10:09:00,1 days 21:18:00,2 days 03:32:00,2 days 10:13:00,2 days 14:32:00,USCA C-2,"['Diana Kaiser', 'David Kaiser', '']","['Peter Olden', 'TC Jean Olden']",-2.823763907144894e-07,53.32273786509332,97.21961247455825,151.70432802157103,183.2472832911976,224.71774440752566,256.79149560918194,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
46,47,Novice,"Cody Nelson
Luke Brentlinger
TC Amber Nelson
TC Meagan Halford",1507,0 days 03:33:00,0 days 08:15:00,0 days 12:49:00,0 days 18:31:00,1 days 02:42:00,1 days 08:58:00,1 days 11:58:00,1 days 22:05:00,2 days 05:08:00,2 days 11:21:00,2 days 15:21:00,Novice,"['Cody Nelson', 'Luke Brentlinger', '']","['Amber Nelson', 'TC Meagan Halford']",-2.823763907144894e-07,48.53068844941578,93.68234012824703,142.25684122559477,178.391826067284,218.624540175476,252.83190789180185,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
47,48,Unlimited,"Brian Jones
Travis Crow
Richard Oechslin out at Palmetto
Joey Halbert
Vincent Cline
Jim Gibbs
TC Richard Crow
TC Brian Wills",150,0 days 03:45:00,0 days 08:28:00,0 days 14:21:00,0 days 21:48:00,1 days 05:29:00,1 days 12:12:00,1 days 14:48:00,2 days 01:32:00,2 days 08:14:00,2 days 12:51:00,2 days 16:11:00,Unlimited,"['Brian Jones', 'Travis Crow', 'Richard Oechslin out at Palmetto', 'Joey Halbert', 'Vincent Cline', 'Jim Gibbs', '']","['Richard Crow', 'TC Brian Wills']",-2.823763907144894e-07,46.00374607336141,80.75154881219238,126.68268365333321,167.33515527996877,203.70574702692684,246.95160362137182,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
48,49,Novice,"Isaac Wiegman
Aaron Fides
TC Kim Seoudy",7866,0 days 03:23:00,0 days 08:00:00,0 days 12:36:00,0 days 18:34:00,1 days 03:37:00,1 days 09:39:00,1 days 12:34:00,1 days 23:28:00,2 days 07:33:00,2 days 12:33:00,2 days 16:35:00,Novice,"['Isaac Wiegman', 'Aaron Fides', '']",['Kim Seoudy'],-2.823763907144894e-07,49.59373124597637,92.83445757808052,137.70005406668488,175.16604776933588,211.18965743393204,248.2852546652031,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
49,50,Standard,"Jennifer Bugge
Johnny Martinez Jr
TC Betsy Pierson
TC Sandy Pierson",818,0 days 03:24:00,0 days 08:01:00,0 days 12:24:00,0 days 18:20:00,1 days 01:32:00,1 days 06:17:00,1 days 09:10:00,1 days 21:02:00,2 days 06:29:00,2 days 12:03:00,2 days 17:01:00,Standard,"['Jennifer Bugge', 'Johnny Martinez Jr', '']","['Betsy Pierson', 'TC Sandy Pierson']",-2.823763907144894e-07,49.95835585796308,95.54306392957244,156.58701535471715,185.21977349842362,217.70398622368026,250.1029941471685,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
50,51,Tandem Unlimited,"Benjamin Duckett
Jay Fox
TC Constance Harris
TC Emily Duckett",728,0 days 03:24:00,0 days 08:12:00,0 days 12:43:00,0 days 18:46:00,1 days 02:40:00,1 days 08:33:00,1 days 11:24:00,1 days 23:34:00,2 days 06:51:00,2 days 13:48:00,2 days 18:05:00,Tandem Unlimited,"['Benjamin Duckett', 'Jay Fox', '']","['Constance Harris', 'TC Emily Duckett']",-2.823763907144894e-07,48.84632435259893,92.75067363268708,143.64140437599863,177.5978873621356,211.82503055145023,245.60424532158046,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
51,52,Solo Unlimited Man,"Colton Moore
TC Chad Keeth
TC Felecity Mayden",45,0 days 03:25:00,0 days 08:06:00,0 days 13:02:00,0 days 19:43:00,1 days 04:52:00,1 days 11:46:00,1 days 14:51:00,2 days 00:56:00,2 days 08:03:00,2 days 14:26:00,2 days 19:18:00,Solo Unlimited Man,"['Colton Moore', '']","['Chad Keeth', 'TC Felecity Mayden']",-2.823763907144894e-07,48.57033707263885,88.11346754498537,129.7072438883405,167.42180871007872,206.16909900127547,243.40520337471398,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
52,53,Novice,"Nathaniel Dicks
Joshua Halloran
TC John Busse",1851,0 days 03:36:00,0 days 08:23:00,0 days 13:35:00,0 days 20:05:00,1 days 03:35:00,1 days 08:58:00,1 days 12:05:00,1 days 22:12:00,2 days 06:10:00,2 days 13:24:00,2 days 19:22:00,Novice,"['Nathaniel Dicks', 'Joshua Halloran', '']",['John Busse'],-2.823763907144894e-07,47.04005922780074,86.6363642630444,139.56646152074444,177.94736651608898,216.21224927595122,246.7818665967967,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
53,54,Novice,"Thomas Schiefer
James Wilson
TC Julie Webers
TC Nathan Webers",1839,0 days 03:48:00,0 days 08:28:00,0 days 14:00:00,0 days 22:09:00,1 days 06:08:00,1 days 12:06:00,1 days 15:45:00,2 days 02:11:00,2 days 09:22:00,2 days 16:03:00,2 days 21:07:00,Novice,"['Thomas Schiefer', 'James Wilson', '']","['Julie Webers', 'TC Nathan Webers']",-2.823763907144894e-07,46.3435591754096,80.18071423213502,123.39966782352016,163.9497306505773,200.88997906345617,239.3603907240081,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
54,55,Aluminum,"Miles Hosanna
Thomas Martin
TC Katie Cunningham
TC Rachel Friedman",125,0 days 03:37:00,0 days 08:27:00,0 days 13:01:00,0 days 19:33:00,1 days 03:23:00,1 days 09:16:00,1 days 12:16:00,2 days 00:23:00,2 days 07:58:00,2 days 17:00:00,2 days 21:13:00,Aluminum,"['Miles Hosanna', 'Thomas Martin', '']","['Katie Cunningham', 'TC Rachel Friedman']",-2.823763907144894e-07,47.627919797567394,89.09466680594274,139.42247919399153,174.90130328814053,208.112730434518,240.304718441301,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
55,56,Novice,"Michael Pritulsky
Doug McCoy
TC Krista Oleson
TC Josh Dennis",2013,0 days 03:34:00,0 days 08:12:00,0 days 12:45:00,0 days 19:27:00,1 days 04:25:00,1 days 10:34:00,1 days 17:27:00,2 days 02:23:00,2 days 10:03:00,2 days 16:59:00,2 days 21:42:00,Novice,"['Michael Pritulsky', 'Doug McCoy', '']","['Krista Oleson', 'TC Josh Dennis']",-2.823763907144894e-07,48.786142216284965,89.23885541718082,132.935220317669,162.10497331335137,199.91340570522763,237.33127316485024,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
56,57,Novice,"Daniel Driver
Sam Driver
TC Brenda Fagan
TC Marshall Anderson",1515,0 days 03:55:00,0 days 08:52:00,0 days 13:55:00,0 days 20:25:00,1 days 06:20:00,1 days 11:54:00,1 days 15:35:00,2 days 03:09:00,2 days 10:41:00,2 days 17:40:00,2 days 22:00:00,Novice,"['Daniel Driver', 'Sam Driver', '']","['Brenda Fagan', 'TC Marshall Anderson']",-2.823763907144894e-07,45.25753137094569,85.31731574529043,122.77303873219793,164.41458872378453,197.73533152848506,235.66310374257532,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
57,58,Novice,"Ha Nguyen
Felicia Ziegler
TC Tom Helm
TC John Lovell",17,0 days 03:47:00,0 days 08:40:00,0 days 12:57:00,0 days 19:05:00,1 days 05:26:00,1 days 11:01:00,1 days 14:18:00,2 days 01:32:00,2 days 08:52:00,2 days 16:47:00,2 days 22:15:00,Novice,"['Ha Nguyen', 'Felicia Ziegler', '']","['Tom Helm', 'TC John Lovell']",-2.823763907144894e-07,47.04802852022899,90.2477372762389,127.53363296606966,168.85883755019387,203.521055793099,239.39232166718617,265.3408188987735,266.06332049717383,266.06332049717383,266.06332049717383
58,59,Mixed ,"Scottie Trevino
Bill Siersforfer
TC Kevin Smith
TC Anthony Udelhoven",3,0 days 03:04:00,0 days 07:17:00,0 days 10:59:00,0 days 16:24:00,0 days 23:49:00,1 days 07:28:00,1 days 17:48:00,2 days 03:01:00,2 days 09:28:00,2 days 18:44:00,2 days 22:27:00,Mixed,"['Scottie Trevino', 'Bill Siersforfer', '']","['Kevin Smith', 'TC Anthony Udelhoven']",-2.823763907144894e-07,55.76639274906543,104.95109707699751,152.0127762614394,162.26442456512694,197.3158597301269,237.18968195434385,264.15047321602776,266.06332049717383,266.06332049717383,266.06332049717383
59,60,Unlimited,"Matthew Elkjer
Jesse Robertson
Philip Athey
TC Trey Kaze
TC Thomas Spooner",911,0 days 03:45:00,0 days 08:40:00,0 days 13:04:00,0 days 20:54:00,1 days 04:35:00,1 days 09:30:00,1 days 16:01:00,2 days 01:12:00,2 days 08:03:00,2 days 18:51:00,2 days 22:43:00,Unlimited,"['Matthew Elkjer', 'Jesse Robertson', 'Philip Athey', '']","['Trey Kaze', 'TC Thomas Spooner']",-2.823763907144894e-07,46.87789230651154,84.0108964154724,133.99790925165524,163.01503954107517,205.15299000842833,238.8516181521606,263.135112869634,266.06332049717383,266.06332049717383,266.06332049717383
60,61,USCA C-1 Man,"Richard Zambrana
TC David Hatton
TC Kevin Brown",1117,0 days 03:31:00,0 days 08:03:00,0 days 12:50:00,0 days 18:09:00,1 days 01:30:00,1 days 06:46:00,1 days 10:12:00,2 days 00:09:00,2 days 07:47:00,2 days 17:46:00,2 days 22:47:00,USCA C-1 Man,"['Richard Zambrana', '']","['David Hatton', 'TC Kevin Brown']",-2.823763907144894e-07,49.034760492825896,96.29223316750598,153.61120770203988,179.05043638021718,209.00838110003258,239.87062862367918,263.59641359995567,266.06332049717383,266.06332049717383,266.06332049717383
61,62,Unlimited,"Darrell Ezell
Avery Ezell
Thomas Hamilton
Stevie Sauer
TC Wes Stedman
TC Tony He",2727,0 days 04:11:00,0 days 09:39:00,0 days 14:29:00,0 days 22:10:00,1 days 05:38:00,1 days 12:01:00,1 days 17:01:00,2 days 02:12:00,2 days 09:28:00,2 days 19:03:00,2 days 23:23:00,Unlimited,"['Darrell Ezell', 'Avery Ezell', 'Thomas Hamilton', 'Stevie Sauer', '']","['Wes Stedman', 'TC Tony He']",-2.823763907144894e-07,42.124144016643456,79.71279018314166,126.00794175056436,162.13698767243574,200.72784869307782,237.02713172688848,261.0198888266991,266.06332049717383,266.06332049717383,266.06332049717383
62,63,Tandem Unlimited,"Marcus Monroe
Ryan Tedrow
TC Tressa Monroe
TC Mandy Tedrow",8181,0 days 03:43:00,0 days 08:35:00,0 days 13:31:00,0 days 21:20:00,1 days 07:05:00,1 days 14:33:00,1 days 21:22:00,2 days 06:19:00,2 days 13:40:00,2 days 21:14:00,3 days 00:53:00,Tandem Unlimited,"['Marcus Monroe', 'Ryan Tedrow', '']","['Tressa Monroe', 'TC Mandy Tedrow']",-2.823763907144894e-07,46.55079886667397,82.57867290059336,119.90156653490678,159.58318977869078,182.97854458549583,225.30822601036266,253.58306762057407,266.06332049717383,266.06332049717383,266.06332049717383
63,64,Mixed,"Daniela DeLaCerda
Cliff DeLaCerda
TC Dennis Hall II
TC Kent Fish",13,0 days 03:45:00,0 days 08:42:00,0 days 13:18:00,0 days 22:08:00,1 days 05:47:00,1 days 13:03:00,1 days 21:02:00,2 days 06:03:00,2 days 13:32:00,2 days 21:17:00,3 days 01:18:00,Mixed,"['Daniela DeLaCerda', 'Cliff DeLaCerda', '']","['Dennis Hall II', 'TC Kent Fish']",-2.823763907144894e-07,46.45693727089449,80.75415450509817,125.051174580245,160.2689483129253,184.25582844803637,225.97932364151964,253.0834743542933,266.06332049717383,266.06332049717383,266.06332049717383
64,65,Aluminum,"Scott Ide
Nicole Rice Owens
TC Seth Ide
TC Andre Pagan",6246,0 days 03:28:00,0 days 08:29:00,0 days 13:17:00,0 days 21:48:00,1 days 06:54:00,1 days 13:20:00,1 days 17:01:00,2 days 05:50:00,2 days 13:16:00,2 days 21:18:00,3 days 01:28:00,Aluminum,"['Scott Ide', 'Nicole Rice Owens', '']","['Seth Ide', 'TC Andre Pagan']",-2.823763907144894e-07,47.144666902336056,81.52989120972387,120.35397642697305,161.8191157056586,190.04000202582773,227.03846642968918,252.9188007507028,266.06332049717383,266.06332049717383,266.06332049717383
65,66,USCA C-2,"Rhyan Staten
Michael Felchak
TC Ashley Wynn
TC Kelly Felchak",5884,0 days 03:24:00,0 days 08:08:00,0 days 12:29:00,0 days 18:24:00,1 days 03:26:00,1 days 09:11:00,1 days 12:05:00,2 days 01:42:00,2 days 09:38:00,2 days 16:03:00,3 days 01:38:00,USCA C-2,"['Rhyan Staten', 'Michael Felchak', '']","['Ashley Wynn', 'TC Kelly Felchak']",-2.823763907144894e-07,49.47698138811892,93.52890782307658,139.47850401777686,174.1120668393141,202.72826164109324,238.9072279954965,260.07355188360634,266.06332049717383,266.06332049717383,266.06332049717383
66,67,Aluminum,"Timothy Odom
Seth Hensarling
TC Kristi Odom
TC Melissa Blankenship",99,0 days 03:46:00,0 days 08:50:00,0 days 14:33:00,0 days 21:39:00,1 days 06:41:00,1 days 13:43:00,1 days 17:11:00,2 days 04:40:00,2 days 13:10:00,2 days 21:10:00,3 days 01:40:00,Aluminum,"['Timothy Odom', 'Seth Hensarling', '']","['Kristi Odom', 'TC Melissa Blankenship']",-2.823763907144894e-07,44.83824183768897,80.98860722928093,121.21564198339371,161.53341681458087,192.617204176391,228.05623654664268,253.1903043636997,266.06332049717383,266.06332049717383,266.06332049717383
67,68,USCA C-2,"Richard Wessels
David Deal
TC Roxanne Gebhardt
TC Donna Davenport",8183,0 days 03:20:00,0 days 08:35:00,0 days 13:15:00,0 days 20:28:00,1 days 06:17:00,1 days 11:59:00,1 days 19:14:00,2 days 06:38:00,2 days 13:53:00,2 days 21:56:00,3 days 01:43:00,USCA C-2,"['Richard Wessels', 'David Deal', '']","['Roxanne Gebhardt', 'TC Donna Davenport']",-2.823763907144894e-07,46.88904664501291,85.30284581351368,122.94907330530083,161.07583514735535,185.90289543349033,224.2946296887071,250.5430100967638,266.06332049717383,266.06332049717383,266.06332049717383
68,69,Novice,"Micah Wheeler
Tony Krenz
TC Molly Krenz
TC Ryan Gomer Gross",98,0 days 03:50:00,0 days 09:07:00,0 days 14:09:00,0 days 20:54:00,1 days 06:29:00,1 days 13:03:00,1 days 16:38:00,2 days 03:52:00,2 days 11:43:00,2 days 21:23:00,3 days 02:21:00,Novice,"['Micah Wheeler', 'Tony Krenz', '']","['Molly Krenz', 'TC Ryan Gomer Gross']",-2.823763907144894e-07,44.249014170174604,83.53660024632258,122.1497683185418,162.25326987272626,195.16277902638723,232.79781555176785,252.22620263680284,266.06332049717383,266.06332049717383,266.06332049717383
69,70,Solo Unlimited Man,"Chuck Scheidt
TX Carl Scheidt
TC Buddy Carpenter",1000,0 days 03:32:00,0 days 08:08:00,0 days 13:00:00,0 days 21:24:00,1 days 05:44:00,1 days 20:30:00,1 days 23:35:00,2 days 08:51:00,2 days 15:48:00,2 days 23:09:00,3 days 02:50:00,Solo Unlimited Man,"['Chuck Scheidt', 'TX Carl Scheidt', '']",['Buddy Carpenter'],-2.823763907144894e-07,48.53790235416799,82.6792187097825,124.64394905488773,148.09841788656144,173.0773825590713,215.4830475528434,247.4491966825811,266.06332049717383,266.06332049717383,266.06332049717383
70,71,Solo Unlimited Man,"Alex Taylor
TC Dana Gerber
TC Mandy Bunting",1714,0 days 03:38:00,0 days 08:10:00,0 days 12:22:00,0 days 18:17:00,1 days 04:09:00,1 days 09:43:00,1 days 15:42:00,2 days 03:45:00,2 days 13:10:00,2 days 22:37:00,3 days 02:57:00,Solo Unlimited Man,"['Alex Taylor', '']","['Dana Gerber', 'TC Mandy Bunting']",-2.823763907144894e-07,49.62929580351698,93.4127380926575,135.52874202037336,163.98575122475583,195.96997737477267,228.4664647262208,249.090392874269,266.06332049717383,266.06332049717383,266.06332049717383
71,72,Novice,"Nick Fortenberry
Chuck Emerson
TC AJ Smith
TC Cody Campbell",1986,0 days 03:43:00,0 days 08:45:00,0 days 13:33:00,0 days 22:39:00,1 days 07:54:00,1 days 14:40:00,1 days 20:45:00,2 days 06:19:00,2 days 14:38:00,2 days 23:11:00,3 days 03:06:00,Novice,"['Nick Fortenberry', 'Chuck Emerson', '']","['AJ Smith', 'TC Cody Campbell']",-2.823763907144894e-07,45.99948814952838,79.47581516666571,116.40773943871721,159.61145939877423,184.1767691108,222.54875000747379,247.77419075252567,266.06332049717383,266.06332049717383,266.06332049717383
72,73,Novice,"Morgan O'Hanlon
Karyn Remsing
TC Kellan DiDonato
TC Cole Vallow",420,0 days 03:38:00,0 days 08:20:00,0 days 13:09:00,0 days 23:24:00,1 days 07:21:00,1 days 13:02:00,1 days 21:43:00,2 days 06:20:00,2 days 13:40:00,2 days 22:40:00,3 days 03:10:00,Novice,"[""Morgan O'Hanlon"", 'Karyn Remsing', '']","['Kellan DiDonato', 'TC Cole Vallow']",-2.823763907144894e-07,47.76406397430232,78.43413451666942,117.72658463870897,160.14706823344505,182.18489963419722,225.2924028904884,248.93171368446494,266.06332049717383,266.06332049717383,266.06332049717383
73,74,Unlimited,"Patrick Schreiber
Matt ""Stumpy"" Schreiber
Dan Schreiber
Sean Hoff
TC Dana Schreiber
TC Paulette Schreiber",5603,0 days 04:17:00,0 days 09:25:00,0 days 15:55:00,0 days 23:41:00,1 days 08:48:00,1 days 17:11:00,1 days 20:31:00,2 days 06:31:00,2 days 14:54:00,2 days 23:09:00,3 days 03:21:00,Unlimited,"['Patrick Schreiber', 'Matt ""Stumpy"" Schreiber', 'Dan Schreiber', 'Sean Hoff', '']","['Dana Schreiber', 'TC Paulette Schreiber']",-2.823763907144894e-07,42.481366884893276,74.76775817947704,112.63860955651577,153.76417201414375,184.15953533366104,221.6494173755177,247.75633364944343,266.06332049717383,266.06332049717383,266.06332049717383
74,75,Unlimited,"Kip Jacobson
Nate Jacobson
Joseph Jacobson
TC Charity Jacobson
TC Lisa Jacobson",1836,0 days 03:54:00,0 days 09:03:00,0 days 14:19:00,0 days 22:05:00,1 days 06:43:00,1 days 12:28:00,1 days 15:49:00,2 days 02:09:00,2 days 10:23:00,2 days 22:06:00,3 days 03:35:00,Unlimited,"['Kip Jacobson', 'Nate Jacobson', 'Joseph Jacobson', '']","['Charity Jacobson', 'TC Lisa Jacobson']",-2.823763907144894e-07,44.34966970897239,80.06659686023977,120.94272065137818,163.71001624286578,201.00775093070797,234.75324278349566,250.1110408976774,266.06332049717383,266.06332049717383,266.06332049717383
75,76,Novice,"Bruce Beall
Lee Lichlyter
TC Jennifer Beall
TC Roxanne Lichlyter",6,0 days 03:35:00,0 days 08:23:00,0 days 12:57:00,0 days 19:46:00,1 days 04:20:00,1 days 10:58:00,1 days 15:20:00,2 days 04:07:00,2 days 11:54:00,2 days 22:07:00,3 days 03:41:00,Novice,"['Bruce Beall', 'Lee Lichlyter', '']","['Jennifer Beall', 'TC Roxanne Lichlyter']",-2.823763907144894e-07,47.928842681516855,87.97533491824782,132.72061522308786,165.0361849362538,195.18559237623055,232.44652489001624,250.0591383880093,266.06332049717383,266.06332049717383,266.06332049717383
76,77,Aluminum,"Luke Parker
Leland Parker Out at Gonzales
TC Lauren Parker
TC Marvin Parker",5555,0 days 03:19:00,0 days 07:40:00,0 days 11:40:00,0 days 18:27:00,1 days 02:15:00,1 days 08:37:00,1 days 12:16:00,2 days 00:17:00,2 days 10:54:00,2 days 21:36:00,3 days 03:49:00,Aluminum,"['Luke Parker', 'Leland Parker Out at Gonzales', '']","['Lauren Parker', 'TC Marvin Parker']",-2.823763907144894e-07,52.65583965022297,94.3290973858613,144.41835851428985,175.00012502612572,206.5317816697275,234.12027185187378,251.28115732075088,266.06332049717383,266.06332049717383,266.06332049717383
77,78,Novice,"Walter Golden
Brad Mynatt
TC Ron Popp
TC Collin Rowles",8981,0 days 03:43:00,0 days 08:49:00,0 days 13:47:00,0 days 20:26:00,1 days 06:05:00,1 days 13:11:00,1 days 16:41:00,2 days 04:03:00,2 days 11:08:00,2 days 22:04:00,3 days 03:56:00,Novice,"['Walter Golden', 'Brad Mynatt', '']","['Ron Popp', 'TC Collin Rowles']",-2.823763907144894e-07,45.54266558496459,85.2900421857128,123.69852789847637,162.17239054141214,194.6162754864732,233.69676986240933,250.1548980244059,266.06332049717383,266.06332049717383,266.06332049717383
78,79,Novice,"Claybourne Ross
Travis Salinas
TC Cherylnn Dry
TC Allen Dry",2717,0 days 03:53:00,0 days 08:58:00,0 days 14:01:00,0 days 23:15:00,1 days 07:38:00,1 days 15:08:00,1 days 23:10:00,2 days 11:40:00,2 days 19:47:00,3 days 01:10:00,3 days 05:33:00,Novice,"['Claybourne Ross', 'Travis Salinas', '']","['Cherylnn Dry', 'TC Allen Dry']",-2.823763907144894e-07,44.84934884519246,77.91254879544414,116.79954570638326,159.124736682663,171.7621827426966,202.82812790806918,239.67978351188808,266.06332049717383,266.06332049717383,266.06332049717383
79,80,Novice,"Chad Davis
Sammy Monge
TC Alison Smith
TC Mark Smith",817,0 days 03:50:00,0 days 08:54:00,0 days 14:25:00,0 days 21:05:00,1 days 06:33:00,1 days 13:53:00,1 days 17:34:00,2 days 04:56:00,2 days 13:02:00,3 days 00:02:00,3 days 05:40:00,Novice,"['Chad Davis', 'Sammy Monge', '']","['Alison Smith', 'TC Mark Smith']",-2.823763907144894e-07,44.74165113950531,82.78639140185001,121.86580603283743,161.1660896689095,191.62115436760104,228.3535319405329,246.93841455290783,266.06332049717383,266.06332049717383,266.06332049717383
80,81,Solo Unlimited Man,"Mark Wheeler
TC Steve Smith
TC Steve Goates",1969,0 days 03:55:00,0 days 09:14:00,0 days 13:59:00,0 days 22:22:00,1 days 07:53:00,1 days 14:50:00,1 days 20:50:00,2 days 08:45:00,2 days 17:06:00,3 days 01:16:00,3 days 06:44:00,Solo Unlimited Man,"['Mark Wheeler', '']","['Steve Smith', 'TC Steve Goates']",-2.823763907144894e-07,43.958508385478396,79.70480363769016,116.68589089928483,159.5032918901503,179.73630510926063,213.51755717414355,243.06693082930605,266.06332049717383,266.06332049717383,266.06332049717383
81,82,USCA C-2,"Tom Spillman
Jonathon Spillman
TC Joseph Spillman
TC James Rasco",2112,0 days 04:25:00,0 days 09:56:00,0 days 16:28:00,1 days 02:13:00,1 days 11:50:00,1 days 17:13:00,1 days 22:25:00,2 days 09:30:00,2 days 16:37:00,3 days 01:58:00,3 days 06:56:00,USCA C-2,"['Tom Spillman', 'Jonathon Spillman', '']","['Joseph Spillman', 'TC James Rasco']",-2.823763907144894e-07,40.84180170033975,70.56595648840855,101.54305538099503,150.82533270449372,175.4868460790758,212.35287800629868,242.63070731115374,266.06332049717383,266.06332049717383,266.06332049717383
82,83,Novice,"Ryan McNair
Amy Stansbury
TC Guy Tracy
TC Ashraf ElSharif",47,0 days 03:59:00,0 days 09:23:00,0 days 14:13:00,0 days 21:03:00,1 days 07:19:00,1 days 18:08:00,1 days 22:12:00,2 days 11:05:00,2 days 19:43:00,3 days 02:18:00,3 days 07:40:00,Novice,"['Ryan McNair', 'Amy Stansbury', '']","['Guy Tracy', 'TC Ashraf ElSharif']",-2.823763907144894e-07,43.26142498494901,83.01380662648106,119.26665037956379,151.82210091715143,174.39407216658861,204.8272072970113,238.51143206379137,266.06332049717383,266.06332049717383,266.06332049717383
83,84,Solo Unlimited Man,"BJ Dobbs
TC Crystal Dobbs
TC Anna Brock",6988,0 days 03:44:00,0 days 09:00:00,0 days 13:44:00,0 days 20:34:00,1 days 07:05:00,1 days 15:38:00,1 days 20:49:00,2 days 07:32:00,2 days 21:44:00,3 days 03:56:00,3 days 08:48:00,Solo Unlimited Man,"['BJ Dobbs', '']","['Crystal Dobbs', 'TC Anna Brock']",-2.823763907144894e-07,44.986367862053285,84.83312842352953,120.20169138564995,158.96229382141814,181.66735767641327,211.2250253119116,233.04434370659686,263.4662736558005,266.06332049717383,266.06332049717383
84,85,Aluminum,"Joe Clarke
Albertito Nava
TC George Clarke",5000,0 days 04:09:00,0 days 09:37:00,0 days 15:46:00,0 days 23:15:00,1 days 08:13:00,1 days 16:05:00,1 days 21:39:00,2 days 10:10:00,2 days 19:24:00,3 days 02:29:00,3 days 09:19:00,Aluminum,"['Joe Clarke', 'Albertito Nava', '']",['George Clarke'],-2.823763907144894e-07,41.91629744401445,75.79534245315223,114.85870987741204,158.28603868805928,176.42063062575605,207.66351658720103,238.8753360240013,263.01918042924694,266.06332049717383,266.06332049717383
85,86,Unlimited,"Donovan Sohr
Liam Sohr
Michael Sohr
TC Ciara Sohr
TC Paul Jackson
",3269,0 days 03:42:00,0 days 08:55:00,0 days 14:53:00,0 days 22:15:00,1 days 07:47:00,1 days 13:51:00,1 days 17:14:00,2 days 05:39:00,2 days 21:55:00,3 days 04:42:00,3 days 09:36:00,Unlimited,"['Donovan Sohr', 'Liam Sohr', 'Michael Sohr', '']","['Ciara Sohr', 'TC Paul Jackson', '']",-2.823763907144894e-07,44.37408604402448,79.11002860291882,117.0873713653946,161.43201816991734,190.23771713913476,213.55278279869782,232.4914579703162,260.90456078505804,266.06332049717383,266.06332049717383
86,87,Aluminum,"Jake Bleggi
Burke Collings
TC Kirsten Johnson",1869,0 days 04:06:00,0 days 09:33:00,0 days 14:42:00,0 days 23:00:00,1 days 08:50:00,1 days 17:23:00,1 days 20:50:00,2 days 10:49:00,2 days 22:35:00,3 days 05:21:00,3 days 11:12:00,Aluminum,"['Jake Bleggi', 'Burke Collings', '']",['Kirsten Johnson'],-2.823763907144894e-07,42.43261767734284,77.66921816493986,113.3423898963732,153.04930725930836,177.26663883636832,204.65493070185389,230.74828634265617,257.4212956802961,266.06332049717383,266.06332049717383
