,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cuero 766,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Saltwater Barrier,Seadrift,Class,Competitors,Team Captions,0,600,1200,1800,2400,3000,3600,4200,4800,5400,6000
10,11,"Mixed
1st Adult Youth","Ian Rolls
Adelaide Rolls
TC Brooke Rolls
TC Blane Ellis",7,0 days 02:33:00,0 days 06:25:00,0 days 09:55:00,0 days 14:18:00,0 days 20:28:00,1 days 00:29:00,1 days 02:48:00,1 days 09:20:00,1 days 14:50:00,1 days 18:51:00,1 days 22:08:00,Mixed,"['Ian Rolls', 'Adelaide Rolls', '']","['Brooke Rolls', 'TC Blane Ellis']",-2.823763907144894e-07,61.733681172634164,121.21453340544934,181.90344526185712,237.49693572045044,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
11,12,Womens,"Courtney Martinez
Heather Harrison
TC Ginsie Stauss
TC Shiela Reiter",333,0 days 02:45:00,0 days 06:37:00,0 days 10:03:00,0 days 14:32:00,0 days 20:31:00,1 days 00:36:00,1 days 02:53:00,1 days 09:22:00,1 days 14:52:00,1 days 19:00:00,1 days 22:45:00,Womens,"['Courtney Martinez', 'Heather Harrison', '']","['Ginsie Stauss', 'TC Shiela Reiter']",-2.823763907144894e-07,60.94448780768044,120.81898826589352,181.5536424338647,237.20429782123483,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
12,13,USCA C-1 Man,"Gabe Haarsma
TC David Finley
TC Helena Finlay",38,0 days 02:54:00,0 days 06:49:00,0 days 10:26:00,0 days 15:06:00,0 days 21:07:00,1 days 01:08:00,1 days 03:28:00,1 days 10:22:00,1 days 15:54:00,1 days 19:40:00,1 days 23:04:00,USCA C-1 Man,"['Gabe Haarsma', '']","['David Finley', 'TC Helena Finlay']",-2.823763907144894e-07,58.77489386165382,117.14174087200284,177.17654053116615,232.74812141318984,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
13,14,Unlimited,"Alexandre Leonard
Yusuf Johnson
Cohl Brazil
Jhet Brazil
TC Leonard Philippe
TC Doug Brazil",121,0 days 02:35:00,0 days 06:25:00,0 days 09:52:00,0 days 14:18:00,0 days 20:09:00,1 days 00:22:00,1 days 02:43:00,1 days 08:45:00,1 days 14:12:00,1 days 19:37:00,1 days 23:32:00,Unlimited,"['Alexandre Leonard', 'Yusuf Johnson', 'Cohl Brazil', 'Jhet Brazil', '']","['Leonard Philippe', 'TC Doug Brazil']",-2.823763907144894e-07,62.01825762248208,123.06843577937062,184.00018997788447,238.25001651924723,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
14,15,Mixed,"Virginia Condie
Shawn Boyett
TC Debbie Richardson
TC Iliana Pena",5,0 days 02:33:00,0 days 06:06:00,0 days 09:17:00,0 days 13:16:00,0 days 18:36:00,0 days 22:16:00,1 days 00:23:00,1 days 06:25:00,1 days 11:13:00,1 days 14:52:00,1 days 23:57:00,Mixed,"['Virginia Condie', 'Shawn Boyett', '']","['Debbie Richardson', 'TC Iliana Pena']",-2.823763907144894e-07,65.87238817132948,137.24255252489525,198.90554619751939,252.2358330256965,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
15,16,USCA C-2,"Brandon Stafford
Bill Stafford
Joseph Bitterly
TC Wade Stafford",29,0 days 02:51:00,0 days 06:50:00,0 days 10:27:00,0 days 15:07:00,0 days 21:20:00,1 days 01:38:00,1 days 04:05:00,1 days 10:58:00,1 days 16:48:00,1 days 21:33:00,2 days 00:43:00,USCA C-2,"['Brandon Stafford', 'Bill Stafford', 'Joseph Bitterly', '']",['Wade Stafford'],-2.823763907144894e-07,58.67990207570664,116.07160751030185,173.7579778028185,228.0596766790577,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
16,17,Mixed,"Libby Geisinger
Matt Sandel
TC Mary Geisinger
TC Eric Whicker",314,0 days 02:47:00,0 days 06:47:00,0 days 10:22:00,0 days 14:57:00,0 days 21:15:00,1 days 01:35:00,1 days 04:03:00,1 days 10:58:00,1 days 16:56:00,1 days 21:25:00,2 days 00:45:00,Mixed,"['Libby Geisinger', 'Matt Sandel', '']","['Mary Geisinger', 'TC Eric Whicker']",-2.823763907144894e-07,59.13542082599289,116.666835806633,173.8919982324484,227.46766640580557,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
17,18,Unlimited,"Chris Bailey
Will Leeds
Dave Carlson
Mike Dey
Ron Henk out at Palmetto
TC James Shuler
TC Bryon Sarmiento",247,0 days 02:33:00,0 days 06:27:00,0 days 09:59:00,0 days 14:43:00,0 days 20:47:00,1 days 00:58:00,1 days 03:18:00,1 days 10:11:00,1 days 15:42:00,1 days 22:34:00,2 days 01:22:00,Unlimited,"['Chris Bailey', 'Will Leeds', 'Dave Carlson', 'Mike Dey', 'Ron Henk out at Palmetto', '']","['James Shuler', 'TC Bryon Sarmiento']",-2.823763907144894e-07,61.335248768450235,119.23426194410905,178.14399874230082,233.05655400316274,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
18,19,Solo Unlimited Man,"Keifer Mauldin
TC Brittany Jeffus
TC Carol Hielckert",414,0 days 02:35:00,0 days 06:24:00,0 days 09:56:00,0 days 15:52:00,0 days 22:13:00,1 days 03:18:00,1 days 05:34:00,1 days 11:56:00,1 days 17:11:00,1 days 22:09:00,2 days 01:26:00,Solo Unlimited Man,"['Keifer Mauldin', '']","['Brittany Jeffus', 'TC Carol Hielckert']",-2.823763907144894e-07,61.533685308597384,111.08420460701376,165.64943335460094,225.3499990468307,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
19,20,Solo Unlimited Woman,"Salli O'Donnell
TC Mike Malone
TC Joe Frohock",5353,0 days 02:50:00,0 days 06:42:00,0 days 10:19:00,0 days 15:02:00,0 days 21:05:00,1 days 01:26:00,1 days 03:48:00,1 days 10:54:00,1 days 17:11:00,1 days 22:25:00,2 days 01:50:00,Solo Unlimited Woman,"[""Salli O'Donnell"", '']","['Mike Malone', 'TC Joe Frohock']",-2.823763907144894e-07,59.43983636328409,117.38377462319255,174.96850380978978,226.4881019166152,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
