,,,,,,,,,2023 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4th Unlimited,"Brenda Jones
Ed Joes
Keifer Mauldin
Adam Sims

TC Tonya Jones
TC Amanda Adcock",4444, ,11:51:00,,16:04:00,,19:49:00,,0:06:00,,7:03:00,,11:42:00,,14:26:00,,22:02:00,,4:59:00,,9:21:00,,12:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,2:51:00,15,4:13:00,11,3:45:00,7,4:17:00,10,6:57:00,10,4:39:00,8,2:44:00,10,7:36:00,11,6:57:00,7,4:22:00,4,3:22:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,13,2:51:00,14,7:04:00,13,10:49:00,10,15:06:00,10,22:03:00,9,26:42:00,9,29:26:00,9,37:02:00,9,43:59:00,9,48:21:00,7,51:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2nd Tandem Unlimited,"Patrick McCarthy
Will Leeds

TC Kayla Daniels
TC Scott Cummins",1116, ,11:46:00,,15:53:00,,19:32:00,,23:44:00,,6:21:00,,11:02:00,,13:46:00,,21:17:00,,3:47:00,,8:26:00,,12:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,2:46:00,12,4:07:00,9,3:39:00,5,4:12:00,7,6:37:00,12,4:41:00,9,2:44:00,9,7:31:00,8,6:30:00,11,4:39:00,14,4:21:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,9,2:46:00,11,6:53:00,10,10:32:00,7,14:44:00,7,21:21:00,7,26:02:00,7,28:46:00,7,36:17:00,7,42:47:00,6,47:26:00,8,51:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5th Unlimited,"David Kaiser
Cohl Brazil
Jhet Brazil
Yusuf Johnson
Sam Hanna
Alex Leonard

TC Matt Sandel
TC Max Dugas",123, ,11:50:00,,15:49:00,,19:28:00,,23:46:00,,6:44:00,,11:02:00,,13:57:00,,21:57:00,,4:59:00,,9:46:00,,13:23:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,2:50:00,6,3:59:00,8,3:39:00,9,4:18:00,12,6:58:00,7,4:18:00,16,2:55:00,12,8:00:00,13,7:02:00,17,4:47:00,6,3:37:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,11,2:50:00,9,6:49:00,7,10:28:00,9,14:46:00,8,21:44:00,7,26:02:00,8,28:57:00,8,36:57:00,9,43:59:00,10,48:46:00,9,52:23:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6th Unlimited,"Heather Harrison
Courtney Martinez
Wendell Smith
Bobby Smart

TC Mark Miller
TC Ryan Henk",333, ,11:53:00,,15:52:00,,19:28:00,,23:45:00,,6:16:00,,10:27:00,,13:01:00,,20:26:00,,3:24:00,,8:38:00,,13:51:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,2:53:00,7,3:59:00,7,3:36:00,8,4:17:00,5,6:31:00,5,4:11:00,5,2:34:00,8,7:25:00,12,6:58:00,22,5:14:00,20,5:13:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,14,2:53:00,10,6:52:00,7,10:28:00,8,14:45:00,6,21:16:00,6,25:27:00,6,28:01:00,6,35:26:00,6,42:24:00,7,47:38:00,10,52:51:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"2nd USCA C-2
1st Masters","Jimmy MacMillan
Garrett Jones

TC Ben Horsey
TC Brandon Thompson",195, ,12:00:00,,16:16:00,,20:13:00,,0:54:00,,7:53:00,,12:43:00,,16:30:00,,23:25:00,,5:46:00,,10:28:00,,14:01:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,18,3:00:00,18,4:16:00,18,3:57:00,18,4:41:00,13,6:59:00,17,4:50:00,51,3:47:00,6,6:55:00,7,6:21:00,13,4:42:00,5,3:33:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,18,3:00:00,19,7:16:00,19,11:13:00,18,15:54:00,16,22:53:00,16,27:43:00,19,31:30:00,13,38:25:00,11,44:46:00,11,49:28:00,11,53:01:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
