,,,,,,,,,,,,2009 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,,
,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,
Position,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Zedler,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,,,,,,
,,,,,36,3:52:00,45,5:40:00,37,1:23:00,33,4:33:00,26,7:57:00,32,9:55:00,37,7:40:00,25,3:55:00,23,12:03:00,44,10:42:00,24,6:50:00,43,10:12:00,,,,,
,,,,,36,3:52:00,40,9:32:00,40,10:55:00,34,15:28:00,33,23:25:00,30,33:20:00,28,41:00:00,25,44:55:00,25,56:58:00,27,67:40:00,26,74:30:00,29,84:42:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2nd Womens,343,"Samantha Hilker
Mollie Binion
Pauline Tice",9:00, ,13:52:00,,18:55:00,,20:10:00,,0:41:00,,8:17:00,,18:22:00,,4:22:00,,8:29:00,,20:54:00,,9:54:00,,15:50:00,,21:52:00,,,,,
,,,,,78,4:52:00,27,5:03:00,22,1:15:00,32,4:31:00,25,7:36:00,34,10:05:00,49,10:00:00,31,4:07:00,25,12:25:00,51,13:00:00,16,5:56:00,15,6:02:00,,,,,
,,,,,78,4:52:00,50,9:55:00,43,11:10:00,38,15:41:00,30,23:17:00,31,33:22:00,33,43:22:00,33,47:29:00,31,59:54:00,32,72:54:00,31,78:50:00,30,84:52:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,5th Aluminum,1620,"Grant Jacob
Hoyt Moss
TC - Charles Chapman",9:00, ,13:02:00,,18:38:00,,20:06:00,,0:51:00,,9:57:00,,19:40:00,,1:52:00,,5:22:00,,16:40:00,,4:27:00,,13:37:00,,22:18:00,,,,,
,,,,,47,4:02:00,41,5:36:00,50,1:28:00,38,4:45:00,45,9:06:00,31,9:43:00,21,6:12:00,19,3:30:00,22,11:18:00,50,11:47:00,43,9:10:00,41,8:41:00,,,,,
,,,,,47,4:02:00,42,9:38:00,42,11:06:00,40,15:51:00,38,24:57:00,37,34:40:00,27,40:52:00,24,44:22:00,22,55:40:00,25,67:27:00,28,76:37:00,31,85:18:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1st C-1,25,"Bobby Snyder
TC - Tim Anglin",9:00, ,12:28:00,,17:39:00,,19:00:00,,1:23:00,,8:20:00,,18:18:00,,6:48:00,,11:27:00,,3:30:00,,13:00:00,,19:10:00,,1:39:00,,,,,
,,,,,24,3:28:00,29,5:11:00,31,1:21:00,49,6:23:00,18,6:57:00,33,9:58:00,56,12:30:00,40,4:39:00,48,16:03:00,33,9:30:00,19,6:10:00,21,6:29:00,,,,,
,,,,,24,3:28:00,26,8:39:00,26,10:00:00,42,16:23:00,32,23:20:00,29,33:18:00,36,45:48:00,37,50:27:00,34,66:30:00,34,76:00:00,32,82:10:00,32,88:39:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,5th Unlimited,5121,"Michael Foroobar
Michael Holt
Andrew Michaels
Matthew Chasen
TC - Caitlin Marr",9:00, ,13:36:00,,19:52:00,,22:04:00,,7:16:00,,16:15:00,,6:37:00,,13:24:00,,17:28:00,,6:48:00,,15:24:00,,23:20:00,,6:54:00,,,,,
,,,,,68,4:36:00,67,6:16:00,75,2:12:00,60,9:12:00,42,8:59:00,53,14:22:00,24,6:47:00,29,4:04:00,29,13:20:00,22,8:36:00,35,7:56:00,35,7:34:00,,,,,
,,,,,68,4:36:00,70,10:52:00,74,13:04:00,69,22:16:00,62,31:15:00,57,45:37:00,52,52:24:00,50,56:28:00,40,69:48:00,38,78:24:00,35,86:20:00,33,93:54:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4th Novice,9214,"Parker Richardson
Celeste Richardson
TC - Lisa Calliham",9:00, ,12:53:00,,18:22:00,,19:53:00,,0:43:00,,11:00:00,,21:47:00,,8:05:00,,13:14:00,,4:56:00,,15:34:00,,23:50:00,,8:09:00,,,,,
,,,,,38,3:53:00,38,5:29:00,57,1:31:00,40,4:50:00,60,10:17:00,39,10:47:00,50,10:18:00,47,5:09:00,47,15:42:00,43,10:38:00,36,8:16:00,39,8:19:00,,,,,
,,,,,38,3:53:00,36,9:22:00,38,10:53:00,39,15:43:00,40,26:00:00,40,36:47:00,38,47:05:00,39,52:14:00,37,67:56:00,39,78:34:00,36,86:50:00,34,95:09:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,5th Novice,5984,"Ed Jones
Brian Jones
TC - Brenda Jones",9:00, ,13:06:00,,18:57:00,,20:21:00,,6:39:00,,14:10:00,,2:35:00,,11:35:00,,16:56:00,,8:11:00,,17:14:00,,2:45:00,,8:32:00,,,,,
,,,,,50,4:06:00,48,5:51:00,39,1:24:00,71,10:18:00,23,7:31:00,48,12:25:00,42,9:00:00,48,5:21:00,39,15:15:00,25,9:03:00,47,9:31:00,13,5:47:00,,,,,
,,,,,50,4:06:00,51,9:57:00,51,11:21:00,63,21:39:00,49,29:10:00,47,41:35:00,43,50:35:00,46,55:56:00,47,71:11:00,43,80:14:00,44,89:45:00,35,95:32:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6th Aluminum,1944,"Greg Wynn
David Furlow
TC - Stacey Wynn",9:00, ,13:36:00,,19:32:00,,20:58:00,,3:00:00,,12:04:00,,21:46:00,,9:18:00,,13:12:00,,4:40:00,,14:50:00,,20:48:00,,8:35:00,,,,,
,,,,,68,4:36:00,53,5:56:00,43,1:26:00,47,6:02:00,44,9:04:00,30,9:42:00,53,11:32:00,24,3:54:00,42,15:28:00,39,10:10:00,17,5:58:00,46,11:47:00,,,,,
,,,,,68,4:36:00,62,10:32:00,58,11:58:00,49,18:00:00,43,27:04:00,39,36:46:00,40,48:18:00,38,52:12:00,36,67:40:00,37,77:50:00,34,83:48:00,36,95:35:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7th Tandem,5841,"Harry Leuzinger
Matthew Walden
TC - Celeste Leuzinger",9:00, ,13:01:00,,18:39:00,,20:12:00,,5:19:00,,15:31:00,,5:27:00,,12:27:00,,16:48:00,,8:05:00,,17:12:00,,2:25:00,,8:38:00,,,,,
,,,,,45,4:01:00,43,5:38:00,60,1:33:00,59,9:07:00,59,10:12:00,51,13:56:00,29,7:00:00,34,4:21:00,40,15:17:00,26,9:07:00,44,9:13:00,16,6:13:00,,,,,
,,,,,45,4:01:00,43,9:39:00,44,11:12:00,56,20:19:00,55,30:31:00,52,44:27:00,48,51:27:00,45,55:48:00,43,71:05:00,42,80:12:00,42,89:25:00,37,95:38:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,6th Unlimited,614,"KC Boren
KC Boren II
Jenni Boren
TC - Ruth Boren",9:00, ,13:16:00,,19:21:00,,20:48:00,,5:05:00,,14:51:00,,6:30:00,,12:21:00,,16:28:00,,8:08:00,,16:38:00,,0:59:00,,8:46:00,,,,,
,,,,,58,4:16:00,59,6:05:00,47,1:27:00,56,8:17:00,52,9:46:00,59,15:39:00,19,5:51:00,30,4:07:00,46,15:40:00,21,8:30:00,38,8:21:00,36,7:47:00,,,,,
,,,,,58,4:16:00,57,10:21:00,55,11:48:00,55,20:05:00,53,29:51:00,56,45:30:00,46,51:21:00,43,55:28:00,44,71:08:00,41,79:38:00,40,87:59:00,38,95:46:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1st Mixed,5155,"Chuck McHenry
Diane McHenry
TC - Charles Bruns",9:00, ,12:45:00,,18:05:00,,19:25:00,,0:13:00,,8:19:00,,18:30:00,,4:22:00,,8:46:00,,23:54:00,,11:23:00,,2:25:00,,8:56:00,,,,,
,,,,,30,3:45:00,32,5:20:00,30,1:20:00,39,4:48:00,29,8:06:00,35,10:11:00,47,9:52:00,38,4:24:00,38,15:08:00,48,11:29:00,51,15:02:00,23,6:31:00,,,,,
,,,,,30,3:45:00,31,9:05:00,31,10:25:00,33,15:13:00,31,23:19:00,32,33:30:00,33,43:22:00,34,47:46:00,33,62:54:00,33,74:23:00,42,89:25:00,39,95:56:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9th Solo,2741,"Ryan Roye
TC - William Roye",9:00, ,13:24:00,,18:57:00,,20:15:00,,6:49:00,,16:00:00,,7:30:00,,14:45:00,,18:41:00,,8:10:00,,18:03:00,,4:36:00,,9:02:00,,,,,
,,,,,65,4:24:00,40,5:33:00,28,1:18:00,74,10:34:00,47,9:11:00,57,15:30:00,32,7:15:00,26,3:56:00,32,13:29:00,36,9:53:00,50,10:33:00,6,4:26:00,,,,,
,,,,,65,4:24:00,51,9:57:00,45,11:15:00,65,21:49:00,60,31:00:00,60,46:30:00,56,53:45:00,55,57:41:00,46,71:10:00,45,81:03:00,51,91:36:00,40,96:02:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7th Unlimited,38,"Aaron Sinkar
Corbett Consolvo
Juan Morales
TC - Holly Sinkar",9:00, ,13:15:00,,19:32:00,,20:55:00,,7:08:00,,14:40:00,,6:50:00,,13:49:00,,18:06:00,,8:50:00,,18:11:00,,4:12:00,,9:49:00,,,,,
,,,,,56,4:15:00,69,6:17:00,35,1:23:00,69,10:13:00,24,7:32:00,60,16:10:00,28,6:59:00,33,4:17:00,36,14:44:00,31,9:21:00,49,10:01:00,11,5:37:00,,,,,
,,,,,56,4:15:00,62,10:32:00,57,11:55:00,68,22:08:00,51,29:40:00,58,45:50:00,54,52:49:00,54,57:06:00,49,71:50:00,47,81:11:00,47,91:12:00,41,96:49:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2nd Standard,6474,"Nick Hofmann
Ed McQueen
TC - Jeff McQueen",9:00, ,12:47:00,,18:34:00,,20:02:00,,3:55:00,,14:05:00,,3:43:00,,12:02:00,,17:44:00,,6:45:00,,15:57:00,,0:30:00,,9:51:00,,,,,
,,,,,31,3:47:00,46,5:47:00,50,1:28:00,53,7:53:00,58,10:10:00,50,13:38:00,39,8:19:00,54,5:42:00,27,13:01:00,27,9:12:00,39,8:33:00,42,9:21:00,,,,,
,,,,,31,3:47:00,41,9:34:00,41,11:02:00,52,18:55:00,48,29:05:00,49,42:43:00,45,51:02:00,52,56:44:00,39,69:45:00,40,78:57:00,37,87:30:00,42,96:51:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,6th Novice,100,"Cade Horton
David Garza
TC - Jason George",9:00, ,13:18:00,,19:40:00,,21:09:00,,1:42:00,,13:09:00,,4:48:00,,12:41:00,,17:05:00,,8:08:00,,18:04:00,,3:08:00,,10:07:00,,,,,
,,,,,59,4:18:00,73,6:22:00,54,1:29:00,33,4:33:00,64,11:27:00,58,15:39:00,38,7:53:00,37,4:24:00,37,15:03:00,37,9:56:00,42,9:04:00,30,6:59:00,,,,,
,,,,,59,4:18:00,66,10:40:00,67,12:09:00,45,16:42:00,46,28:09:00,51,43:48:00,49,51:41:00,47,56:05:00,44,71:08:00,46,81:04:00,46,90:08:00,43,97:07:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,8th Unlimited,6006,"Jill Cowart
Jerry Cowart
Lorne Brandt
Michelle Brandt
TC - Gilbert Garza",9:00, ,13:15:00,,19:40:00,,21:05:00,,6:45:00,,16:36:00,,4:22:00,,13:18:00,,17:08:00,,10:12:00,,17:56:00,,1:40:00,,10:10:00,,,,,
,,,,,56,4:15:00,75,6:25:00,40,1:25:00,64,9:40:00,53,9:51:00,46,11:46:00,41,8:56:00,23,3:50:00,52,17:04:00,14,7:44:00,34,7:44:00,40,8:30:00,,,,,
,,,,,56,4:15:00,66,10:40:00,63,12:05:00,64,21:45:00,64,31:36:00,50,43:22:00,51,52:18:00,48,56:08:00,52,73:12:00,44,80:56:00,41,88:40:00,44,97:10:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,10th Solo,327,"Andrew Brown
TC - Jennifer Brown",9:00, ,13:05:00,,18:54:00,,20:19:00,,1:48:00,,12:23:00,,22:40:00,,9:35:00,,14:40:00,,7:26:00,,18:50:00,,3:07:00,,10:33:00,,,,,
,,,,,49,4:05:00,47,5:49:00,41,1:25:00,45,5:29:00,62,10:35:00,36,10:17:00,51,10:55:00,46,5:05:00,51,16:46:00,47,11:24:00,37,8:17:00,34,7:26:00,,,,,
,,,,,49,4:05:00,49,9:54:00,48,11:19:00,46,16:48:00,44,27:23:00,43,37:40:00,41,48:35:00,41,53:40:00,42,70:26:00,48,81:50:00,45,90:07:00,45,97:33:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,9th Unlimited,3007,"James Dauman
Jean-Marc Laventure
Simon Dowker
TC - Charlotte Dauman",9:00, ,13:11:00,,19:27:00,,21:04:00,,6:56:00,,16:00:00,,6:08:00,,13:29:00,,17:43:00,,10:11:00,,19:34:00,,4:36:00,,10:55:00,,,,,
,,,,,53,4:11:00,66,6:16:00,65,1:37:00,66,9:52:00,43,9:04:00,52,14:08:00,33,7:21:00,32,4:14:00,49,16:28:00,32,9:23:00,41,9:02:00,19,6:19:00,,,,,
,,,,,53,4:11:00,58,10:27:00,62,12:04:00,66,21:56:00,61,31:00:00,54,45:08:00,53,52:29:00,51,56:43:00,51,73:11:00,51,82:34:00,51,91:36:00,46,97:55:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,11th Solo,333,"Rhett Stuman
TC - Jaqueline Stuman",9:00, ,13:23:00,,19:19:00,,20:59:00,,3:06:00,,15:32:00,,2:30:00,,13:54:00,,18:49:00,,10:12:00,,19:44:00,,4:30:00,,10:57:00,,,,,
,,,,,64,4:23:00,52,5:56:00,71,1:40:00,48,6:07:00,67,12:26:00,42,10:58:00,52,11:24:00,44,4:55:00,41,15:23:00,34,9:32:00,40,8:46:00,20,6:27:00,,,,,
,,,,,64,4:23:00,56,10:19:00,59,11:59:00,50,18:06:00,56,30:32:00,46,41:30:00,55,52:54:00,56,57:49:00,52,73:12:00,52,82:44:00,50,91:30:00,47,97:57:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,7th Aluminum,762,"David Walker
Trevor Crone
TC - Shannon Larsen",9:00, ,13:12:00,,19:12:00,,20:51:00,,2:30:00,,14:10:00,,2:35:00,,12:25:00,,17:17:00,,8:52:00,,19:01:00,,4:23:00,,11:00:00,,,,,
,,,,,55,4:12:00,54,6:00:00,70,1:39:00,46,5:39:00,66,11:40:00,48,12:25:00,46,9:50:00,42,4:52:00,43,15:35:00,38,10:09:00,46,9:22:00,25,6:37:00,,,,,
,,,,,55,4:12:00,54,10:12:00,56,11:51:00,47,17:30:00,49,29:10:00,47,41:35:00,47,51:25:00,49,56:17:00,50,71:52:00,49,82:01:00,48,91:23:00,48,98:00:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,7th Novice,52,"Timothy Osburn
Steve Dailey
TC - Melinda Osburn",9:00, ,12:58:00,,18:50:00,,20:20:00,,1:25:00,,12:00:00,,23:03:00,,11:06:00,,16:41:00,,8:18:00,,19:03:00,,4:25:00,,11:02:00,,,,,
,,,,,43,3:58:00,49,5:52:00,56,1:30:00,44,5:05:00,63,10:35:00,43,11:03:00,55,12:03:00,53,5:35:00,45,15:37:00,45,10:45:00,45,9:22:00,25,6:37:00,,,,,
,,,,,43,3:58:00,46,9:50:00,50,11:20:00,43,16:25:00,42,27:00:00,44,38:03:00,42,50:06:00,44,55:41:00,48,71:18:00,50,82:03:00,49,91:25:00,49,98:02:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"8th Aluminum
1st P/C",4016,"Gary Gibson
Kristen Gibson
TC - Aaron Gibson",9:00, ,12:47:00,,18:24:00,,19:52:00,,0:35:00,,9:32:00,,18:59:00,,1:40:00,,6:11:00,,19:24:00,,9:00:00,,24:35:00,,12:06:00,,,,,
,,,,,31,3:47:00,42,5:37:00,53,1:28:00,35,4:43:00,41,8:57:00,27,9:27:00,23,6:41:00,39,4:31:00,28,13:13:00,52,13:36:00,52,15:35:00,44,11:31:00,,,,,
,,,,,31,3:47:00,38,9:24:00,36,10:52:00,36,15:35:00,37,24:32:00,34,33:59:00,26,40:40:00,28,45:11:00,28,58:24:00,31,72:00:00,38,87:35:00,50,99:06:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Women's Solo,504,"Ginsie Stauss
TC - Butch Bailey",9:00, ,12:48:00,,17:43:00,,19:00:00,,23:23:00,,7:45:00,,18:59:00,,6:48:00,,10:51:00,,3:30:00,,13:15:00,,19:25:00,,,,,,,
,,,,,33,3:48:00,21,4:55:00,27,1:17:00,28,4:23:00,35,8:22:00,45,11:14:00,54,11:49:00,28,4:03:00,50,16:39:00,35,9:45:00,18,6:10:00,,,,,,,
,,,,,33,3:48:00,27,8:43:00,26,10:00:00,26,14:23:00,25,22:45:00,35,33:59:00,36,45:48:00,36,49:51:00,34,66:30:00,35,76:15:00,33,82:25:00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo ,33,"Charlie Stewart
TC - Courtney Belk",9:00, ,12:23:00,,17:24:00,,18:51:00,,2:45:00,,13:06:00,,6:03:00,,11:49:00,,15:30:00,,5:51:00,,14:49:00,,0:35:00,,,,,,,
,,,,,22,3:23:00,25,5:01:00,49,1:27:00,54,7:54:00,61,10:21:00,61,16:57:00,18,5:46:00,21,3:41:00,34,14:21:00,24,8:58:00,48,9:46:00,,,,,,,
,,,,,22,3:23:00,22,8:24:00,25,9:51:00,48,17:45:00,45,28:06:00,53,45:03:00,44,50:49:00,42,54:30:00,38,68:51:00,36,77:49:00,39,87:35:00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,2780,"James Ward
TC - Janet Ward",9:00, ,13:06:00, ,19:11:00,,20:37:00,,1:32:00,,10:40:00, ,22:34:00,,8:31:00,,13:32:00,,6:57:00, ,, ,,,,,,,,
,,,,,50,4:06:00,60,6:05:00,44,1:26:00,43,4:55:00,46,9:08:00,47,11:54:00,48,9:57:00,45,5:01:00,53,17:25:00,,,,,,,,,,,
,,,,,50,4:06:00,53,10:11:00,54,11:37:00,44,16:32:00,39,25:40:00,42,37:34:00,39,47:31:00,40,52:32:00,41,69:57:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,C2,106,"Liam Price
Edoh Amarin
TC - Michael Vandeveer",9:00, ,12:12:00,,16:51:00,,18:00:00,,21:19:00,,3:39:00,,11:25:00,,16:57:00,,20:06:00, ,,,,,,,,,,,,
,,,,,15,3:12:00,16,4:39:00,14,1:09:00,14,3:19:00,14,6:20:00,11,7:46:00,15,5:32:00,15,3:09:00,,,,,,,,,,,,,
,,,,,15,3:12:00,15,7:51:00,17,9:00:00,15,12:19:00,16,18:39:00,15,26:25:00,15,31:57:00,15,35:06:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Aluminum,127,"Matthew Persyn
Cody Ackermann
TC - Bob Persyn",9:00, ,13:01:00,,18:22:00,,19:53:00,,0:11:00,,9:25:00,,18:58:00,,2:23:00,,8:50:00,,,,,,,,,,,,,
,,,,,45,4:01:00,33,5:21:00,57,1:31:00,27,4:18:00,48,9:14:00,29,9:33:00,34,7:25:00,56,6:27:00,,,,,,,,,,,,,
,,,,,45,4:01:00,36,9:22:00,38,10:53:00,32,15:11:00,35,24:25:00,33,33:58:00,29,41:23:00,35,47:50:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Aluminum,2112,"Mike Smith
Eddie De la Rosa
TC - Daniel Huebner",9:00, ,13:20:00,,19:32:00,,20:59:00,,6:00:00,,15:39:00,,6:11:00,,13:15:00,,17:58:00, ,,,,,,,,,,,,
,,,,,62,4:20:00,64,6:12:00,46,1:27:00,58,9:01:00,50,9:39:00,54,14:32:00,30,7:04:00,41,4:43:00,,,,,,,,,,,,,
,,,,,62,4:20:00,62,10:32:00,59,11:59:00,58,21:00:00,58,30:39:00,55,45:11:00,50,52:15:00,53,56:58:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Solo,9969,"Michael McGuire
TC - Michael McGuire",9:00, ,13:03:00,,18:41:00,,20:15:00,,6:37:00,,16:33:00,,7:25:00,,,,,,,,,,,,,,,,,
,,,,,48,4:03:00,44,5:38:00,61,1:34:00,72,10:22:00,56,9:56:00,55,14:52:00,,,,,,,,,,,,,,,,,
,,,,,48,4:03:00,44,9:41:00,45,11:15:00,62,21:37:00,63,31:33:00,59,46:25:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,C-1,620,"Zoltan Mraz
TC - Shawn Faris",9:00, ,13:00:00,,18:52:00,,20:19:00,,6:29:00,,14:50:00,,8:33:00,,,,,,,,,,,,,,,,,
,,,,,44,4:00:00,49,5:52:00,47,1:27:00,68,10:10:00,34,8:21:00,63,17:43:00,,,,,,,,,,,,,,,,,
,,,,,44,4:00:00,47,9:52:00,48,11:19:00,60,21:29:00,52,29:50:00,61,47:33:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,C-1,1007,"Mic Grogan
TC - Steven Fonville",9:00, ,13:25:00,,19:31:00,,21:06:00,,4:07:00,,15:37:00,,9:22:00,,,,,,,,,,,,,,,,,
,,,,,66,4:25:00,61,6:06:00,63,1:35:00,50,7:01:00,65,11:30:00,64,17:45:00,,,,,,,,,,,,,,,,,
,,,,,66,4:25:00,61,10:31:00,65,12:06:00,53,19:07:00,57,30:37:00,62,48:22:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Unlimited,3734,"Brian Frey
Sarah Frey
Erich Frey
TC - Chelsea Rumbo",9:00, ,13:45:00,,19:45:00,,21:25:00,,8:50:00,,18:45:00,,9:42:00,,,,,,,,,,,,,,,,,
,,,,,73,4:45:00,54,6:00:00,72,1:40:00,76,11:25:00,54,9:55:00,56,14:57:00,,,,,,,,,,,,,,,,,
,,,,,73,4:45:00,68,10:45:00,68,12:25:00,75,23:50:00,68,33:45:00,63,48:42:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Tandem,701,"Michael Felchak
Emmett Rhoden
TC - Jason Jones",9:00, ,12:15:00,,17:15:00,,18:30:00,,22:18:00,,5:48:00,,16:41:00,,,,,,,,,,,,,,,,,
,,,,,18,3:15:00,24,5:00:00,23,1:15:00,17,3:48:00,22,7:30:00,41,10:53:00,,,,,,,,,,,,,,,,,
,,,,,18,3:15:00,20,8:15:00,21,9:30:00,20,13:18:00,19,20:48:00,24,31:41:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,793,"Matt Riley
Chase Ganschow (out at Gonzales)
TC - Mike Riley",9:00, ,12:53:00,,18:53:00,,20:31:00,,1:22:00,,11:22:00,,22:13:00,,,,,,,,,,,,,,,,,
,,,,,38,3:53:00,54,6:00:00,67,1:38:00,42,4:51:00,57,10:00:00,40,10:51:00,,,,,,,,,,,,,,,,,
,,,,,38,3:53:00,48,9:53:00,52,11:31:00,41,16:22:00,41,26:22:00,41,37:13:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,2525,"Carl Ruschhaupt
Gary Curry
TC - Rita Burke",9:00, ,13:11:00,,19:29:00,,21:08:00,,4:15:00,,13:54:00,,0:20:00,,,,,,,,,,,,,,,,,
,,,,,53,4:11:00,70,6:18:00,69,1:39:00,51,7:07:00,50,9:39:00,38,10:26:00,,,,,,,,,,,,,,,,,
,,,,,53,4:11:00,60,10:29:00,66,12:08:00,54,19:15:00,47,28:54:00,45,39:20:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,1824,"Kasey Magee
Zack Magee
TC - Italo Pezzi",9:00, ,13:45:00,,20:14:00,,22:25:00,,7:05:00,,17:00:00,,9:59:00,,,,,,,,,,,,,,,,,
,,,,,73,4:45:00,77,6:29:00,74,2:11:00,57,8:40:00,55,9:55:00,62,16:59:00,,,,,,,,,,,,,,,,,
,,,,,73,4:45:00,78,11:14:00,75,13:25:00,67,22:05:00,66,32:00:00,64,48:59:00,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,212,"David Smith
Erdal Okumus
TC - James Barecky",9:00, ,13:37:00,,19:54:00,,21:31:00,,8:17:00,,16:45:00,,,,,,,,,,,,,,,,,,,
,,,,,70,4:37:00,68,6:17:00,65,1:37:00,75,10:46:00,36,8:28:00,,,,,,,,,,,,,,,,,,,
,,,,,70,4:37:00,71,10:54:00,69,12:31:00,73,23:17:00,65,31:45:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,C-2,9,"Stacy Greer
Jon Schoepflin
TC - Warren Moorman",9:00, ,12:56:00,,18:49:00,,20:18:00,,3:54:00,,17:48:00,,,,,,,,,,,,,,,,,,,
,,,,,40,3:56:00,51,5:53:00,55,1:29:00,52,7:36:00,68,13:54:00,,,,,,,,,,,,,,,,,,,
,,,,,40,3:56:00,45,9:49:00,47,11:18:00,51,18:54:00,67,32:48:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Novice,565,"Randy Haynes
Todd Ford
TC - Allan Batchelor",9:00, ,13:20:00,,19:35:00,,21:03:00,,6:15:00,,14:59:00,,,,,,,,,,,,,,,,,,,
,,,,,62,4:20:00,65,6:15:00,50,1:28:00,60,9:12:00,38,8:44:00,,,,,,,,,,,,,,,,,,,
,,,,,62,4:20:00,65,10:35:00,61,12:03:00,59,21:15:00,54,29:59:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,Unlimited,121,"Quanah Martin
James Martin
Michael Martin 
TC - Shannon Martin",9:00, ,13:18:00,,19:27:00,,21:05:00,,6:33:00,,15:56:00,,,,,,,,,,,,,,,,,,,
,,,,,59,4:18:00,62,6:09:00,67,1:38:00,62,9:28:00,49,9:23:00,,,,,,,,,,,,,,,,,,,
,,,,,59,4:18:00,58,10:27:00,63,12:05:00,61,21:33:00,59,30:56:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
