,,,,,,,,,,,,2009 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,
,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,,
,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,
Position,Recognition,Boat #,Team Members,,Staples,,Luling 90,,Zedler,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,,,,,,
8,1st Aluminum,331,"John Bugge
Mike Shively
TC - Megan Yeager",9:00, ,12:11:00,,16:51:00,,17:58:00,,21:06:00,,2:55:00,,11:01:00,,16:12:00,,19:10:00,,4:39:00,,12:03:00,,16:56:00,,22:38:00,,,,,
,,,,,14,3:11:00,18,4:40:00,9,1:07:00,11,3:08:00,11,5:49:00,12,8:06:00,12,5:11:00,9,2:58:00,9,9:29:00,12,7:24:00,7,4:53:00,12,5:42:00,,,,,
,,,,,14,3:11:00,15,7:51:00,15,8:58:00,14,12:06:00,11,17:55:00,12,26:01:00,11,31:12:00,12,34:10:00,11,43:39:00,11,51:03:00,9,55:56:00,8,61:38:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3rd Tandem,321,"Ken Startz
Henry Dornak
TC - David Dornak",9:00, ,12:08:00,,16:44:00,,17:53:00,,21:01:00,,3:19:00,,10:43:00,,16:25:00,,19:04:00,,6:03:00,,12:42:00,,17:43:00,,1:00:00,,,,,
,,,,,12,3:08:00,15,4:36:00,14,1:09:00,9,3:08:00,13,6:18:00,8,7:24:00,17,5:42:00,4,2:39:00,20,10:59:00,6,6:39:00,8,5:01:00,32,7:17:00,,,,,
,,,,,12,3:08:00,14,7:44:00,13,8:53:00,13,12:01:00,14,18:19:00,11,25:43:00,14,31:25:00,11,34:04:00,12,45:03:00,12,51:42:00,12,56:43:00,9,64:00:00,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4th Tandem,117,"Vance Sherrod
Johnny Prochaska
TC - Sandy Sherrod",9:00, ,11:53:00,,16:08:00,,17:15:00,,20:12:00,,1:33:00,,8:31:00,,13:18:00,,16:12:00,,1:00:00,,9:11:00,,16:40:00,,4:18:00,,,,,
,,,,,9,2:53:00,6,4:15:00,10,1:07:00,5,2:57:00,5,5:21:00,4,6:58:00,4,4:47:00,6,2:54:00,7,8:48:00,17,8:11:00,30,7:29:00,45,11:38:00,,,,,
