,,,,,,,,,,,,,2006 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Legend,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,
,,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,
,,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,
,Boat #,Team Members,,Staples,,Luling,,Zedler Mill,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
33,1516,Jim Weber          Courtney Weber         Myla Weber               TC - Matt Weber,9:00, ,12:29:00, ,17:52:00, ,19:22:00, ,23:03:00, ,9:48:00, ,19:17:00, ,6:30:00, ,9:40:00, ,18:50:00, ,4:30:00, ,8:37:00, ,11:59:00
,11th Unlimited,,,45,3:29:00,54,5:23:00,59,1:30:00,35,3:41:00,71,10:45:00,34,9:29:00,50,11:13:00,23,3:10:00,13,9:10:00,43,9:40:00,17,4:07:00,8,3:22:00
,,,,45,3:29:00,50,8:52:00,49,10:22:00,40,14:03:00,53,24:48:00,47,34:17:00,42,45:30:00,41,48:40:00,33,57:50:00,34,67:30:00,34,71:37:00,33,74:59:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5841,Nathan Mobley     Dustin Miracle      Joseph Miracle           TC - Jeanette Miracle ,9:00, ,12:37:00, ,18:07:00, ,19:26:00, ,23:30:00, ,7:40:00, ,17:30:00, ,6:25:00, ,9:35:00, ,19:05:00, ,3:05:00, ,7:49:00, ,12:00:00
,12th Unlimited,,,54,3:37:00,57,5:30:00,42,1:19:00,45,4:04:00,51,8:10:00,40,9:50:00,55,12:55:00,24,3:10:00,18,9:30:00,32,8:00:00,29,4:44:00,28,4:11:00
,,,,54,3:37:00,57,9:07:00,51,10:26:00,45,14:30:00,43,22:40:00,41,32:30:00,40,45:25:00,40,48:35:00,34,58:05:00,33,66:05:00,33,70:49:00,34,75:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,62,Doug Rhude             TC - Lee Rhude,9:00, ,12:17:00, ,17:34:00, ,18:45:00, ,23:36:00, ,8:29:00, ,18:44:00, ,7:06:00, ,10:17:00, ,20:41:00, ,6:37:00, ,11:15:00, ,14:25:00
,9th Solo,,,33,3:17:00,46,5:17:00,21,1:11:00,53,4:51:00,57,8:53:00,47,10:15:00,54,12:22:00,25,3:11:00,28,10:24:00,44,9:56:00,26,4:38:00,4,3:10:00
,,,,33,3:17:00,42,8:34:00,41,9:45:00,47,14:36:00,45,23:29:00,46,33:44:00,44,46:06:00,43,49:17:00,39,59:41:00,37,69:37:00,38,74:15:00,35,77:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,96,Axel Thomsen          TC - Alex Thomsen,9:00, ,12:27:00, ,17:25:00, ,18:40:00, ,22:30:00, ,6:09:00, ,15:36:00, ,5:44:00, ,9:19:00, ,19:29:00, ,6:00:00, ,10:45:00, ,14:31:00
,10th Solo,,,43,3:27:00,37,4:58:00,32,1:15:00,40,3:50:00,46,7:39:00,33,9:27:00,58,14:08:00,34,3:35:00,25,10:10:00,47,10:31:00,31,4:45:00,19,3:46:00
,,,,43,3:27:00,38,8:25:00,35,9:40:00,37,13:30:00,38,21:09:00,37,30:36:00,36,44:44:00,36,48:19:00,35,58:29:00,36,69:00:00,36,73:45:00,36,77:31:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4214,Ken  Startz            Nicholas Startz               TC - Laura Startz,9:00, ,12:11:00, ,17:27:00, ,18:40:00, ,2:57:00, ,9:27:00, ,19:38:00, ,7:02:00, ,10:16:00, ,20:30:00, ,6:37:00, ,11:10:00, ,14:40:00
,5th Tandem,,,29,3:11:00,45,5:16:00,29,1:13:00,73,8:17:00,34,6:30:00,46,10:11:00,51,11:24:00,26,3:14:00,27,10:14:00,45,10:07:00,22,4:33:00,12,3:30:00
,,,,29,3:11:00,40,8:27:00,35,9:40:00,64,17:57:00,52,24:27:00,51,34:38:00,43,46:02:00,42,49:16:00,38,59:30:00,38,69:37:00,37,74:10:00,37,77:40:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,413,Webb Stevens          TC - Stephen Stevens,9:00, ,12:34:00, ,17:59:00, ,19:19:00, ,2:56:00, ,9:52:00, ,19:25:00, ,5:58:00, ,9:20:00, ,19:33:00, ,5:46:00, ,10:30:00, ,14:57:00
,11th Solo,,,51,3:34:00,55,5:25:00,45,1:20:00,70,7:37:00,39,6:56:00,36,9:33:00,45,10:33:00,31,3:22:00,26,10:13:00,46,10:13:00,29,4:44:00,32,4:27:00
,,,,51,3:34:00,52,8:59:00,48,10:19:00,63,17:56:00,54,24:52:00,49,34:25:00,38,44:58:00,37,48:20:00,36,58:33:00,35,68:46:00,35,73:30:00,38,77:57:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,924,Kyle Frazier            Erick Frazier              TC - Stuart Frazier,9:00, ,12:33:00, ,17:46:00, ,19:25:00, ,23:10:00, ,7:14:00, ,17:55:00, ,2:55:00, ,8:03:00, ,22:30:00, ,7:45:00, ,13:15:00, ,18:12:00
,4th Novice,,,48,3:33:00,43,5:13:00,67,1:39:00,36,3:45:00,50,8:04:00,54,10:41:00,40,9:00:00,53,5:08:00,47,14:27:00,42,9:15:00,45,5:30:00,37,4:57:00
,,,,48,3:33:00,47,8:46:00,50,10:25:00,42,14:10:00,41,22:14:00,42,32:55:00,34,41:55:00,35,47:03:00,42,61:30:00,39,70:45:00,39,76:15:00,39,81:12:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1970,Adam Crick               Frank Acker                 TC - Jimmy Alvares,9:00, ,12:21:00, ,17:42:00, ,19:05:00, ,23:15:00, ,10:27:00, ,21:01:00, ,6:30:00, ,10:27:00, ,21:15:00, ,10:06:00, ,14:25:00, ,19:25:00
,1st Standard,,,36,3:21:00,53,5:21:00,52,1:23:00,46,4:10:00,74,11:12:00,53,10:34:00,42,9:29:00,40,3:57:00,31,10:48:00,50,12:51:00,20,4:19:00,38,5:00:00
,,,,36,3:21:00,44,8:42:00,45,10:05:00,43,14:15:00,57,25:27:00,55,36:01:00,41,45:30:00,44,49:27:00,40,60:15:00,40,73:06:00,40,77:25:00,40,82:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1954,Michael Musselman    TC - Judy Musselman,9:00, ,12:48:00, ,18:05:00, ,19:26:00, ,23:49:00, ,7:52:00, ,17:59:00, ,5:49:00, ,9:29:00, ,22:19:00, ,12:45:00, ,18:20:00, ,23:32:00
,12th Solo,,,63,3:48:00,46,5:17:00,50,1:21:00,48,4:23:00,49,8:03:00,44,10:07:00,53,11:50:00,36,3:40:00,40,12:50:00,52,14:26:00,46,5:35:00,40,5:12:00
,,,,63,3:48:00,56,9:05:00,51,10:26:00,48,14:49:00,44,22:52:00,43,32:59:00,37,44:49:00,39,48:29:00,41,61:19:00,43,75:45:00,43,81:20:00,41,86:32:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,27,Bobby Snyder          TC - Lisha Snyder,9:00, ,12:32:00, ,17:43:00, ,19:27:00, ,0:05:00, ,10:29:00, ,20:02:00, ,7:50:00, ,12:02:00, ,1:42:00, ,12:23:00, ,18:12:00, ,0:05:00
,13th Solo,,,47,3:32:00,42,5:11:00,71,1:44:00,50,4:38:00,67,10:24:00,37,9:33:00,52,11:48:00,44,4:12:00,44,13:40:00,48,10:41:00,48,5:49:00,45,5:53:00
,,,,47,3:32:00,45,8:43:00,53,10:27:00,50,15:05:00,58,25:29:00,53,35:02:00,45,46:50:00,45,51:02:00,43,64:42:00,42,75:23:00,42,81:12:00,42,87:05:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,14th Solo,Ted Edinger               TC - Jeannette Dore,9:00, ,12:39:00, ,17:38:00, ,18:50:00, ,2:00:00, ,9:16:00, ,18:43:00, ,12:15:00, ,16:30:00, ,7:06:00, ,14:38:00, ,19:40:00, ,0:25:00
,,,,56,3:39:00,39,4:59:00,24,1:12:00,66,7:10:00,43,7:16:00,32,9:27:00,59,17:32:00,45,4:15:00,48,14:36:00,25,7:32:00,36,5:02:00,34,4:45:00
,,,,56,3:39:00,43,8:38:00,42,9:50:00,60,17:00:00,50,24:16:00,45,33:43:00,51,51:15:00,51,55:30:00,47,70:06:00,46,77:38:00,46,82:40:00,43,87:25:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,318,Alan Pickett              Dan Pickett                Will Kier                      TC - Damon Waldrip,9:00, ,12:52:00, ,18:50:00, ,20:25:00, ,1:36:00, ,10:04:00, ,22:19:00, ,9:05:00, ,13:50:00, ,4:50:00, ,14:00:00, ,19:25:00, ,0:40:00
,13th Unlimited,,,68,3:52:00,74,5:58:00,63,1:35:00,57,5:11:00,53,8:28:00,60,12:15:00,47,10:46:00,51,4:45:00,50,15:00:00,41,9:10:00,42,5:25:00,41,5:15:00
,,,,68,3:52:00,66,9:50:00,66,11:25:00,58,16:36:00,55,25:04:00,57,37:19:00,46,48:05:00,46,52:50:00,44,67:50:00,45,77:00:00,45,82:25:00,44,87:40:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,837,Mike Martin      Shannon Martin        TC - Lisa Martin,9:00, ,12:48:00, ,18:26:00, ,20:01:00, ,2:49:00, ,13:28:00, ,5:25:00, ,12:04:00, ,16:07:00, ,6:45:00, ,15:14:00, ,20:10:00, ,1:35:00
,2nd Aluminum,,,63,3:48:00,59,5:38:00,62,1:35:00,65,6:48:00,69,10:39:00,71,15:57:00,32,6:39:00,41,4:03:00,49,14:38:00,36,8:29:00,34,4:56:00,43,5:25:00
,,,,63,3:48:00,61,9:26:00,60,11:01:00,62,17:49:00,66,28:28:00,66,44:25:00,50,51:04:00,49,55:07:00,46,69:45:00,47,78:14:00,47,83:10:00,45,88:35:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,13,Chance Zapalac   Sonny Zapalac         TC - Sarah Cost,9:00, ,13:17:00, ,18:58:00, ,21:13:00, ,5:54:00, ,13:10:00, ,4:03:00, ,13:25:00, ,18:29:00, ,7:21:00, ,16:03:00, ,21:11:00, ,2:30:00
,5th Novice,,,86,4:17:00,60,5:41:00,78,2:15:00,74,8:41:00,42,7:16:00,65,14:53:00,41,9:22:00,52,5:04:00,41,12:52:00,39,8:42:00,38,5:08:00,42,5:19:00
,,,,86,4:17:00,73,9:58:00,77,12:13:00,73,20:54:00,64,28:10:00,64,43:03:00,54,52:25:00,54,57:29:00,48,70:21:00,48,79:03:00,48,84:11:00,47,89:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1310,Barry Brown           Andrew Torrez              TC - Cindy Brown,9:00, ,12:52:00, ,18:54:00, ,21:05:00, ,2:46:00, ,12:50:00, ,5:30:00, ,11:20:00, ,15:58:00, ,8:54:00, ,16:51:00, ,22:10:00, ,2:30:00
,2nd Standard,,,68,3:52:00,77,6:02:00,77,2:11:00,58,5:41:00,65,10:04:00,73,16:40:00,26,5:50:00,48,4:38:00,52,16:56:00,30,7:57:00,40,5:19:00,30,4:20:00
,,,,68,3:52:00,71,9:54:00,76,12:05:00,61,17:46:00,61,27:50:00,67,44:30:00,48,50:20:00,48,54:58:00,51,71:54:00,50,79:51:00,49,85:10:00,46,89:30:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,639,Zoltan Mraz              TC - Gib Hafernick,9:00, ,12:14:00, ,17:16:00, ,18:34:00, ,22:21:00, ,6:38:00, ,16:25:00, ,6:08:00, ,9:23:00, ,20:26:00, ,12:10:00, ,19:08:00, ,3:50:00
,15th Solo,,,32,3:14:00,40,5:02:00,41,1:18:00,39,3:47:00,52,8:17:00,39,9:47:00,57,13:43:00,27,3:15:00,35,11:03:00,53,15:44:00,52,6:58:00,50,8:42:00
,,,,32,3:14:00,33,8:16:00,32,9:34:00,35,13:21:00,40,21:38:00,39,31:25:00,39,45:08:00,38,48:23:00,37,59:26:00,41,75:10:00,44,82:08:00,48,90:50:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,69,Thomas Vester         TC - Lari Blevins,9:00, ,12:52:00, ,18:45:00, ,20:15:00, ,1:15:00, ,13:04:00, ,23:10:00, ,12:30:00, ,16:18:00, ,11:02:00, ,19:34:00, ,0:11:00, ,4:06:00
,2nd USCA C-1,,,68,3:52:00,69,5:53:00,59,1:30:00,55,5:00:00,76,11:49:00,43,10:06:00,56,13:20:00,39,3:48:00,53,18:44:00,38,8:32:00,25,4:37:00,25,3:55:00
,,,,68,3:52:00,64,9:45:00,62,11:15:00,56,16:15:00,63,28:04:00,58,38:10:00,53,51:30:00,50,55:18:00,53,74:02:00,52,82:34:00,52,87:11:00,49,91:06:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,420,Daniel Huebner    Anthony Stephenson   TC - Kim Huebner ,9:00, ,12:46:00, ,18:52:00, ,0:22:00, ,6:42:00, ,15:57:00, ,3:20:00, ,14:24:00, ,19:05:00, ,7:41:00, ,16:10:00, ,22:12:00, ,5:40:00
,6th Novice,,,62,3:46:00,82,6:06:00,81,5:30:00,63,6:20:00,61,9:15:00,58,11:23:00,49,11:04:00,50,4:41:00,39,12:36:00,37,8:29:00,50,6:02:00,48,7:28:00
,,,,62,3:46:00,67,9:52:00,81,15:22:00,77,21:42:00,74,30:57:00,62,42:20:00,57,53:24:00,55,58:05:00,49,70:41:00,49,79:10:00,50,85:12:00,50,92:40:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,451,Lorne Brandt        Gilbert Garza            TC - Robert Brandt,9:00, ,12:43:00, ,18:04:00, ,19:43:00, ,0:44:00, ,11:00:00, ,3:30:00, ,14:13:00, ,18:22:00, ,8:42:00, ,17:37:00, ,22:43:00, ,7:13:00
,7th Novice,,,59,3:43:00,52,5:21:00,66,1:39:00,56,5:01:00,66,10:16:00,72,16:30:00,46,10:43:00,43,4:09:00,46,14:20:00,40,8:55:00,37,5:06:00,49,8:30:00
,,,,59,3:43:00,55,9:04:00,57,10:43:00,52,15:44:00,59,26:00:00,63,42:30:00,56,53:13:00,53,57:22:00,50,71:42:00,51,80:37:00,51,85:43:00,51,94:13:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,6040,Bonner Scott            TC - Bob Scott,9:00, ,13:06:00, ,18:52:00, ,20:20:00, ,0:45:00, ,13:54:00, ,24:18:00, ,11:15:00, ,15:42:00, ,5:15:00, ,13:32:00, ,18:11:00, ,OUT
,,,,78,4:06:00,62,5:46:00,57,1:28:00,49,4:25:00,78,13:09:00,49,10:24:00,48,10:57:00,47,4:27:00,43,13:33:00,34,8:17:00,28,4:39:00,,
,,,,78,4:06:00,67,9:52:00,65,11:20:00,53,15:45:00,67,28:54:00,59,39:18:00,47,50:15:00,47,54:42:00,45,68:15:00,44,76:32:00,41,81:11:00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1977,Loren Hudson           TC - Jason Sellers,9:00, ,13:11:00, ,19:16:00, ,21:20:00, ,3:13:00, ,13:12:00, ,2:18:00, ,12:23:00, ,17:43:00, ,9:05:00, ,21:02:00, ,OUT, ,
,,,,83,4:11:00,81,6:05:00,76,2:04:00,61,5:53:00,64,9:59:00,61,13:06:00,43,10:05:00,56,5:20:00,51,15:22:00,49,11:57:00,,,,
,,,,83,4:11:00,83,10:16:00,78,12:20:00,66,18:13:00,65,28:12:00,61,41:18:00,52,51:23:00,52,56:43:00,52,72:05:00,53,84:02:00,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,971,Henry Dornak           TC - Keith Rodgers,9:00, ,11:54:00, ,16:10:00, ,17:20:00, ,20:02:00, ,1:15:00, ,9:13:00, ,14:17:00, ,17:02:00, ,OUT,,,,,,
,,,,10,2:54:00,11,4:16:00,14,1:10:00,5,2:42:00,11,5:13:00,11,7:58:00,9,5:04:00,8,2:45:00,,,,,,,,
,,,,10,2:54:00,9,7:10:00,12,8:20:00,8,11:02:00,8,16:15:00,9,24:13:00,8,29:17:00,8,32:02:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,333,Mike Shively             TC - Jim Pye,9:00, ,11:58:00, ,16:17:00, ,17:27:00, ,20:18:00, ,1:53:00, ,10:23:00, ,15:40:00, ,19:13:00,,OUT,,,,,,
,,,,14,2:58:00,16,4:19:00,14,1:10:00,11,2:51:00,21,5:35:00,17,8:30:00,12,5:17:00,33,3:33:00,,,,,,,,
,,,,14,2:58:00,15,7:17:00,15,8:27:00,14,11:18:00,16,16:53:00,16,25:23:00,14,30:40:00,18,34:13:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,618,Mark Hellinger         Paul Black                 TC - Marian Black,9:00, ,13:07:00, ,19:03:00, ,20:50:00, ,3:18:00, ,14:29:00, ,4:20:00, ,14:50:00, ,19:14:00,,OUT,,,,,,
,,,,79,4:07:00,70,5:56:00,72,1:47:00,64,6:28:00,73,11:11:00,62,13:51:00,44,10:30:00,46,4:24:00,,,,,,,,
,,,,79,4:07:00,77,10:03:00,73,11:50:00,67,18:18:00,69,29:29:00,65,43:20:00,58,53:50:00,56,58:14:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,2727,Iain MacGregor     Carlos Canepa         Jeff Parker                TC - Janet Parker,9:00, ,13:10:00, ,19:08:00, ,20:47:00, ,8:05:00, ,16:45:00, ,7:55:00, ,14:50:00, ,19:30:00,,OUT,,,,,,
,,,,81,4:10:00,74,5:58:00,67,1:39:00,80,11:18:00,55,8:40:00,67,15:10:00,33,6:55:00,49,4:40:00,,,,,,,,
,,,,81,4:10:00,79,10:08:00,72,11:47:00,79,23:05:00,75,31:45:00,72,46:55:00,58,53:50:00,58,58:30:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,2112,James Smith               Mic Grogan                  TC - Melissa Grogan,9:00, ,13:03:00, ,19:02:00, ,23:40:00, ,9:02:00, ,17:00:00, ,8:23:00, ,16:20:00, ,21:52:00, ,OUT,,,,,,
,,,,75,4:03:00,76,5:59:00,80,4:38:00,75,9:22:00,48,7:58:00,68,15:23:00,37,7:57:00,57,5:32:00,,,,,,,,
,,,,75,4:03:00,76,10:02:00,80,14:40:00,80,24:02:00,77,32:00:00,73,47:23:00,60,55:20:00,59,60:52:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,4321,Tim Clark                    Ian Schurig                  TC - Tommy Schurig,9:00, ,13:05:00, ,18:58:00, ,20:40:00, ,6:35:00, ,15:24:00, ,6:30:00, ,14:07:00, ,19:23:00,,OUT,,,,,,
,,,,76,4:05:00,66,5:53:00,70,1:42:00,76,9:55:00,56,8:49:00,66,15:06:00,36,7:37:00,54,5:16:00,,,,,,,,
,,,,76,4:05:00,73,9:58:00,69,11:40:00,76,21:35:00,72,30:24:00,68,45:30:00,55,53:07:00,57,58:23:00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,919,Geoff Waters            TC - Phil Waters,9:00, ,12:24:00, ,17:43:00, ,18:55:00, ,2:58:00, ,8:59:00, ,18:08:00, ,11:40:00, ,OUT,,,,,,,,
,,,,39,3:24:00,50,5:19:00,26,1:12:00,72,8:03:00,29,6:01:00,28,9:09:00,59,17:32:00,,,,,,,,,,
,,,,39,3:24:00,45,8:43:00,43,9:55:00,65,17:58:00,48,23:59:00,44,33:08:00,49,50:40:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,9999,William Barnes      Dave Dobbins      Patrick Jezieski         TC - Mark Jezieski,9:00, ,12:45:00, ,18:48:00, ,20:26:00, ,6:35:00, ,15:06:00, ,6:52:00, ,OUT,,,,,,,,,,
,,,,61,3:45:00,79,6:03:00,65,1:38:00,79,10:09:00,54,8:31:00,70,15:46:00,,,,,,,,,,,,
,,,,61,3:45:00,65,9:48:00,67,11:26:00,75,21:35:00,70,30:06:00,70,45:52:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1024,James DeVoglaer        TC -Barry Scheffler,9:00, ,11:38:00, ,15:35:00, ,16:38:00, ,19:23:00, ,0:10:00, ,7:16:00,,OUT,,,,,,,,,,
,,,,6,2:38:00,5,3:57:00,6,1:03:00,7,2:45:00,5,4:47:00,4,7:06:00,,,,,,,,,,,,
,,,,6,2:38:00,5,6:35:00,5,7:38:00,5,10:23:00,6,15:10:00,5,22:16:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,713,Richard Miller        Mark Simmons         TC - George Kessler,9:00, ,12:08:00, ,16:43:00, ,17:59:00, ,21:15:00, ,2:43:00, ,11:28:00,,OUT,,,,,,,,,,
,,,,26,3:08:00,28,4:35:00,37,1:16:00,25,3:16:00,18,5:28:00,22,8:45:00,,,,,,,,,,,,
,,,,26,3:08:00,29,7:43:00,28,8:59:00,28,12:15:00,24,17:43:00,23,26:28:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,8563,David Anderson        TC -William Anderson,9:00, ,12:26:00, ,17:13:00, ,18:28:00, ,21:50:00, ,4:05:00, ,12:43:00,,OUT,,,,,,,,,,
,,,,42,3:26:00,31,4:47:00,35,1:15:00,30,3:22:00,33,6:15:00,19,8:38:00,,,,,,,,,,,,
,,,,42,3:26:00,32,8:13:00,31,9:28:00,31,12:50:00,31,19:05:00,27,27:43:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1316,Jason Locke             TC - James Mossman,9:00, ,12:13:00, ,17:02:00, ,18:12:00, ,21:28:00, ,3:22:00, ,13:45:00,,OUT,,,,,,,,,,
,,,,31,3:13:00,32,4:49:00,14,1:10:00,25,3:16:00,25,5:54:00,48,10:23:00,,,,,,,,,,,,
,,,,31,3:13:00,31,8:02:00,30,9:12:00,29,12:28:00,29,18:22:00,31,28:45:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,3,Tori Schau                   TC - G Sanchez,9:00, ,12:33:00, ,17:29:00, ,18:44:00, ,22:42:00, ,6:16:00, ,15:23:00,,OUT,,,,,,,,,,
,,,,48,3:33:00,34,4:56:00,32,1:15:00,41,3:58:00,45,7:34:00,26,9:07:00,,,,,,,,,,,,
,,,,48,3:33:00,41,8:29:00,40,9:44:00,39,13:42:00,39,21:16:00,36,30:23:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,890,Michael Simmons     TC - Gary Robinson,9:00, ,12:24:00, ,17:22:00, ,18:41:00, ,22:40:00, ,5:26:00, ,19:37:00,,OUT,,,,,,,,,,
,,,,39,3:24:00,36,4:58:00,42,1:19:00,42,3:59:00,37,6:46:00,64,14:11:00,,,,,,,,,,,,
,,,,39,3:24:00,37,8:22:00,37,9:41:00,38,13:40:00,36,20:26:00,50,34:37:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,213,Jamie Sanderford Robert Dunnahoo      TC - Anne Sanderford,9:00, ,12:30:00, ,18:23:00, ,19:43:00, ,0:23:00, ,9:19:00, ,19:46:00,,OUT,,,,,,,,,,
,,,,46,3:30:00,66,5:53:00,45,1:20:00,51,4:40:00,58,8:56:00,50,10:27:00,,,,,,,,,,,,
,,,,46,3:30:00,60,9:23:00,57,10:43:00,51,15:23:00,51,24:19:00,52,34:46:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1701,Will Snyder            Jerry Cowart             TC - Alia Snyder,9:00, ,12:42:00, ,18:02:00, ,19:33:00, ,23:54:00, ,9:00:00, ,20:20:00,,OUT,,,,,,,,,,
,,,,58,3:42:00,51,5:20:00,61,1:31:00,47,4:21:00,59,9:06:00,56,11:20:00,,,,,,,,,,,,
,,,,58,3:42:00,54,9:02:00,55,10:33:00,49,14:54:00,49,24:00:00,54,35:20:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,211,Jeremy Danson        TC - Carlos Duran,9:00, ,12:33:00, ,17:46:00, ,19:00:00, ,0:51:00, ,10:05:00, ,21:04:00,,OUT,,,,,,,,,,
,,,,48,3:33:00,43,5:13:00,31,1:14:00,60,5:51:00,60,9:14:00,55,10:59:00,,,,,,,,,,,,
,,,,48,3:33:00,47,8:46:00,44,10:00:00,54,15:51:00,56,25:05:00,56,36:04:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,5860,Robert Brown         John Edwards           TC  - Regan Brown,9:00, ,13:07:00, ,19:03:00, ,20:42:00, ,6:45:00, ,14:04:00, ,1:38:00,,OUT,,,,,,,,,,
,,,,79,4:07:00,70,5:56:00,67,1:39:00,77,10:03:00,44,7:19:00,59,11:34:00,,,,,,,,,,,,
,,,,79,4:07:00,77,10:03:00,70,11:42:00,78,21:45:00,68,29:04:00,60,40:38:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,116,Jeff Daniel               Tim Curry                 TC - Fayla Curry,9:00, ,13:05:00, ,19:08:00, ,20:45:00, ,4:34:00, ,15:25:00, ,6:49:00,,OUT,,,,,,,,,,
,,,,76,4:05:00,78,6:03:00,64,1:37:00,71,7:49:00,72,10:51:00,69,15:24:00,,,,,,,,,,,,
,,,,76,4:05:00,79,10:08:00,71,11:45:00,71,19:34:00,73,30:25:00,69,45:49:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1123,Cody Leef               Rob Leef                   TC - Ron Leef,9:00, ,13:00:00, ,18:52:00, ,23:21:00, ,5:05:00, ,16:47:00, ,6:53:00,,OUT,,,,,,,,,,
,,,,73,4:00:00,65,5:52:00,79,4:29:00,59,5:44:00,75,11:42:00,63,14:06:00,,,,,,,,,,,,
,,,,73,4:00:00,67,9:52:00,79,14:21:00,72,20:05:00,76,31:47:00,71,45:53:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,119,Roger Zimmerman    TC - William Burruss,9:00, ,12:57:00, ,18:53:00, ,20:17:00, ,6:20:00, ,17:00:00, ,OUT,,,,,,,,,,,,
,,,,71,3:57:00,73,5:56:00,54,1:24:00,77,10:03:00,70,10:40:00,,,,,,,,,,,,,,
,,,,71,3:57:00,70,9:53:00,63,11:17:00,74,21:20:00,77,32:00:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,606,Ted Slaughter        Wes Slaughter    Bodwin Slaughter      TC - Brenda O'Sullivan,9:00, ,12:37:00, ,18:19:00, ,19:39:00, ,1:45:00, ,8:35:00,,OUT,,,,,,,,,,,,
,,,,54,3:37:00,61,5:42:00,45,1:20:00,62,6:06:00,38,6:50:00,,,,,,,,,,,,,,
,,,,54,3:37:00,58,9:19:00,56,10:39:00,59,16:45:00,46,23:35:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNF,1991,Thomas Mendenhall  Kathryn Mendenhall  TC - David Mendenhall,9:00, ,12:50:00, ,18:43:00, ,20:02:00, ,1:00:00, ,12:49:00,,OUT,,,,,,,,,,,,
,,,,67,3:50:00,66,5:53:00,44,1:19:00,54,4:58:00,76,11:49:00,,,,,,,,,,,,,,
,,,,67,3:50:00,63,9:43:00,61,11:02:00,55,16:00:00,60,27:49:00,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
