,,,,,,,,,,,,,2006 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Legend,,,,,,,,,,,,,,
,,,,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,
,,,,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,
,,,,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,
,Boat #,Team Members,,Staples,,Luling,,Zedler Mill,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Tivoli,,Seadrift,
,1st Solo,,,10,2:54:00,14,4:19:00,26,1:12:00,16,2:56:00,13,5:16:00,18,8:32:00,19,5:37:00,14,2:51:00,10,8:43:00,6,6:03:00,5,3:22:00,6,3:20:00
,,,,10,2:54:00,12,7:13:00,13,8:25:00,15,11:21:00,15,16:37:00,15,25:09:00,15,30:46:00,14,33:37:00,10,42:20:00,10,48:23:00,8,51:45:00,8,55:05:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,503,Johnathan Zeek      Peter Rask       Jonathan Kittle             Max Feaster             TC - Philip White,9:00, ,12:00:00, ,16:19:00, ,17:30:00, ,20:26:00, ,1:35:00, ,9:22:00, ,15:13:00, ,18:01:00, ,1:47:00, ,9:19:00, ,12:54:00, ,16:18:00
,8th Unlimited,,,18,3:00:00,16,4:19:00,20,1:11:00,16,2:56:00,8,5:09:00,9,7:47:00,27,5:51:00,10,2:48:00,6,7:46:00,26,7:32:00,8,3:35:00,10,3:24:00
,,,,18,3:00:00,16,7:19:00,17,8:30:00,16,11:26:00,13,16:35:00,10,24:22:00,11,30:13:00,11,33:01:00,8,40:47:00,9,48:19:00,10,51:54:00,9,55:18:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6010,John Maika                 Jeff Wueste              TC - Kay Coffey,9:00, ,11:51:00, ,16:14:00, ,17:25:00, ,20:14:00, ,1:23:00, ,10:06:00, ,15:20:00, ,18:04:00, ,3:30:00, ,9:27:00, ,12:45:00, ,16:48:00
,1st Tandem,,,9,2:51:00,19,4:23:00,21,1:11:00,8,2:49:00,8,5:09:00,21,8:43:00,11,5:14:00,7,2:44:00,16,9:26:00,5,5:57:00,3,3:18:00,26,4:03:00
,,,,9,2:51:00,14,7:14:00,13,8:25:00,11,11:14:00,9,16:23:00,14,25:06:00,12,30:20:00,12,33:04:00,12,42:30:00,11,48:27:00,9,51:45:00,10,55:48:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,500,Kathie Derrick          Peter Derrick              TC - Jacob Southard,9:00, ,12:10:00, ,16:39:00, ,17:49:00, ,20:59:00, ,2:54:00, ,10:57:00, ,16:00:00, ,18:49:00, ,3:34:00, ,9:58:00, ,13:16:00, ,17:02:00
,1st Mixed,,,28,3:10:00,24,4:29:00,18,1:10:00,22,3:10:00,27,5:55:00,12,8:03:00,8,5:03:00,11,2:49:00,11,8:45:00,10,6:24:00,3,3:18:00,18,3:46:00
,,,,28,3:10:00,27,7:39:00,25,8:49:00,24,11:59:00,25,17:54:00,21,25:57:00,17,31:00:00,16,33:49:00,14,42:34:00,13,48:58:00,12,52:16:00,11,56:02:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,930,Tim Anglin              Mike Joiner               TC - Bill Campbell,9:00, ,12:00:00, ,16:24:00, ,17:40:00, ,20:31:00, ,1:57:00, ,9:47:00, ,14:43:00, ,17:30:00, ,2:08:00, ,9:14:00, ,13:10:00, ,17:03:00
,1st USCA C-2,,,18,3:00:00,20,4:24:00,39,1:16:00,10,2:51:00,16,5:26:00,10,7:50:00,7,4:56:00,9,2:47:00,9,8:38:00,22,7:06:00,13,3:56:00,24,3:53:00
,,,,18,3:00:00,20,7:24:00,23,8:40:00,17,11:31:00,18,16:57:00,12,24:47:00,10,29:43:00,9,32:30:00,9,41:08:00,8,48:14:00,11,52:10:00,12,56:03:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,
