,Overall Place,Recognition,Team Members,Boat #,Staples,Luling 90,Palmetto,Gonzales,Hochheim,Cheapside,Cuero 236,Victoria,Swinging Bridge (off Canal Rd),Calhouns RV,Seadrift,Class,Competitors,Team Captions,0,60,120,180,240,300,360,420,480,540,600,660,720,780,840,900,960,1020,1080,1140,1200,1260,1320,1380,1440,1500,1560,1620,1680,1740,1800,1860,1920,1980,2040,2100,2160,2220,2280,2340,2400,2460,2520,2580,2640,2700,2760,2820,2880,2940,3000,3060,3120,3180,3240,3300,3360,3420,3480,3540,3600,3660,3720,3780,3840,3900,3960,4020,4080,4140,4200,4260,4320,4380,4440,4500,4560,4620,4680,4740,4800,4860,4920,4980,5040,5100,5160,5220,5280,5340,5400,5460,5520,5580,5640,5700,5760,5820,5880,5940,6000
0,1,Unlimited,"Kyle Mynar
Normand Mainguy - out at Victoria
Chris Issendorf
Steve Lajoie

TC  Logan Mynar
TC Gaston Jones",124,0 days 02:20:00,0 days 05:35:00,0 days 08:38:00,0 days 12:10:00,0 days 17:57:00,0 days 21:35:00,0 days 23:39:00,1 days 06:05:00,1 days 11:26:00,1 days 15:37:00,1 days 18:05:00,Unlimited,['Kyle Mynar\nNormand Mainguy - out at Victoria\nChris Issendorf\nSteve Lajoie\n\n'],[' Logan Mynar\nTC Gaston Jones'],-2.823763907144894e-07,7.273338111323088,14.546676505022567,21.824525735637614,29.104630384710443,36.38473503378327,43.447476072318665,50.20590805610164,56.96434003988462,63.91388696664113,71.19354152217011,78.47319607769909,85.75285063322806,92.30508462882682,98.71183451243954,105.11858439605226,111.52533427966497,117.93208416327768,124.36283239881743,131.24954932097086,138.13626624312428,145.0229831652777,151.8599906985745,158.62740508747197,165.1230141882506,171.11384203966568,177.10466989108076,183.0954977424958,189.08632559391089,195.07715344532596,201.06798129674104,206.827886730529,212.56679921725998,218.30571170399094,224.04462419072192,229.78353667745287,235.08789831799453,240.05995637027374,245.03201442255298,250.00407247483218,255.08937999314557,260.35687143507914,265.6243628770127,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
1,2,Tandem Unlimited,"Andrew Condie
Brandon Stafford

TC Jay Condie
TC Joseph Bitterly",1845,0 days 02:28:00,0 days 06:12:00,0 days 09:35:00,0 days 13:32:00,0 days 20:15:00,1 days 00:15:00,1 days 02:34:00,1 days 09:38:00,1 days 15:35:00,1 days 20:25:00,1 days 23:12:00,Tandem Unlimited,['Andrew Condie\nBrandon Stafford\n\n'],['Jay Condie\nTC Joseph Bitterly'],-2.823763907144894e-07,6.880184684636631,13.760369651649652,20.351171223325256,26.68876232408062,33.02635342483599,39.36394452559135,45.505524038480495,51.59810065440308,57.690677270325665,63.957913006850376,70.46967151221807,76.98143001758577,83.49318852295346,89.54048461701478,95.05696652672599,100.57344843643718,106.08993034614838,111.60641225585957,117.12289416557077,122.63937607528197,128.7100724559268,134.9655069935495,141.22094153117217,147.47637606879488,153.56807310728303,159.605190979393,165.38958718855727,170.84350122310025,176.29741525764322,181.75132929218617,187.20524332672915,192.6591573612721,198.11307139581507,203.45928977928398,208.6194884018068,213.77968702432958,218.9398856468524,224.1000842693752,229.260282891898,234.06348290894735,238.36688487833385,242.67028684772032,246.97368881710682,251.27709078649332,255.79328927864947,260.46148528706965,265.1296812954898,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
2,3,Unlimited,"Brenda Jones
Brian Jones
Chris Bailey
Nate Tart - out at Swinging Bridge

TC Ed Jones
TC James Shuler",4444,0 days 02:37:00,0 days 06:31:00,0 days 09:58:00,0 days 14:06:00,0 days 21:05:00,1 days 01:10:00,1 days 03:32:00,1 days 10:27:00,1 days 16:37:00,1 days 21:09:00,1 days 23:39:00,Unlimited,['Brenda Jones\nBrian Jones\nChris Bailey\nNate Tart - out at Swinging Bridge\n\n'],['Ed Jones\nTC James Shuler'],-2.823763907144894e-07,6.485779176973464,12.97155863632332,19.296711621376215,25.363465495603574,31.430219369830933,37.496973244058296,43.519304818040034,49.494150484862665,55.468996151685296,61.45211131318536,67.6750418203311,73.89797232747684,80.12090283462258,86.34383334176832,91.74137218878899,97.0472008513513,102.35302951391363,107.65885817647595,112.96468683903827,118.27051550160058,123.5763441641629,129.63562144363627,135.76339405191973,141.8911666602032,148.01893926848663,153.9648789768114,159.8744521051444,165.62658056146392,171.19877224976807,176.7709639380722,182.34315562637636,187.91534731468047,193.48753900298462,199.05973069128873,204.3056088416536,209.28450318824991,214.26339753484623,219.24229188144258,224.2211862280389,229.20008057463522,234.0292033589461,238.61738928218907,243.205575205432,247.79376112867496,252.38194705191793,257.487844429706,262.6851026524138,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
3,4,Unlimited,"Jonathan Zeek
Holly Orr
William Orr
David Kaiser

TC Melinda Zeek
TC Jacob Henry",357,0 days 02:32:00,0 days 06:16:00,0 days 09:40:00,0 days 13:45:00,0 days 21:07:00,1 days 01:20:00,1 days 03:42:00,1 days 11:02:00,1 days 17:15:00,1 days 21:32:00,2 days 00:00:00,Unlimited,['Jonathan Zeek\nHolly Orr\nWilliam Orr\nDavid Kaiser\n\n'],['Melinda Zeek\nTC Jacob Henry'],-2.823763907144894e-07,6.699127185504709,13.39825465338581,19.928665149941565,26.26625625069693,32.603847351452295,38.94143845220766,45.077450844878086,51.140161889153994,57.2028729334299,63.34439018168478,69.64351983789761,75.94264949411044,82.24177915032327,88.22355976896118,93.25329327487432,98.28302678078748,103.31276028670064,108.34249379261378,113.37222729852692,118.40196080444008,123.43169431035324,129.2602045447098,135.19421359225703,141.12822263980425,147.06223168735147,152.97995012208924,158.88952325042223,164.602901406605,169.85849129443733,175.11408118226964,180.36967107010196,185.62526095793427,190.8808508457666,196.1364407335989,201.39203062143122,206.34143825030878,211.28028787025687,216.219137490205,221.15798711015307,226.0968367301012,231.03568635004928,235.91238291200736,240.7683617879688,245.62434066393018,250.4803195398916,255.5283376133067,260.7958290552403,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
4,5,"Tandem Unlimited
1st Adult Youth","Tommy Yonley
Drew Yonley

TC Jacob Southard
TC Rachel Rask",2,0 days 02:37:00,0 days 06:24:00,0 days 09:50:00,0 days 14:04:00,0 days 21:04:00,1 days 01:09:00,1 days 03:34:00,1 days 10:35:00,1 days 17:15:00,1 days 21:39:00,2 days 00:02:00,Tandem Unlimited,['Tommy Yonley\nDrew Yonley\n\n'],['Jacob Southard\nTC Rachel Rask'],-2.823763907144894e-07,6.485779176973464,12.97155863632332,19.368425819155263,25.622260209327955,31.876094599500654,38.129928989673346,44.233772608943255,50.237622380944636,56.24147215294602,62.25733565439871,68.33326780310793,74.40919995181716,80.48513210052639,86.56106424923561,91.90644241384648,97.19963815102174,102.49283388819701,107.78602962537228,113.07922536254755,118.37242109972281,123.66561683689808,129.73775098710766,135.86552359539112,141.99329620367456,148.12106881195803,153.95944488657844,159.7467509846701,165.40642825327203,170.89920628331055,176.39198431334907,181.8847623433876,187.37754037342611,192.87031840346464,198.36309643350313,203.48616581377627,208.0916430843779,212.6971203549795,217.3025976255811,221.90807489618268,226.51355216678428,231.1190294373859,235.8158151502695,240.5430370105804,245.27025887089135,249.99748073120227,254.97825925293694,260.42992871731576,265.8815981816945,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
5,6,Unlimited Women,"Virginia Parker
Morgan Kohut
Kaitlin Mynar
Shannon Issendorf

TC Debbie Richardson
TC Landen Jiral",113,0 days 02:45:00,0 days 06:39:00,0 days 10:08:00,0 days 14:17:00,0 days 21:37:00,1 days 01:47:00,1 days 04:14:00,1 days 11:08:00,1 days 17:27:00,1 days 22:39:00,2 days 01:16:00,Unlimited Women,['Virginia Parker\nMorgan Kohut\nKaitlin Mynar\nShannon Issendorf\n\n'],['Debbie Richardson\nTC Landen Jiral'],-2.823763907144894e-07,6.171317142580744,12.342634567537878,18.487811104812568,24.554564979039927,30.621318853267283,36.68807272749464,42.70264728431324,48.62031739451556,54.537987504717876,60.4556576149202,66.61622727219425,72.81416609055628,79.0121049089183,85.21004372728032,90.58715347632325,95.63974940726328,100.6923453382033,105.74494126914333,110.79753720008335,115.85013313102338,120.90272906196341,126.32049646255491,132.3257136186727,138.3309307747905,144.33614793090828,150.2770909384503,155.98565817806448,161.6942254176787,167.30855694145203,172.89420802996946,178.4798591184869,184.06551020700434,189.65116129552175,195.23681238403918,200.82246347255662,205.7797907077764,210.64045273479658,215.50111476181675,220.3617767888369,225.22243881585706,230.08310084287723,234.47037508233484,238.47033204105946,242.4702889997841,246.47024595850874,250.47020291723337,254.8081116072334,259.7736449410307,264.7391782748279,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
6,7,Mixed Tandem Unlimited,"Lydia  Huelskamp
Wade Binion

TC Holly Huelskamp
TC Cecili Bugge",111,0 days 02:49:00,0 days 06:51:00,0 days 10:32:00,0 days 14:47:00,0 days 22:00:00,1 days 02:32:00,1 days 05:10:00,1 days 12:41:00,1 days 19:11:00,1 days 23:39:00,2 days 02:31:00,Mixed Tandem Unlimited,['Lydia  Huelskamp\nWade Binion\n\n'],['Holly Huelskamp\nTC Cecili Bugge'],-2.823763907144894e-07,6.025250457966373,12.050501198309137,18.046592641232397,23.91279266837786,29.77899269552332,35.64519272266878,41.47091504418063,47.06726370043531,52.663612356689995,58.25996101294467,64.06899594605959,70.12110090987191,76.17320587368424,82.22531083749656,88.07855321022642,93.21283083058118,98.34710845093595,103.48138607129071,108.61566369164547,113.74994131200023,118.884218932355,124.01849655270976,129.53799761531803,135.05749867792628,140.57699974053455,146.09650080314282,151.51876453002038,156.82989987320576,162.14103521639112,167.29906174743607,172.42646651605295,177.55387128466984,182.68127605328675,187.80868082190364,192.93608559052052,198.0634903591374,203.06301298763125,207.78657941901753,212.51014585040377,217.23371228179005,221.9572787131763,226.68084514456257,231.4044115759488,236.0733429083312,240.73000921848825,245.38667552864527,250.0433418388023,254.6565473630332,259.18903999911555,263.72153263519795,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
7,8,Unlimited,"John Moore
Matt Wagner
Jimmy MacMillan

TC Anita Mraz Jenneiahn
TC Bill Jenneiahn",963,0 days 02:44:00,0 days 06:48:00,0 days 10:34:00,0 days 14:49:00,0 days 22:29:00,1 days 02:46:00,1 days 05:27:00,1 days 14:11:00,1 days 20:42:00,2 days 00:45:00,2 days 03:15:00,Unlimited,['John Moore\nMatt Wagner\nJimmy MacMillan\n\n'],['Anita Mraz Jenneiahn\nTC Bill Jenneiahn'],-2.823763907144894e-07,6.208947126879263,12.417894536134916,18.522620348353218,24.3407367687188,30.158853189084375,35.97696960944996,41.725969872319666,47.19850550520589,52.6710411380921,58.143576770978314,63.86725911393251,69.91936407774485,75.97146904155717,82.0235740053695,87.85216133109701,92.68507917808313,97.51799702506923,102.35091487205536,107.18383271904146,112.01675056602758,116.84966841301369,121.68258625999981,127.0366828665822,132.87833379665787,138.71998472673354,144.56163565680922,150.25640772381402,155.4685778121574,160.68074790050082,165.45342435028476,169.8665150957928,174.27960584130085,178.6926965868089,183.10578733231694,187.518878077825,191.93196882333305,196.3450595688411,200.75815031434914,205.41493027173283,210.126415970558,214.83790166938317,219.54938736820833,224.26087306703351,228.97235876585867,233.81112291691542,238.94687012317914,244.08261732944285,249.21836453570657,254.36948949608131,259.5667477187891,264.76400594149686,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
8,9,Solo Unlimited Man,"Luke Zolnierowski

TC Anna Winder",97,0 days 02:43:00,0 days 06:40:00,0 days 10:19:00,0 days 14:38:00,0 days 22:00:00,1 days 02:30:00,1 days 05:08:00,1 days 12:41:00,1 days 19:51:00,2 days 00:47:00,2 days 03:55:00,Solo Unlimited Man,['Luke Zolnierowski\n\n'],['Anna Winder'],-2.823763907144894e-07,6.247038828776536,12.494077939929463,18.66827783398262,24.65823735537166,30.6481968767607,36.63815639814973,42.51394836679613,48.161405229957246,53.808862093118364,59.45631895627949,65.31641500649015,71.27505116777256,77.23368732905496,83.19232349033737,88.81036201131771,93.84009551723086,98.869829023144,103.89956252905716,108.92929603497032,113.95902954088346,118.9887630467966,124.01849655270976,129.57888280837437,135.139269064039,140.69965531970362,146.26004157536823,151.69580237479323,157.0069377179786,162.31807306116394,167.45035603089562,172.5551232508652,177.65989047083477,182.76465769080434,187.86942491077392,192.9741921307435,198.07895935071306,202.9238691702726,207.20803407315782,211.49219897604303,215.77636387892824,220.06052878181345,224.34469368469865,228.62885858758386,232.9028243822941,237.11899523067953,241.33516607906495,245.55133692745036,249.76750777583578,253.96863713315972,258.1153857151074,262.2621342970551,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
9,10,"Standard
1st Masters","Joe Geisinger
Eric Whicker

TC Bill McCanse
TC James Connolly",57,0 days 03:00:00,0 days 07:15:00,0 days 11:04:00,0 days 15:40:00,0 days 23:40:00,1 days 04:28:00,1 days 07:09:00,1 days 14:38:00,1 days 21:23:00,2 days 01:22:00,2 days 04:10:00,Standard,['Joe Geisinger\nEric Whicker\n\n'],['Bill McCanse\nTC James Connolly'],-2.823763907144894e-07,5.657040690500982,11.314081663378355,16.97112263625573,22.538261485546716,28.105400334837704,33.672539184128695,39.23967803341968,44.68209501549882,50.08293804184067,55.48378106818253,60.88462409452438,66.46352443174186,72.0551431483076,77.64676186487333,83.23838058143906,88.509975149159,93.14152141918737,97.77306768921574,102.40461395924409,107.03616022927244,111.6677064993008,116.29925276932917,120.93079903935752,125.75611725760496,130.96897937229053,136.1818414869761,141.3947036016617,146.60756571634727,151.82005875031703,157.03222883866042,162.24439892700383,167.40393183012011,172.5541758181963,177.7044198062725,182.85466379434874,188.00490778242494,193.15515177050113,198.30539575857733,203.23504411074964,207.78366363726974,212.33228316378987,216.88090269030997,221.42952221683007,225.97814174335016,230.52676126987026,235.49044778791756,240.71214892231959,245.9338500567216,251.15555119112364,256.00910072110224,260.64950984851987,265.28991897593755,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383,266.06332049717383
